Table 6,,,,,,,,,,,
Crime in the United States, ,,,,,,,,,,
"by Metropolitan Statistical Area, 2007",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,City of Casper,"52,434",152,2,20,22,108,"2,595",504,"1,935",156
,Total area actually reporting,100.0%,174,4,20,23,127,"3,151",646,"2,306",199
,"Rate per 100,000 inhabitants",,243.0,5.6,27.9,32.1,177.4,"4,400.6",902.2,"3,220.5",277.9
"Cedar Rapids, IA M.S.A.",,"250,807", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"124,730",500,3,34,137,326,"6,041","1,083","4,619",339
,Total area actually reporting,96.2%,603,3,51,145,404,"7,378","1,450","5,523",405
,Estimated total,100.0%,621,3,53,147,418,"7,602","1,487","5,700",415
,"Rate per 100,000 inhabitants",,247.6,1.2,21.1,58.6,166.7,"3,031.0",592.9,"2,272.7",165.5
"Charleston, WV M.S.A.",,"303,537", ,,,,, ,,,
,"Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties",,,,,,,,,,
,City of Charleston,"50,510",572,4,14,131,423,"3,051",601,"2,235",215
,Total area actually reporting,86.6%,"1,183",7,68,218,890,"9,185","1,980","6,381",824
,Estimated total,100.0%,"1,272",8,75,230,959,"10,124","2,185","7,039",900
,"Rate per 100,000 inhabitants",,419.1,2.6,24.7,75.8,315.9,"3,335.3",719.8,"2,319.0",296.5
"Charleston-North Charleston-Summerville, SC M.S.A.",,"616,999",,,,,,,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",, ,,,,,,,,
,City of Charleston,"109,382",909,15,56,269,569,"4,246",746,"3,056",444
,City of North Charleston,"88,431","1,561",26,92,624,819,"6,768","1,195","4,660",913
,City of Summerville,"43,985",147,2,13,36,96,"1,470",154,"1,212",104
,Total area actually reporting,100.0%,"5,086",68,278,"1,336","3,404","25,262","5,162","17,264","2,836"
,"Rate per 100,000 inhabitants",,824.3,11.0,45.1,216.5,551.7,"4,094.3",836.6,"2,798.1",459.6
"Charlotte-Gastonia-Concord, NC-SC M.S.A.",,"1,635,133",,,,,,,,,
,"Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union Counties, NC and York County, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","733,291","7,233",76,282,"3,191","3,684","51,279","12,948","32,313","6,018"
,"City of Gastonia, NC","70,127",701,5,23,234,439,"5,552","1,259","3,842",451
,"City of Concord, NC","63,284",256,7,21,100,128,"3,029",473,"2,326",230
,"City of Rock Hill, SC","63,388",798,3,20,124,651,"2,921",503,"2,208",210
,Total area actually reporting,89.1%,"11,336",109,482,"4,104","6,641","80,865","19,987","52,568","8,310"
,Estimated total,100.0%,"11,789",116,516,"4,200","6,957","86,157","21,628","55,860","8,669"
,"Rate per 100,000 inhabitants",,721.0,7.1,31.6,256.9,425.5,"5,269.1","1,322.7","3,416.2",530.2
"Charlottesville, VA M.S.A.",,"192,228", ,,,,, ,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"40,265",273,3,26,93,151,"1,938",278,"1,524",136
,Total area actually reporting,100.0%,511,5,60,150,296,"5,107",783,"4,034",290
,"Rate per 100,000 inhabitants",,265.8,2.6,31.2,78.0,154.0,"2,656.7",407.3,"2,098.5",150.9
"Chattanooga, TN-GA M.S.A.",,"503,472", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","155,043","2,009",11,102,524,"1,372","12,484","2,384","9,072","1,028"
,Total area actually reporting,100.0%,"3,342",18,178,650,"2,496","22,399","4,694","15,972","1,733"
,"Rate per 100,000 inhabitants",,663.8,3.6,35.4,129.1,495.8,"4,448.9",932.3,"3,172.4",344.2
"Cheyenne, WY M.S.A.",,"86,692", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"55,604",115,1,23,13,78,"2,557",261,"2,208",88
,Total area actually reporting,100.0%,159,1,34,15,109,"3,080",383,"2,580",117
,"Rate per 100,000 inhabitants",,183.4,1.2,39.2,17.3,125.7,"3,552.8",441.8,"2,976.1",135.0
"Chico, CA M.S.A.",,"215,992", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"74,288",385,3,59,107,216,"2,454",729,"1,450",275
,Total area actually reporting,100.0%,977,9,127,176,665,"6,666","1,840","3,951",875
,"Rate per 100,000 inhabitants",,452.3,4.2,58.8,81.5,307.9,"3,086.2",851.9,"1,829.2",405.1
"Cincinnati-Middletown, OH-KY-IN M.S.A.",,"2,115,244",,,,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","332,388","3,588",63,313,"1,961","1,251","20,531","6,200","12,332","1,999"
,"City of Middletown, OH","51,244",223,3,28,87,105,"4,040",874,"2,939",227
,Total area actually reporting,82.1%,"7,140",94,828,"3,133","3,085","62,460","14,263","43,856","4,341"
,Estimated total,100.0%,"7,702",100,915,"3,320","3,367","71,409","16,135","50,393","4,881"
,"Rate per 100,000 inhabitants",,364.1,4.7,43.3,157.0,159.2,"3,375.9",762.8,"2,382.4",230.8
"Clarksville, TN-KY M.S.A.",,"244,105", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN","114,582",992,9,65,159,759,"4,751","1,520","2,907",324
,Total area actually reporting,99.4%,"1,386",14,96,240,"1,036","8,319","2,482","5,262",575
,Estimated total,100.0%,"1,392",14,97,242,"1,039","8,373","2,493","5,301",579
,"Rate per 100,000 inhabitants",,570.2,5.7,39.7,99.1,425.6,"3,430.1","1,021.3","2,171.6",237.2
"Cleveland, TN M.S.A.",,"111,450", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"38,808",430,1,24,48,357,"2,356",465,"1,769",122
,Total area actually reporting,100.0%,833,3,36,63,731,"3,780",801,"2,729",250
,"Rate per 100,000 inhabitants",,747.4,2.7,32.3,56.5,655.9,"3,391.7",718.7,"2,448.6",224.3
"Cleveland-Elyria-Mentor, OH M.S.A.",,"2,104,225",,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",,,,,,,,,,
,City of Cleveland,"439,888","6,444",90,374,"4,022","1,958","27,016","9,050","11,184","6,782"
,City of Elyria,"55,697",222,1,35,74,112,"2,278",602,"1,515",161
,City of Mentor,"51,775",44,1,11,12,20,"1,208",135,"1,014",59
,Total area actually reporting,79.6%,"8,465",121,625,"4,862","2,857","51,387","14,869","27,739","8,779"
,Estimated total,100.0%,"9,184",129,744,"5,133","3,178","63,199","17,136","36,624","9,439"
,"Rate per 100,000 inhabitants",,436.5,6.1,35.4,243.9,151.0,"3,003.4",814.4,"1,740.5",448.6
"Coeur d'Alene, ID M.S.A.",,"135,581", ,,,,, ,,,
,Includes Kootenai County,,,,,,,,,,
,City of Coeur d'Alene,"42,324",270,1,35,18,216,"1,488",248,"1,168",72
,Total area actually reporting,100.0%,466,1,72,29,364,"3,218",685,"2,328",205
,"Rate per 100,000 inhabitants",,343.7,0.7,53.1,21.4,268.5,"2,373.5",505.2,"1,717.1",151.2
"College Station-Bryan, TX M.S.A.",,"193,097",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"74,997",251,1,38,45,167,"2,488",481,"1,919",88
,City of Bryan,"67,484",596,4,34,96,462,"3,542","1,000","2,404",138
,Total area actually reporting,100.0%,"1,016",7,88,161,760,"7,479","1,849","5,339",291
,"Rate per 100,000 inhabitants",,526.2,3.6,45.6,83.4,393.6,"3,873.2",957.5,"2,764.9",150.7
"Colorado Springs, CO M.S.A.",,"613,181", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"374,112","1,985",27,285,528,"1,145","16,554","3,179","11,888","1,487"
,Total area actually reporting,99.5%,"2,950",30,365,570,"1,985","19,926","3,934","14,162","1,830"
,Estimated total,100.0%,"2,958",30,366,572,"1,990","20,029","3,951","14,237","1,841"
,"Rate per 100,000 inhabitants",,482.4,4.9,59.7,93.3,324.5,"3,266.4",644.3,"2,321.8",300.2
"Columbia, MO M.S.A.",,"157,307", ,,,,, ,,,
,Includes Boone and Howard Counties,,,,,,,,,,
,City of Columbia,"95,595",617,3,30,141,443,"3,323",594,"2,509",220
,Total area actually reporting,100.0%,817,5,37,161,614,"4,756",880,"3,602",274
,"Rate per 100,000 inhabitants",,519.4,3.2,23.5,102.3,390.3,"3,023.4",559.4,"2,289.8",174.2
"Columbus, GA-AL M.S.A.",,"290,106", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","188,944","1,316",24,57,618,617,"13,791","2,652","9,367","1,772"
,Total area actually reporting,94.8%,"1,475",28,70,676,701,"15,780","3,165","10,597","2,018"
,Estimated total,100.0%,"1,531",29,73,698,731,"16,268","3,294","10,893","2,081"
,"Rate per 100,000 inhabitants",,527.7,10.0,25.2,240.6,252.0,"5,607.6","1,135.4","3,754.8",717.3
"Columbus, IN M.S.A.",,"74,805", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"39,764",53,1,10,16,26,"2,593",344,"2,116",133
,Total area actually reporting,99.5%,75,2,13,21,39,"2,865",361,"2,354",150
,Estimated total,100.0%,76,2,13,21,40,"2,878",363,"2,364",151
,"Rate per 100,000 inhabitants",,101.6,2.7,17.4,28.1,53.5,"3,847.3",485.3,"3,160.2",201.9
"Columbus, OH M.S.A.",,"1,737,831", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus ,"735,981","6,269",79,661,"3,849","1,680","51,491","14,370","30,893","6,228"
,Total area actually reporting,89.4%,"7,565",92,907,"4,402","2,164","76,479","19,440","49,645","7,394"
,Estimated total,100.0%,"7,736",94,943,"4,449","2,250","80,041","20,330","52,120","7,591"
,"Rate per 100,000 inhabitants",,445.2,5.4,54.3,256.0,129.5,"4,605.8","1,169.8","2,999.1",436.8
"Corpus Christi, TX M.S.A.",,"417,469", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"286,269","2,365",17,238,497,"1,613","18,713","3,404","14,486",823
,Total area actually reporting,100.0%,"2,835",23,298,579,"1,935","24,266","4,752","18,486","1,028"
,"Rate per 100,000 inhabitants",,679.1,5.5,71.4,138.7,463.5,"5,812.6","1,138.3","4,428.1",246.2
"Corvallis, OR M.S.A.",,"79,314", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"49,870",57,1,11,10,35,"1,554",226,"1,261",67
,Total area actually reporting,100.0%,110,2,19,16,73,"2,398",414,"1,875",109
,"Rate per 100,000 inhabitants",,138.7,2.5,24.0,20.2,92.0,"3,023.4",522.0,"2,364.0",137.4
"Cumberland, MD-WV M.S.A.",,"98,759", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,654",180,0,7,35,138,"1,266",293,935,38
,Total area actually reporting,100.0%,372,1,25,43,303,"2,697",656,"1,915",126
,"Rate per 100,000 inhabitants",,376.7,1.0,25.3,43.5,306.8,"2,730.9",664.2,"1,939.1",127.6
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,132,121",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,239,104","13,248",200,511,"7,222","5,315","83,962","22,472","47,699","13,791"
,City of Fort Worth,"670,693","4,474",58,335,"1,620","2,461","36,681","9,008","24,988","2,685"
,City of Arlington,"372,073","2,588",13,156,742,"1,677","21,079","4,447","14,990","1,642"
,City of Plano,"259,771",676,2,51,161,462,"7,973","1,384","6,168",421
,City of Irving,"196,676",729,9,30,240,450,"9,030","1,730","6,306",994
,City of Carrollton,"123,324",237,5,3,116,113,"3,890",893,"2,636",361
,City of Denton,"113,936",366,2,76,84,204,"3,505",718,"2,614",173
,City of Richardson,"100,933",290,2,22,136,130,"3,107",793,"2,084",230
,City of McKinney,"118,113",255,1,49,44,161,"2,626",531,"1,949",146
,Total area actually reporting,99.9%,"30,904",359,"1,937","12,386","16,222","264,138","62,817","173,026","28,295"
,Estimated total,100.0%,"30,905",359,"1,937","12,386","16,223","264,156","62,821","173,039","28,296"
,"Rate per 100,000 inhabitants",,504.0,5.9,31.6,202.0,264.6,"4,307.7","1,024.5","2,821.8",461.4
"Dallas-Plano-Irving, TX M.D.",,"4,107,704",,,,,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"21,174",268,"1,164","9,509","10,233","175,648","42,875","111,091","21,682"
,Estimated total,100.0%,"21,175",268,"1,164","9,509","10,234","175,666","42,879","111,104","21,683"
,"Rate per 100,000 inhabitants",,515.5,6.5,28.3,231.5,249.1,"4,276.5","1,043.9","2,704.8",527.9
"Fort Worth-Arlington, TX M.D.",,"2,024,417",,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"9,730",91,773,"2,877","5,989","88,490","19,942","61,935","6,613"
,"Rate per 100,000 inhabitants",,480.6,4.5,38.2,142.1,295.8,"4,371.1",985.1,"3,059.4",326.7
"Dalton, GA M.S.A.3",,"136,405", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton3,"33,790",140,3,6,30,101,,230,"1,026",
,Total area actually reporting,99.5%,471,3,26,46,396,,917,"3,079",
,Estimated total,100.0%,474,3,26,47,398,,923,"3,100",
,"Rate per 100,000 inhabitants",,347.5,2.2,19.1,34.5,291.8,,676.7,"2,272.6",
"Danville, VA M.S.A.",,"106,432", ,,,,, ,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,
,City of Danville,"45,114",204,5,9,98,92,"2,437",550,"1,775",112
,Total area actually reporting,100.0%,269,9,16,122,122,"3,041",781,"2,088",172
,"Rate per 100,000 inhabitants",,252.7,8.5,15.0,114.6,114.6,"2,857.2",733.8,"1,961.8",161.6
"Dayton, OH M.S.A.",,"835,430", ,,,,, ,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,
,City of Dayton,"155,526","1,597",28,116,749,704,"10,465","3,272","5,607","1,586"
,Total area actually reporting,80.6%,"2,287",37,294,997,959,"25,185","5,896","16,779","2,510"
,Estimated total,100.0%,"2,494",39,332,"1,067","1,056","28,932","6,713","19,501","2,718"
,"Rate per 100,000 inhabitants",,298.5,4.7,39.7,127.7,126.4,"3,463.1",803.5,"2,334.2",325.3
"Decatur, AL M.S.A.",,"150,246", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"56,019",251,0,28,105,118,"3,624",830,"2,584",210
,Total area actually reporting,97.4%,336,0,40,114,182,"5,097","1,264","3,526",307
,Estimated total,100.0%,352,0,41,120,191,"5,264","1,299","3,646",319
,"Rate per 100,000 inhabitants",,234.3,0.0,27.3,79.9,127.1,"3,503.6",864.6,"2,426.7",212.3
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"500,013",,,,,,,,,
,Includes Volusia County,,,,,,,,,,
,City of Daytona Beach,"64,236","1,063",8,48,323,684,"4,612","1,172","2,873",567
,City of Ormond Beach,"38,792",107,0,5,30,72,"1,278",245,959,74
,Total area actually reporting,99.4%,"2,916",20,165,728,"2,003","18,239","4,720","11,752","1,767"
,Estimated total,100.0%,"2,934",20,166,734,"2,014","18,361","4,747","11,836","1,778"
,"Rate per 100,000 inhabitants",,586.8,4.0,33.2,146.8,402.8,"3,672.1",949.4,"2,367.1",355.6
"Denver-Aurora, CO M.S.A.",,"2,464,178",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"573,387","3,552",47,296,"1,045","2,164","22,409","5,694","11,594","5,121"
,City of Aurora,"307,621","1,687",14,191,583,899,"11,790","2,321","7,750","1,719"
,Total area actually reporting,99.9%,"9,011",85,"1,056","2,320","5,550","77,760","15,788","50,307","11,665"
,Estimated total,100.0%,"9,016",85,"1,057","2,321","5,553","77,818","15,798","50,349","11,671"
,"Rate per 100,000 inhabitants",,365.9,3.4,42.9,94.2,225.3,"3,158.0",641.1,"2,043.2",473.6
"Des Moines-West Des Moines, IA M.S.A.",,"541,394", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"192,948","1,514",4,185,387,938,"11,794","2,095","8,631","1,068"
,City of West Des Moines,"54,988",88,0,15,15,58,"1,586",226,"1,315",45
,Total area actually reporting,100.0%,"2,076",7,256,463,"1,350","18,789","3,315","14,003","1,471"
,"Rate per 100,000 inhabitants",,383.5,1.3,47.3,85.5,249.4,"3,470.5",612.3,"2,586.5",271.7
"Detroit-Warren-Livonia, MI M.S.A.2, 4",,"4,451,481",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"860,971","19,708",394,341,"6,575","12,398","58,302","17,767","20,918","19,617"
,City of Warren4,"134,081",840,7,83,216,534,,824,"2,360",
,City of Livonia,"96,261",153,1,27,31,94,"2,418",421,"1,730",267
,City of Dearborn,"91,748",466,1,27,146,292,"4,333",581,"2,945",807
,City of Troy,"81,130",80,1,10,20,49,"1,882",272,"1,441",169
,City of Farmington Hills,"79,475",142,0,13,27,102,"1,517",403,949,165
,City of Southfield,"75,830",745,2,26,170,547,"3,260",755,"1,865",640
,City of Pontiac,"67,059","1,259",19,44,339,857,"3,116","1,287","1,215",614
,City of Taylor,"64,048",273,4,25,97,147,"2,864",483,"1,903",478
,City of Novi,"55,127",34,0,5,5,24,"1,150",165,939,46
,Total area actually reporting,98.9%,"31,430",485,"1,381","9,261","20,303",,"35,833","81,394",
,Estimated total,100.0%,"31,591",486,"1,398","9,296","20,411",,"36,117","82,453",
,"Rate per 100,000 inhabitants",,709.7,10.9,31.4,208.8,458.5,,811.3,"1,852.3",
"Detroit-Livonia-Dearborn, MI M.D.2",,"1,951,186",,,,,,,,,
,Includes Wayne2 County,,,,,,,,,,
,Total area actually reporting,97.4%,"23,647",428,637,"7,688","14,894",,"24,134","42,374",
,Estimated total,100.0%,"23,808",429,654,"7,723","15,002",,"24,418","43,433",
,"Rate per 100,000 inhabitants",,"1,220.2",22.0,33.5,395.8,768.9,,"1,251.4","2,226.0",
"Warren-Troy-Farmington Hills, MI M.D.4",,"2,500,295",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"7,783",57,744,"1,573","5,409",,"11,699","39,020",
,"Rate per 100,000 inhabitants",,311.3,2.3,29.8,62.9,216.3,,467.9,"1,560.6",
"Dothan, AL M.S.A.",,"139,475", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"63,984",411,8,45,187,171,"3,294",778,"2,333",183
,Total area actually reporting,96.2%,545,14,53,211,267,"4,719","1,140","3,263",316
,Estimated total,100.0%,566,14,54,219,279,"4,949","1,189","3,428",332
,"Rate per 100,000 inhabitants",,405.8,10.0,38.7,157.0,200.0,"3,548.3",852.5,"2,457.8",238.0
"Dover, DE M.S.A.",,"150,986", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"35,133",277,1,16,62,198,"1,861",111,"1,625",125
,Total area actually reporting,100.0%,942,5,84,141,712,"4,700",922,"3,492",286
,"Rate per 100,000 inhabitants",,623.9,3.3,55.6,93.4,471.6,"3,112.9",610.7,"2,312.8",189.4
"Dubuque, IA M.S.A.",,"92,749", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"57,694",407,1,23,27,356,"1,946",610,"1,256",80
,Total area actually reporting,100.0%,468,1,25,27,415,"2,249",713,"1,429",107
,"Rate per 100,000 inhabitants",,504.6,1.1,27.0,29.1,447.4,"2,424.8",768.7,"1,540.7",115.4
"Duluth, MN-WI M.S.A.5",,"274,026", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN5 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN5","83,932",,1,,111,248,"4,292",707,"3,358",227
,Total area actually reporting,97.6%,,4,,150,441,"9,471","1,776","7,169",526
,Estimated total,100.0%,,4,,153,447,"9,690","1,808","7,343",539
,"Rate per 100,000 inhabitants",,,1.5,,55.8,163.1,"3,536.2",659.8,"2,679.7",196.7
"Eau Claire, WI M.S.A.",,"156,492", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,, ,,,,,,,,
,City of Eau Claire,"63,472",96,0,12,12,72,"1,966",365,"1,503",98
,Total area actually reporting,100.0%,157,1,25,15,116,"3,574",667,"2,732",175
,"Rate per 100,000 inhabitants",,100.3,0.6,16.0,9.6,74.1,"2,283.8",426.2,"1,745.8",111.8
"El Centro, CA M.S.A.",,"161,766", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"40,957",266,3,11,31,221,"2,072",710,"1,115",247
,Total area actually reporting,100.0%,545,4,28,95,418,"6,066","1,956","2,950","1,160"
,"Rate per 100,000 inhabitants",,336.9,2.5,17.3,58.7,258.4,"3,749.9","1,209.2","1,823.6",717.1
"Elizabethtown, KY M.S.A.",,"111,690", ,,,,, ,,,
,Includes Hardin and Larue Counties,,,,,,,,,,
,City of Elizabethtown,"23,547",86,1,18,23,44,"1,039",173,823,43
,Total area actually reporting,100.0%,,3,38,45,,"1,873",416,"1,365",92
,"Rate per 100,000 inhabitants",,,2.7,34.0,40.3,,"1,677.0",372.5,"1,222.1",82.4
"Elmira, NY M.S.A.",,"88,057", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"29,375",134,3,5,28,98,"1,266",269,956,41
,Total area actually reporting,88.0%,224,3,14,37,170,"2,382",406,"1,906",70
,Estimated total,100.0%,244,3,15,44,182,"2,583",437,"2,067",79
,"Rate per 100,000 inhabitants",,277.1,3.4,17.0,50.0,206.7,"2,933.3",496.3,"2,347.3",89.7
"El Paso, TX M.S.A.",,"744,171", ,,,,, ,,,
,Includes El Paso County,,,,,,,,,,
,City of El Paso,"616,029","2,574",17,258,472,"1,827","19,722","2,149","14,545","3,028"
,Total area actually reporting,100.0%,"2,979",20,289,540,"2,130","22,917","2,806","16,848","3,263"
,"Rate per 100,000 inhabitants",,400.3,2.7,38.8,72.6,286.2,"3,079.5",377.1,"2,264.0",438.5
"Erie, PA M.S.A.",,"278,948", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"101,812",543,3,75,264,201,"3,068",831,"2,062",175
,Total area actually reporting,100.0%,801,5,117,313,366,"5,995","1,514","4,197",284
,"Rate per 100,000 inhabitants",,287.2,1.8,41.9,112.2,131.2,"2,149.1",542.8,"1,504.6",101.8
"Eugene-Springfield, OR M.S.A.",,"340,482",,,,,,,,,
,Includes Lane County,, ,,,,,,,,
,City of Eugene,"147,458",426,1,55,181,189,"7,804","1,640","5,119","1,045"
,City of Springfield,"56,201",245,0,10,40,195,"3,137",504,"2,219",414
,Total area actually reporting,100.0%,"1,048",1,94,257,696,"13,876","3,096","8,958","1,822"
,"Rate per 100,000 inhabitants",,307.8,0.3,27.6,75.5,204.4,"4,075.4",909.3,"2,631.0",535.1
"Evansville, IN-KY M.S.A.",,"351,489", ,,,,, ,,,
,"Includes Gibson, Posey, Vanderburgh, and Warrick Counties, IN and Henderson and Webster Counties, KY",,,,,,,,,,
,"City of Evansville, IN","114,985",522,2,56,179,285,"5,308","1,108","3,905",295
,Total area actually reporting,82.9%,774,5,82,197,490,"8,002","1,491","6,108",403
,Estimated total,100.0%,923,6,97,247,573,"9,728","1,843","7,358",527
,"Rate per 100,000 inhabitants",,262.6,1.7,27.6,70.3,163.0,"2,767.7",524.3,"2,093.4",149.9
"Fairbanks, AK M.S.A.",,"33,156", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"31,287",258,5,43,42,168,"1,358",236,957,165
,Total area actually reporting,100.0%,275,5,44,43,183,"1,583",262,"1,146",175
,"Rate per 100,000 inhabitants",,829.4,15.1,132.7,129.7,551.9,"4,774.4",790.2,"3,456.4",527.8
"Fargo, ND-MN M.S.A.5",,"189,580", ,,,,, ,,,
,"Includes Clay County, MN5 and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","89,998",241,3,62,26,150,"2,745",530,"2,018",197
,Total area actually reporting,100.0%,,3,,37,229,"4,537",866,"3,338",333
,"Rate per 100,000 inhabitants",,,1.6,,19.5,120.8,"2,393.2",456.8,"1,760.7",175.7
"Farmington, NM M.S.A.",,"128,294", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"44,396",367,8,62,38,259,"1,705",582,983,140
,Total area actually reporting,100.0%,744,16,106,50,572,"3,052",996,"1,777",279
,"Rate per 100,000 inhabitants",,579.9,12.5,82.6,39.0,445.9,"2,378.9",776.3,"1,385.1",217.5
"Fayetteville, NC M.S.A.",,"345,641", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"167,157","1,320",21,56,500,743,"12,614","3,569","8,223",822
,Total area actually reporting,88.3%,"2,054",28,85,653,"1,288","19,384","5,690","12,474","1,220"
,Estimated total,100.0%,"2,136",30,92,667,"1,347","20,319","6,021","13,005","1,293"
,"Rate per 100,000 inhabitants",,618.0,8.7,26.6,193.0,389.7,"5,878.6","1,742.0","3,762.6",374.1
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.",,"432,754",,,,,,,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,
,"City of Fayetteville, AR","70,334",362,3,42,55,262,"3,236",656,"2,435",145
,"City of Springdale, AR","65,695",322,2,65,33,222,"2,825",621,"1,996",208
,"City of Rogers, AR","54,223",93,0,44,14,35,"2,340",265,"2,008",67
,"City of Bentonville, AR","34,232",79,0,20,4,55,879,128,714,37
,Total area actually reporting,99.4%,"1,391",9,256,115,"1,011","12,722","2,818","9,241",663
,Estimated total,100.0%,"1,403",9,257,118,"1,019","12,821","2,847","9,306",668
,"Rate per 100,000 inhabitants",,324.2,2.1,59.4,27.3,235.5,"2,962.7",657.9,"2,150.4",154.4
"Flagstaff, AZ M.S.A.",,"126,419", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"58,978",316,3,51,63,199,"3,678",471,"3,087",120
,Total area actually reporting,97.4%,560,3,76,73,408,"5,072",721,"4,171",180
,Estimated total,100.0%,571,3,77,76,415,"5,201",750,"4,254",197
,"Rate per 100,000 inhabitants",,451.7,2.4,60.9,60.1,328.3,"4,114.1",593.3,"3,365.0",155.8
"Flint, MI M.S.A.",,"440,751", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"116,024","2,741",30,109,665,"1,937","7,246","3,241","2,965","1,040"
