Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2017",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Dayton, OH M.S.A.4",,"802,856", ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,"140,171"," 1,232 ", 30 , 122 , 393 , 687 ," 6,083 "," 1,779 "," 3,688 ", 616 
,Total area actually reporting,96.9%," 2,326 ", 42 , 439 , 722 ," 1,123 "," 19,998 "," 4,079 "," 14,356 "," 1,563 "
,Estimated total,100.0%," 2,363 ", 43 , 447 , 733 ," 1,140 "," 20,504 "," 4,156 "," 14,761 "," 1,587 "
,"Rate per 100,000 inhabitants",,294.3,5.4,55.7,91.3,142.0,"2,553.9",517.7,"1,838.6",197.7
"Decatur, AL M.S.A.",,"151,897", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"54,958", 199 , 9 , 20 , 53 , 117 ," 2,284 ", 431 ," 1,680 ", 173 
,Total area actually reporting,99.3%, 463 , 11 , 45 , 61 , 346 ," 3,423 ", 791 ," 2,345 ", 287 
,Estimated total,100.0%, 468 , 11 , 45 , 62 , 350 ," 3,460 ", 797 ," 2,373 ", 290 
,"Rate per 100,000 inhabitants",,308.1,7.2,29.6,40.8,230.4,"2,277.9",524.7,"1,562.2",190.9
"Decatur, IL M.S.A.",,"105,916", ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,"72,153", 443 , 10 , 52 , 106 , 275 ," 2,394 ", 731 ," 1,571 ", 92 
,Total area actually reporting,99.0%, 503 , 10 , 66 , 113 , 314 ," 2,818 ", 818 ," 1,896 ", 104 
,Estimated total,100.0%, 505 , 10 , 66 , 114 , 315 ," 2,836 ", 821 ," 1,910 ", 105 
,"Rate per 100,000 inhabitants", ,476.8,9.4,62.3,107.6,297.4,"2,677.6",775.1,"1,803.3",99.1
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"647,702",,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,"67,564", 748 , 12 , 23 , 82 , 631 ," 3,819 ", 497 ," 3,027 ", 295 
,City of Ormond Beach,"42,625", 202 , 0 , 10 , 25 , 167 ," 1,386 ", 280 ," 1,003 ", 103 
,Total area actually reporting,100.0%," 2,298 ", 32 , 136 , 340 ," 1,790 "," 16,087 "," 2,655 "," 12,258 "," 1,174 "
,"Rate per 100,000 inhabitants",,354.8,4.9,21.0,52.5,276.4,"2,483.7",409.9,"1,892.5",181.3
"Denver-Aurora-Lakewood, CO M.S.A.3",,"2,895,448",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"706,616"," 4,774 ", 59 , 699 ," 1,232 "," 2,784 "," 25,912 "," 4,331 "," 16,021 "," 5,560 "
,City of Aurora,"368,018"," 2,239 ", 30 , 319 , 679 ," 1,211 "," 11,054 "," 1,671 "," 7,194 "," 2,189 "
,City of Lakewood,"156,344"," 1,007 ", 5 , 151 , 208 , 643 ," 7,596 ", 911 ," 5,492 "," 1,193 "
,City of Broomfield,"68,158", 84 , 1 , 23 , 7 , 53 ," 1,790 ", 197 ," 1,400 ", 193 
,Total area actually reporting,99.9%," 11,976 ", 133 ," 2,102 "," 2,694 "," 7,047 ",,," 58,868 "," 15,209 "
,Estimated total,100.0%," 11,985 ", 133 ," 2,104 "," 2,695 "," 7,053 ",,," 58,944 "," 15,222 "
,"Rate per 100,000 inhabitants",,413.9,4.6,72.7,93.1,243.6,,,"2,035.7",525.7
"Detroit-Warren-Dearborn, MI M.S.A.",,"4,309,631",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"670,792"," 13,796 ", 267 , 697 ," 2,639 "," 10,193 "," 30,458 "," 8,258 "," 14,045 "," 8,155 "
,City of Warren,"135,303", 681 , 7 , 125 , 97 , 452 ," 2,900 ", 659 ," 1,804 ", 437 
,City of Dearborn,"93,889", 256 , 0 , 38 , 51 , 167 ," 2,272 ", 218 ," 1,776 ", 278 
,City of Livonia,"93,603", 108 , 0 , 16 , 16 , 76 ," 1,431 ", 165 ," 1,137 ", 129 
,City of Troy,"84,086", 55 , 0 , 14 , 6 , 35 ," 1,275 ", 94 ," 1,114 ", 67 
,City of Farmington Hills,"81,359", 93 , 1 , 15 , 16 , 61 , 915 , 119 , 719 , 77 
,City of Southfield,"73,324", 151 , 1 , 18 , 37 , 95 ," 2,032 ", 315 ," 1,454 ", 263 
,City of Taylor,"60,882", 348 , 4 , 39 , 58 , 247 ," 1,480 ", 326 , 973 , 181 
,City of Pontiac,"59,731", 644 , 4 , 61 , 97 , 482 ," 1,510 ", 468 , 820 , 222 
,City of Novi,"59,895", 43 , 0 , 11 , 6 , 26 , 617 , 42 , 543 , 32 
,Total area actually reporting,100.0%," 23,445 ", 339 ," 2,277 "," 4,040 "," 16,789 "," 83,845 "," 17,022 "," 53,177 "," 13,646 "
,"Rate per 100,000 inhabitants",,544.0,7.9,52.8,93.7,389.6,"1,945.5",395.0,"1,233.9",316.6
"Detroit-Dearborn-Livonia, MI M.D.",,"1,742,865",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,100.0%," 17,965 ", 304 ," 1,257 "," 3,360 "," 13,044 "," 51,921 "," 11,710 "," 29,411 "," 10,800 "
,"Rate per 100,000 inhabitants",,"1,030.8",17.4,72.1,192.8,748.4,"2,979.1",671.9,"1,687.5",619.7
"Warren-Troy-Farmington Hills, MI M.D.",,"2,566,766",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,100.0%," 5,480 ", 35 ," 1,020 ", 680 ," 3,745 "," 31,924 "," 5,312 "," 23,766 "," 2,846 "
,"Rate per 100,000 inhabitants",,213.5,1.4,39.7,26.5,145.9,"1,243.7",207.0,925.9,110.9
"Dothan, AL M.S.A.",,"148,079", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"67,653", 572 , 6 , 35 , 67 , 464 ," 2,686 ", 615 ," 1,875 ", 196 
,Total area actually reporting,99.4%, 841 , 8 , 66 , 87 , 680 ," 4,079 ", 946 ," 2,822 ", 311 
,Estimated total,100.0%, 845 , 8 , 66 , 88 , 683 ," 4,107 ", 951 ," 2,843 ", 313 
,"Rate per 100,000 inhabitants",,570.6,5.4,44.6,59.4,461.2,"2,773.5",642.2,"1,919.9",211.4
"Dover, DE M.S.A.",,"177,027", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"38,084", 264 , 4 , 14 , 38 , 208 ," 1,671 ", 52 ," 1,558 ", 61 
,Total area actually reporting,100.0%, 757 , 6 , 81 , 108 , 562 ," 4,058 ", 534 ," 3,379 ", 145 
,"Rate per 100,000 inhabitants",,427.6,3.4,45.8,61.0,317.5,"2,292.3",301.6,"1,908.7",81.9
"Dubuque, IA M.S.A.",,"97,394", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"58,674", 166 , 2 , 40 , 16 , 108 ," 1,606 ", 333 ," 1,210 ", 63 
,Total area actually reporting,100.0%, 188 , 2 , 50 , 16 , 120 ," 1,805 ", 398 ," 1,329 ", 78 
,"Rate per 100,000 inhabitants",,193.0,2.1,51.3,16.4,123.2,"1,853.3",408.6,"1,364.6",80.1
"Duluth, MN-WI M.S.A.",,"280,022", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN","86,306", 279 , 1 , 31 , 66 , 181 ," 3,819 ", 506 ," 3,091 ", 222 
,Total area actually reporting,100.0%, 565 , 4 , 100 , 89 , 372 ," 8,421 "," 1,263 "," 6,644 ", 514 
,"Rate per 100,000 inhabitants",,201.8,1.4,35.7,31.8,132.8,"3,007.3",451.0,"2,372.7",183.6
"Durham-Chapel Hill, NC M.S.A.4",,"569,875", ,,,,, ,,,
,"Includes Chatham, Durham, Orange and Person Counties4",,,,,,,,,,
,City of Durham4,"269,088",, 23 ,, 852 ," 1,257 "," 10,296 "," 2,334 "," 7,200 ", 762 
,City of Chapel Hill4,"59,553",, 1 ,, 40 , 38 ," 1,284 ", 251 , 980 , 53 
,Total area actually reporting,100.0%,, 31 ,," 1,003 "," 1,679 "," 16,298 "," 3,967 "," 11,324 "," 1,007 "
,"Rate per 100,000 inhabitants",,,5.4,,176.0,294.6,"2,859.9",696.1,"1,987.1",176.7
"East Stroudsburg, PA M.S.A.",,"165,582",,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,100.0%, 428 , 8 , 73 , 71 , 276 ," 3,213 ", 587 ," 2,534 ", 92 
,"Rate per 100,000 inhabitants",,258.5,4.8,44.1,42.9,166.7,"1,940.4",354.5,"1,530.4",55.6
"Eau Claire, WI M.S.A.3",,"167,499", ,,,,, ,,,
,Includes Chippewa and Eau Claire3 Counties,,,,,,,,,,
,City of Eau Claire,"68,687", 162 , 1 , 32 , 44 , 85 ," 2,000 ", 385 ," 1,531 ", 84 
,Total area actually reporting,100.0%,, 3 , 55 , 52 ,," 3,158 ", 576 ," 2,433 ", 149 
,"Rate per 100,000 inhabitants",,,1.8,32.8,31.0,,"1,885.4",343.9,"1,452.5",89.0
"El Centro, CA M.S.A.",,"181,724", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"44,458", 185 , 4 , 15 , 45 , 121 ," 1,820 ", 409 ," 1,285 ", 126 
,Total area actually reporting,95.9%, 628 , 7 , 45 , 87 , 489 ," 4,836 "," 1,293 "," 3,017 ", 526 
,Estimated total,100.0%, 653 , 7 , 47 , 95 , 504 ," 5,012 "," 1,325 "," 3,133 ", 554 
,"Rate per 100,000 inhabitants",,359.3,3.9,25.9,52.3,277.3,"2,758.0",729.1,"1,724.0",304.9
"Elizabethtown-Fort Knox, KY M.S.A.",,"149,535", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"30,065", 61 , 1 , 11 , 13 , 36 , 469 , 169 , 244 , 56 
,Total area actually reporting,100.0%, 169 , 5 , 31 , 37 , 96 ," 1,810 ", 519 ," 1,098 ", 193 
,"Rate per 100,000 inhabitants",,113.0,3.3,20.7,24.7,64.2,"1,210.4",347.1,734.3,129.1
"Elmira, NY M.S.A.",,"86,084", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"27,740", 80 , 2 , 2 , 29 , 47 , 863 , 126 , 717 , 20 
,Total area actually reporting,100.0%, 143 , 4 , 28 , 32 , 79 ," 1,417 ", 185 ," 1,198 ", 34 
,"Rate per 100,000 inhabitants",,166.1,4.6,32.5,37.2,91.8,"1,646.1",214.9,"1,391.7",39.5
"El Paso, TX M.S.A.",,"847,071", ,,,,, ,,,
,Includes El Paso and Hudspeth Counties,,,,,,,,,,
,City of El Paso,"688,667"," 2,609 ", 19 , 371 , 400 ," 1,819 "," 12,526 "," 1,297 "," 10,429 ", 800 
,Total area actually reporting,100.0%," 3,018 ", 21 , 441 , 432 ," 2,124 "," 14,287 "," 1,604 "," 11,784 ", 899 
,"Rate per 100,000 inhabitants",,356.3,2.5,52.1,51.0,250.7,"1,686.6",189.4,"1,391.1",106.1
"Enid, OK M.S.A.",,"62,575", ,,,,, ,,,
,Includes Garfield County,,,,,,,,,,
,City of Enid,"51,257", 174 , 0 , 34 , 21 , 119 ," 1,751 ", 417 ," 1,242 ", 92 
,Total area actually reporting,100.0%, 189 , 0 , 36 , 21 , 132 ," 1,890 ", 458 ," 1,328 ", 104 
,"Rate per 100,000 inhabitants",,302.0,0.0,57.5,33.6,210.9,"3,020.4",731.9,"2,122.3",166.2
"Erie, PA M.S.A.",,"275,639", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"98,071", 306 , 6 , 32 , 98 , 170 ," 2,258 ", 531 ," 1,619 ", 108 
,Total area actually reporting,100.0%, 643 , 12 , 66 , 114 , 451 ," 4,907 ", 911 ," 3,814 ", 182 
,"Rate per 100,000 inhabitants",,233.3,4.4,23.9,41.4,163.6,"1,780.2",330.5,"1,383.7",66.0
"Eugene, OR M.S.A.2",,"372,953", ,,,,, ,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,"168,310", 651 , 3 , 101 , 177 , 370 ," 6,276 "," 1,129 "," 4,602 ", 545 
,Total area actually reporting,99.1%," 1,235 ", 8 , 172 , 249 , 806 ," 11,248 "," 1,925 "," 8,349 ", 974 
,Estimated total,100.0%," 1,242 ", 8 , 174 , 250 , 810 ," 11,334 "," 1,935 "," 8,414 ", 985 
,"Rate per 100,000 inhabitants",,333.0,2.1,46.7,67.0,217.2,"3,039.0",518.8,"2,256.0",264.1
"Evansville, IN-KY M.S.A.",,"317,010", ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,"119,371", 825 , 20 , 75 , 185 , 545 ," 5,979 ", 863 ," 4,641 ", 475 
,Total area actually reporting,98.0%," 1,167 ", 26 , 117 , 231 , 793 ," 8,672 "," 1,442 "," 6,569 ", 661 
,Estimated total,100.0%," 1,185 ", 26 , 119 , 235 , 805 ," 8,831 "," 1,460 "," 6,698 ", 673 
,"Rate per 100,000 inhabitants",,373.8,8.2,37.5,74.1,253.9,"2,785.7",460.6,"2,112.9",212.3
"Fairbanks, AK M.S.A.",,"35,185", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"32,937", 205 , 10 , 24 , 40 , 131 ," 1,493 ", 164 ," 1,121 ", 208 
,Total area actually reporting,100.0%, 214 , 10 , 26 , 41 , 137 ," 1,641 ", 170 ," 1,255 ", 216 
,"Rate per 100,000 inhabitants",,608.2,28.4,73.9,116.5,389.4,"4,663.9",483.2,"3,566.9",613.9
"Fargo, ND-MN M.S.A.",,"239,227", ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","123,430", 497 , 3 , 83 , 68 , 343 ," 3,870 ", 593 ," 2,975 ", 302 
,Total area actually reporting,100.0%, 670 , 4 , 133 , 85 , 448 ," 5,755 ", 902 ," 4,370 ", 483 
,"Rate per 100,000 inhabitants",,280.1,1.7,55.6,35.5,187.3,"2,405.7",377.0,"1,826.7",201.9
"Farmington, NM M.S.A.",,"112,964", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"40,940", 519 , 3 , 62 , 54 , 400 ," 1,971 ", 492 ," 1,326 ", 153 
,Total area actually reporting,100.0%," 1,250 ", 5 , 133 , 66 ," 1,046 "," 3,144 ", 792 ," 2,110 ", 242 
,"Rate per 100,000 inhabitants",,"1,106.5",4.4,117.7,58.4,926.0,"2,783.2",701.1,"1,867.9",214.2
"Fayetteville, NC M.S.A.4",,"383,425", ,,,,, ,,,
,Includes Cumberland and Hoke Counties4,,,,,,,,,,
,City of Fayetteville4,"205,432",, 24 ,, 292 ," 1,105 "," 8,811 "," 1,818 "," 6,578 ", 415 
,Total area actually reporting,96.5%,, 31 ,, 347 ," 1,243 "," 11,022 "," 2,464 "," 8,084 ", 474 
,Estimated total,100.0%,, 31 ,, 356 ," 1,265 "," 11,401 "," 2,533 "," 8,378 ", 490 
,"Rate per 100,000 inhabitants",,,8.1,,92.8,329.9,"2,973.5",660.6,"2,185.0",127.8
"Flagstaff, AZ M.S.A.",,"141,844",,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"72,388", 307 , 7 , 35 , 57 , 208 ," 2,729 ", 161 ," 2,486 ", 82 
,Total area actually reporting,100.0%, 545 , 11 , 78 , 62 , 394 ," 3,944 ", 356 ," 3,455 ", 133 
,"Rate per 100,000 inhabitants",,384.2,7.8,55.0,43.7,277.8,"2,780.5",251.0,"2,435.8",93.8
"Flint, MI M.S.A.",,"406,927", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"96,605"," 1,879 ", 37 , 104 , 272 ," 1,466 "," 2,632 ", 961 ," 1,397 ", 274 
,Estimated total,100.0%," 2,902 ", 48 , 293 , 412 ," 2,149 "," 7,752 "," 1,901 "," 5,274 ", 577 
,"Rate per 100,000 inhabitants",,713.2,11.8,72.0,101.2,528.1,"1,905.0",467.2,"1,296.1",141.8
"Florence, SC M.S.A.",,"206,228", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"38,449", 487 , 5 , 27 , 61 , 394 ," 2,728 ", 353 ," 2,242 ", 133 
,Total area actually reporting,98.2%," 1,707 ", 48 , 111 , 208 ," 1,340 "," 8,997 "," 1,981 "," 6,454 ", 562 
,Estimated total,100.0%," 1,724 ", 48 , 113 , 211 ," 1,352 "," 9,127 "," 1,999 "," 6,557 ", 571 
,"Rate per 100,000 inhabitants",,836.0,23.3,54.8,102.3,655.6,"4,425.7",969.3,"3,179.5",276.9
"Florence-Muscle Shoals, AL M.S.A.",,"146,328", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"40,059", 189 , 1 , 30 , 40 , 118 ," 1,703 ", 319 ," 1,239 ", 145 
,City of Muscle Shoals,"13,939", 81 , 1 , 3 , 5 , 72 , 637 , 121 , 458 , 58 
,Total area actually reporting,99.8%, 488 , 2 , 68 , 65 , 353 ," 3,601 ", 749 ," 2,499 ", 353 
,Estimated total,100.0%, 489 , 2 , 68 , 65 , 354 ," 3,611 ", 751 ," 2,506 ", 354 
,"Rate per 100,000 inhabitants",,334.2,1.4,46.5,44.4,241.9,"2,467.7",513.2,"1,712.6",241.9
"Fond du Lac, WI M.S.A.",,"102,243", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,929", 110 , 1 , 28 , 19 , 62 , 901 , 82 , 788 , 31 
,Total area actually reporting,100.0%, 148 , 2 , 42 , 19 , 85 ," 1,225 ", 150 ," 1,027 ", 48 
,"Rate per 100,000 inhabitants",,144.8,2.0,41.1,18.6,83.1,"1,198.1",146.7,"1,004.5",46.9
"Fort Collins, CO M.S.A.",,"345,764",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"167,633", 369 , 6 , 45 , 42 , 276 ," 4,250 ", 457 ," 3,586 ", 207 
,Total area actually reporting,100.0%, 829 , 6 , 147 , 76 , 600 ," 7,755 ", 937 ," 6,394 ", 424 
,"Rate per 100,000 inhabitants",,239.8,1.7,42.5,22.0,173.5,"2,242.9",271.0,"1,849.2",122.6
"Fort Smith, AR-OK M.S.A.",,"281,048", , ,,,, ,,,
,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","88,437", 787 , 7 , 71 , 107 , 602 ," 4,511 ", 832 ," 3,345 ", 334 
,Total area actually reporting,99.7%," 1,419 ", 10 , 160 , 128 ," 1,121 "," 8,268 "," 1,837 "," 5,857 ", 574 
,Estimated total,100.0%," 1,423 ", 10 , 161 , 128 ," 1,124 "," 8,289 "," 1,842 "," 5,872 ", 575 
,"Rate per 100,000 inhabitants",,506.3,3.6,57.3,45.5,399.9,"2,949.3",655.4,"2,089.3",204.6
"Fort Wayne, IN M.S.A.4, 5",,"434,895", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"266,259", 952 , 37 , 136 , 299 , 480 ," 8,466 "," 1,308 "," 6,626 ", 532 
,Total area actually reporting,92.7%," 1,176 ", 39 , 180 , 337 , 620 ,," 1,565 ",, 640 
,Estimated total,100.0%," 1,233 ", 39 , 187 , 347 , 660 ,," 1,648 ",, 687 
,"Rate per 100,000 inhabitants",,283.5,9.0,43.0,79.8,151.8,,378.9,,158.0
"Fresno, CA M.S.A.",,"986,951", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"526,371"," 2,974 ", 56 , 174 , 958 ," 1,786 "," 20,220 "," 3,649 "," 13,782 "," 2,789 "
,Total area actually reporting,100.0%," 5,747 ", 85 , 336 ," 1,214 "," 4,112 "," 30,470 "," 6,757 "," 19,322 "," 4,391 "
,"Rate per 100,000 inhabitants",,582.3,8.6,34.0,123.0,416.6,"3,087.3",684.6,"1,957.7",444.9
"Gadsden, AL M.S.A.",,"102,194", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"35,665", 613 , 3 , 23 , 63 , 524 ," 2,641 ", 497 ," 1,914 ", 230 
,Total area actually reporting,93.6%, 800 , 6 , 41 , 68 , 685 ," 3,648 ", 780 ," 2,528 ", 340 
,Estimated total,100.0%, 834 , 7 , 44 , 73 , 710 ," 3,864 ", 817 ," 2,690 ", 357 
,"Rate per 100,000 inhabitants",,816.1,6.8,43.1,71.4,694.8,"3,781.0",799.5,"2,632.2",349.3
"Gainesville, FL M.S.A.",,"284,282", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"132,777", 952 , 4 , 164 , 176 , 608 ," 4,778 ", 500 ," 3,915 ", 363 
,Total area actually reporting,99.3%," 1,670 ", 9 , 249 , 296 ," 1,116 "," 7,465 "," 1,158 "," 5,779 ", 528 
,Estimated total,100.0%," 1,678 ", 9 , 250 , 298 ," 1,121 "," 7,524 "," 1,166 "," 5,825 ", 533 
,"Rate per 100,000 inhabitants",,590.3,3.2,87.9,104.8,394.3,"2,646.7",410.2,"2,049.0",187.5
"Gainesville, GA M.S.A.",,"199,799", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"40,836", 157 , 2 , 19 , 34 , 102 ," 1,404 ", 209 ," 1,091 ", 104 
,Total area actually reporting,100.0%, 442 , 5 , 71 , 70 , 296 ," 3,654 ", 622 ," 2,663 ", 369 
,"Rate per 100,000 inhabitants",,221.2,2.5,35.5,35.0,148.1,"1,828.8",311.3,"1,332.8",184.7
"Gettysburg, PA M.S.A.",,"102,366", ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,"7,716", 37 , 0 , 4 , 7 , 26 , 136 , 15 , 120 , 1 
,Total area actually reporting,100.0%, 144 , 1 , 27 , 14 , 102 , 770 , 130 , 603 , 37 
,"Rate per 100,000 inhabitants",,140.7,1.0,26.4,13.7,99.6,752.2,127.0,589.1,36.1
"Glens Falls, NY M.S.A.",,"126,220", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,268", 29 , 2 , 1 , 3 , 23 , 190 , 28 , 156 , 6 
,Total area actually reporting,98.0%, 179 , 5 , 77 , 13 , 84 ," 1,372 ", 200 ," 1,134 ", 38 
,Estimated total,100.0%, 182 , 5 , 77 , 14 , 86 ," 1,409 ", 204 ," 1,166 ", 39 
,"Rate per 100,000 inhabitants",,144.2,4.0,61.0,11.1,68.1,"1,116.3",161.6,923.8,30.9
"Goldsboro, NC M.S.A.4",,"124,619", ,,,,, ,,,
,Includes Wayne County4,,,,,,,,,,
,City of Goldsboro4,"35,824",, 10 ,, 75 , 184 ," 1,796 ", 337 ," 1,399 ", 60 
,Total area actually reporting,97.7%,, 11 ,, 113 , 339 ," 3,515 ", 997 ," 2,310 ", 208 
,Estimated total,100.0%,, 11 ,, 115 , 344 ," 3,595 "," 1,012 "," 2,372 ", 211 
,"Rate per 100,000 inhabitants",,,8.8,,92.3,276.0,"2,884.8",812.1,"1,903.4",169.3
"Grand Forks, ND-MN M.S.A.",,"101,846", ,,,,, ,,,
,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","58,090", 183 , 0 , 29 , 32 , 122 ," 1,720 ", 265 ," 1,331 ", 124 
,Total area actually reporting,100.0%, 252 , 1 , 51 , 35 , 165 ," 2,450 ", 394 ," 1,910 ", 146 
,"Rate per 100,000 inhabitants",,247.4,1.0,50.1,34.4,162.0,"2,405.6",386.9,"1,875.4",143.4
"Grand Junction, CO M.S.A.",,"150,129", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"62,352", 361 , 2 , 71 , 25 , 263 ," 2,849 ", 356 ," 2,324 ", 169 
,Total area actually reporting,99.2%, 610 , 4 , 137 , 41 , 428 ," 4,405 ", 680 ," 3,407 ", 318 
,Estimated total,100.0%, 613 , 4 , 138 , 41 , 430 ," 4,438 ", 684 ," 3,432 ", 322 
,"Rate per 100,000 inhabitants",,408.3,2.7,91.9,27.3,286.4,"2,956.1",455.6,"2,286.0",214.5
"Grand Rapids-Wyoming, MI M.S.A.",,"1,059,630", ,,,,, ,,,
,"Includes Barry, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,"197,868"," 1,408 ", 12 , 141 , 351 , 904 ," 4,102 ", 763 ," 2,976 ", 363 
,City of Wyoming,"76,153", 356 , 3 , 74 , 83 , 196 ," 1,666 ", 235 ," 1,221 ", 210 
,Total area actually reporting,99.6%," 3,422 ", 30 , 828 , 554 ," 2,010 "," 16,004 "," 2,762 "," 12,232 "," 1,010 "
,Estimated total,100.0%," 3,433 ", 30 , 830 , 556 ," 2,017 "," 16,070 "," 2,772 "," 12,283 "," 1,015 "
,"Rate per 100,000 inhabitants",,324.0,2.8,78.3,52.5,190.3,"1,516.6",261.6,"1,159.2",95.8
"Grants Pass, OR M.S.A.2",,"86,520", ,,,,, ,,,
,Includes Josephine County2,,,,,,,,,,
,City of Grants Pass,"38,082", 103 , 0 , 17 , 15 , 71 ," 1,627 ", 156 ," 1,264 ", 207 
,Total area actually reporting,100.0%, 191 , 5 , 28 , 18 , 140 ," 2,044 ", 265 ," 1,415 ", 364 
,"Rate per 100,000 inhabitants",,220.8,5.8,32.4,20.8,161.8,"2,362.5",306.3,"1,635.5",420.7
"Great Falls, MT M.S.A.",,"81,700", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"59,167", 246 , 3 , 20 , 30 , 193 ," 3,023 ", 284 ," 2,539 ", 200 
,Total area actually reporting,100.0%, 275 , 5 , 23 , 30 , 217 ," 3,166 ", 315 ," 2,636 ", 215 
,"Rate per 100,000 inhabitants",,336.6,6.1,28.2,36.7,265.6,"3,875.2",385.6,"3,226.4",263.2
"Greeley, CO M.S.A.",,"301,211", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"105,906", 449 , 5 , 75 , 57 , 312 ," 2,714 ", 428 ," 2,020 ", 266 
,Total area actually reporting,99.6%, 769 , 9 , 113 , 85 , 562 ," 5,205 ", 848 ," 3,812 ", 545 
,Estimated total,100.0%, 772 , 9 , 114 , 85 , 564 ," 5,239 ", 852 ," 3,838 ", 549 
,"Rate per 100,000 inhabitants",,256.3,3.0,37.8,28.2,187.2,"1,739.3",282.9,"1,274.2",182.3
"Green Bay, WI M.S.A.2",,"320,287", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"105,331", 498 , 0 , 76 , 65 , 357 ," 2,147 ", 321 ," 1,738 ", 88 
,Total area actually reporting,91.2%, 687 , 0 , 127 , 73 , 487 ," 4,180 ", 530 ," 3,509 ", 141 
,Estimated total,100.0%, 712 , 0 , 133 , 75 , 504 ," 4,366 ", 571 ," 3,642 ", 153 
