Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","38,079",252,1,15,94,142,"2,473",394,"2,017",62
,"City of Jackson, MO","13,808",24,0,1,1,22,340,62,266,12
,Total area actually reporting,100.0%,448,1,35,107,305,"3,563",717,"2,737",109
,"Rate per 100,000 inhabitants",,463.7,1.0,36.2,110.7,315.7,"3,687.6",742.1,"2,832.7",112.8
"Carson City, NV M.S.A.",,"55,740", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,148,4,0,16,128,"1,275",316,890,69
,"Rate per 100,000 inhabitants",,265.5,7.2,0.0,28.7,229.6,"2,287.4",566.9,"1,596.7",123.8
"Casper, WY M.S.A.",,"76,057", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"55,761",103,1,10,22,70,"2,057",287,"1,693",77
,Total area actually reporting,100.0%,188,2,16,23,147,"2,438",404,"1,936",98
,"Rate per 100,000 inhabitants",,247.2,2.6,21.0,30.2,193.3,"3,205.5",531.2,"2,545.5",128.9
"Cedar Rapids, IA M.S.A.",,"259,291", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"126,988",358,2,41,86,229,"4,879","1,099","3,566",214
,Total area actually reporting,99.0%,473,2,62,87,322,"6,284","1,508","4,499",277
,Estimated total,100.0%,478,2,63,87,326,"6,332","1,517","4,536",279
,"Rate per 100,000 inhabitants",,184.3,0.8,24.3,33.6,125.7,"2,442.0",585.1,"1,749.4",107.6
"Champaign-Urbana, IL M.S.A.",,"232,588",,,,,,,,,
,"Includes Champaign, Ford, and Piatt Counties",, ,,,,,,,,
,City of Champaign,"81,299",732,1,56,105,570,"2,281",586,"1,599",96
,City of Urbana,"41,374",197,1,35,74,87,"1,464",382,"1,055",27
,Total area actually reporting,93.1%,"1,285",6,125,209,945,"5,457","1,457","3,832",168
,Estimated total,100.0%,"1,321",6,129,219,967,"5,812","1,525","4,103",184
,"Rate per 100,000 inhabitants",,568.0,2.6,55.5,94.2,415.8,"2,498.8",655.7,"1,764.1",79.1
"Charleston, WV M.S.A.",,"304,676", ,,,,, ,,,
,"Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties",,,,,,,,,,
,City of Charleston,"51,466",510,5,23,120,362,"3,009",635,"2,234",140
,Total area actually reporting,85.3%,"1,169",17,76,189,887,"7,988","1,879","5,592",517
,Estimated total,100.0%,"1,286",19,84,202,981,"8,970","2,118","6,281",571
,"Rate per 100,000 inhabitants",,422.1,6.2,27.6,66.3,322.0,"2,944.1",695.2,"2,061.5",187.4
"Charlotte-Gastonia-Rock Hill, NC-SC M.S.A.",,"1,780,095",,,,,,,,,
,"Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union Counties, NC and York County, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","789,478","4,787",56,218,"1,612","2,901","32,008","8,536","21,371","2,101"
,"City of Gastonia, NC","72,651",466,4,37,171,254,"4,363",951,"3,198",214
,"City of Rock Hill, SC","66,924",410,4,46,71,289,"2,996",537,"2,298",161
,"City of Concord, NC","80,069",93,2,8,37,46,"3,111",452,"2,528",131
,Total area actually reporting,97.7%,"7,501",85,429,"2,180","4,807","59,443","14,953","41,077","3,413"
,Estimated total,100.0%,"7,621",86,438,"2,211","4,886","61,156","15,339","42,346","3,471"
,"Rate per 100,000 inhabitants",,428.1,4.8,24.6,124.2,274.5,"3,435.5",861.7,"2,378.9",195.0
"Charlottesville, VA M.S.A.",,"203,966", ,,,,, ,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"43,994",183,1,27,59,96,"1,467",114,"1,252",101
,Total area actually reporting,100.0%,337,6,55,86,190,"4,082",503,"3,362",217
,"Rate per 100,000 inhabitants",,165.2,2.9,27.0,42.2,93.2,"2,001.3",246.6,"1,648.3",106.4
"Chattanooga, TN-GA M.S.A.",,"533,526", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","169,187","1,460",24,36,385,"1,015","10,635","2,503","7,338",794
,Total area actually reporting,100.0%,"2,673",34,93,502,"2,044","19,799","4,910","13,471","1,418"
,"Rate per 100,000 inhabitants",,501.0,6.4,17.4,94.1,383.1,"3,711.0",920.3,"2,524.9",265.8
"Cheyenne, WY M.S.A.",,"92,473", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"59,944",147,2,26,25,94,"2,049",255,"1,734",60
,Total area actually reporting,100.0%,226,2,39,30,155,"2,559",394,"2,068",97
,"Rate per 100,000 inhabitants",,244.4,2.2,42.2,32.4,167.6,"2,767.3",426.1,"2,236.3",104.9
"Chicago-Joliet-Naperville, IL-IN-WI M.S.A.2",,"9,491,301",,,,,,,,,
,"Includes the Metropolitan Divisions of Chicago-Joilet-Naperville, IL, Gary, IN, and Lake County-Kenosha County, IL-WI",,,,,,,,,,
,"City of Chicago, IL2","2,703,713",,431,,"13,975","12,408","118,239","26,420","72,373","19,446"
,"City of Joliet, IL","147,877",517,8,30,87,392,"3,861",939,"2,751",171
,"City of Naperville, IL","142,280",112,2,4,24,82,"2,110",300,"1,768",42
,"City of Elgin, IL","108,514",287,5,78,82,122,"2,068",555,"1,425",88
,"City of Gary, IN","80,704",639,30,47,328,234,"5,338","2,618","1,926",794
,"City of Evanston, IL","74,710",178,3,4,76,95,"2,126",403,"1,669",54
,"City of Arlington Heights, IL","75,327",48,2,5,17,24,"1,083",170,892,21
,"City of Schaumburg, IL","74,450",63,0,14,23,26,"2,358",238,"2,056",64
,"City of Skokie, IL","64,979",141,2,13,39,87,"1,723",325,"1,323",75
,"City of Des Plaines, IL","58,540",70,1,6,14,49,795,137,619,39
,"City of Hoffman Estates, IL","52,051",68,0,15,16,37,682,119,538,25
,Total area actually reporting,95.7%,,599,,"17,850","18,932","256,093","54,466","174,893","26,734"
,Estimated total,100.0%,,609,,"18,100","19,478","264,951","56,203","181,610","27,138"
,"Rate per 100,000 inhabitants",,,6.4,,190.7,205.2,"2,791.5",592.2,"1,913.4",285.9
"Chicago-Joilet-Naperville, IL M.D.2",,"7,906,889",,,,,,,,,
,"Includes Cook, DeKalb, DuPage, Grundy, Kane, Kendall, McHenry, and Will Counties",,,,,,,,,,
,Total area actually reporting,96.3%,,533,,"16,679","17,118","216,005","45,497","146,677","23,831"
,Estimated total,100.0%,,540,,"16,870","17,524","222,513","46,751","151,642","24,120"
,"Rate per 100,000 inhabitants",,,6.8,,213.4,221.6,"2,814.2",591.3,"1,917.8",305.1
"Gary, IN M.D.",,"711,687",,,,,,,,,
,"Includes Jasper, Lake, Newton, and Porter Counties",,,,,,,,,,
,Total area actually reporting,95.5%,"2,204",62,178,816,"1,148","24,226","6,062","15,723","2,441"
,Estimated total,100.0%,"2,242",63,182,822,"1,175","24,767","6,196","16,095","2,476"
,"Rate per 100,000 inhabitants",,315.0,8.9,25.6,115.5,165.1,"3,480.0",870.6,"2,261.5",347.9
"Lake County-Kenosha County, IL-WI M.D.",,"872,725",,,,,,,,,
,"Includes Lake County, IL and Kenosha County, WI",,,,,,,,,,
,Total area actually reporting,90.6%,"1,193",4,168,355,666,"15,862","2,907","12,493",462
,Estimated total,100.0%,"1,381",6,188,408,779,"17,671","3,256","13,873",542
,"Rate per 100,000 inhabitants",,158.2,0.7,21.5,46.8,89.3,"2,024.8",373.1,"1,589.6",62.1
"Chico, CA M.S.A.",,"222,586", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"87,200",245,5,37,92,111,"2,115",487,"1,337",291
,Total area actually reporting,100.0%,576,8,75,158,335,"5,375","1,564","3,196",615
,"Rate per 100,000 inhabitants",,258.8,3.6,33.7,71.0,150.5,"2,414.8",702.6,"1,435.8",276.3
"Cincinnati-Middletown, OH-KY-IN M.S.A.",,"2,134,687",,,,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","297,160","3,067",61,183,"1,773","1,050","20,462","6,674","12,512","1,276"
,"City of Middletown, OH","48,730",364,4,39,95,226,"4,369","1,309","2,949",111
,Total area actually reporting,98.8%,"6,249",99,653,"2,878","2,619","74,065","18,797","52,177","3,091"
,Estimated total,100.0%,"6,287",99,659,"2,891","2,638","74,691","18,934","52,640","3,117"
,"Rate per 100,000 inhabitants",,294.5,4.6,30.9,135.4,123.6,"3,498.9",887.0,"2,465.9",146.0
"Clarksville, TN-KY M.S.A.",,"276,234", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN","134,128",883,8,61,128,686,"4,217","1,333","2,666",218
,Total area actually reporting,99.4%,"1,199",11,108,197,883,"7,792","2,391","4,994",407
,Estimated total,100.0%,"1,204",11,109,199,885,"7,851","2,405","5,036",410
,"Rate per 100,000 inhabitants",,435.9,4.0,39.5,72.0,320.4,"2,842.2",870.6,"1,823.1",148.4
"Cleveland, TN M.S.A.",,"116,833", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"41,657",437,2,21,50,364,"2,260",437,"1,735",88
,Total area actually reporting,100.0%,733,7,33,56,637,"3,555",799,"2,554",202
,"Rate per 100,000 inhabitants",,627.4,6.0,28.2,47.9,545.2,"3,042.8",683.9,"2,186.0",172.9
"Cleveland-Elyria-Mentor, OH M.S.A.",,"2,078,757",,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",,,,,,,,,,
,City of Cleveland,"397,106","5,426",74,354,"3,156","1,842","25,323","10,706","10,524","4,093"
,City of Elyria,"54,573",192,2,18,86,86,"2,252",703,"1,478",71
,City of Mentor,"47,194",43,0,9,24,10,"1,127",159,910,58
,Total area actually reporting,88.7%,"8,062",96,626,"4,062","3,278","55,304","18,037","31,594","5,673"
,Estimated total,100.0%,"8,411",99,677,"4,194","3,441","61,589","19,368","36,321","5,900"
,"Rate per 100,000 inhabitants",,404.6,4.8,32.6,201.8,165.5,"2,962.8",931.7,"1,747.2",283.8
"College Station-Bryan, TX M.S.A.",,"233,472",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"95,832",288,1,31,32,224,"2,993",651,"2,289",53
,City of Bryan,"77,804",425,2,22,78,323,"2,906",681,"2,130",95
,Total area actually reporting,100.0%,838,5,72,122,639,"7,463","1,676","5,576",211
,"Rate per 100,000 inhabitants",,358.9,2.1,30.8,52.3,273.7,"3,196.5",717.9,"2,388.3",90.4
"Colorado Springs, CO M.S.A.",,"656,862", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"423,680","1,865",26,319,449,"1,071","15,866","3,323","11,375","1,168"
,Total area actually reporting,99.9%,"2,448",31,395,478,"1,544","19,137","4,141","13,606","1,390"
,Estimated total,100.0%,"2,449",31,395,478,"1,545","19,159","4,144","13,623","1,392"
,"Rate per 100,000 inhabitants",,372.8,4.7,60.1,72.8,235.2,"2,916.7",630.9,"2,074.0",211.9
"Columbia, MO M.S.A.",,"173,414", ,,,,, ,,,
,Includes Boone and Howard Counties,,,,,,,,,,
,City of Columbia,"108,894",582,2,37,166,377,"4,263",798,"3,323",142
,Total area actually reporting,100.0%,729,4,45,182,498,"5,570","1,045","4,324",201
,"Rate per 100,000 inhabitants",,420.4,2.3,25.9,105.0,287.2,"3,212.0",602.6,"2,493.5",115.9
"Columbus, GA-AL M.S.A.1",,"298,305", ,,,,, ,,,
,"Includes Russell County, AL1 and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","192,385",933,15,40,413,465,"12,450","3,342","8,059","1,049"
,Total area actually reporting,97.2%,"1,195",24,68,456,647,"15,488","4,210","9,992","1,286"
,Estimated total,100.0%,"1,220",24,69,465,662,"15,752","4,285","10,158","1,309"
,"Rate per 100,000 inhabitants",,409.0,8.0,23.1,155.9,221.9,"5,280.5","1,436.4","3,405.2",438.8
"Columbus, IN M.S.A.",,"77,186", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"44,286",84,1,7,20,56,"2,597",303,"2,087",207
,Total area actually reporting,99.5%,125,1,13,24,87,"3,200",417,"2,514",269
,Estimated total,100.0%,126,1,13,24,88,"3,213",419,"2,524",270
,"Rate per 100,000 inhabitants",,163.2,1.3,16.8,31.1,114.0,"4,162.7",542.8,"3,270.0",349.8
"Columbus, OH M.S.A.",,"1,837,882", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus ,"787,609","5,185",87,565,"3,244","1,289","49,043","15,169","30,259","3,615"
,Total area actually reporting,97.3%,"6,587",103,811,"3,738","1,935","75,410","21,121","49,996","4,293"
,Estimated total,100.0%,"6,664",104,822,"3,768","1,970","76,800","21,407","51,050","4,343"
,"Rate per 100,000 inhabitants",,362.6,5.7,44.7,205.0,107.2,"4,178.7","1,164.8","2,777.7",236.3
"Corpus Christi, TX M.S.A.",,"437,195", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"311,637","1,987",12,194,370,"1,411","14,897","2,668","11,762",467
,Total area actually reporting,100.0%,"2,346",18,261,398,"1,669","18,593","3,623","14,374",596
,"Rate per 100,000 inhabitants",,536.6,4.1,59.7,91.0,381.8,"4,252.8",828.7,"3,287.8",136.3
"Corvallis, OR M.S.A.",,"86,490", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"55,042",71,0,13,15,43,"1,753",287,"1,421",45
,Total area actually reporting,100.0%,97,3,18,16,60,"2,229",397,"1,756",76
,"Rate per 100,000 inhabitants",,112.2,3.5,20.8,18.5,69.4,"2,577.2",459.0,"2,030.3",87.9
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"183,286",,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,
,City of Crestview,"21,264",106,0,13,18,75,826,198,605,23
,City of Fort Walton Beach,"19,773",92,3,7,22,60,853,121,689,43
,Total area actually reporting,100.0%,782,4,60,113,605,"5,251",997,"4,037",217
,"Rate per 100,000 inhabitants",,426.7,2.2,32.7,61.7,330.1,"2,864.9",544.0,"2,202.6",118.4
"Cumberland, MD-WV M.S.A.1",,"104,047", ,,,,, ,,,
,"Includes Allegany County, MD1 and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","21,057",153,0,16,42,95,"1,425",319,"1,081",25
,Total area actually reporting,98.5%,333,6,35,69,223,"2,976",763,"2,157",56
,Estimated total,100.0%,338,6,35,70,227,"3,023",771,"2,194",58
,"Rate per 100,000 inhabitants",,324.9,5.8,33.6,67.3,218.2,"2,905.4",741.0,"2,108.7",55.7
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,505,848",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,223,021","8,330",133,428,"4,066","3,703","61,859","18,727","35,148","7,984"
,City of Fort Worth,"756,803","4,569",48,350,"1,267","2,904","35,117","10,058","22,617","2,442"
,City of Arlington,"373,128","1,874",22,136,540,"1,176","17,208","4,388","11,757","1,063"
,City of Plano,"265,309",429,5,40,142,242,"6,764","1,193","5,182",389
,City of Irving,"220,841",514,8,25,151,330,"6,794","1,603","4,590",601
,City of Carrollton,"121,603",206,3,4,93,106,"3,322",896,"2,152",274
,City of Denton,"115,769",311,2,53,55,201,"3,315",565,"2,632",118
,City of McKinney,"133,876",241,1,33,44,163,"2,826",626,"2,085",115
,City of Richardson,"101,311",173,0,9,76,88,"2,808",680,"1,934",194
,Total area actually reporting,99.9%,"23,309",294,"1,753","8,088","13,174","227,515","60,017","148,295","19,203"
,Estimated total,100.0%,"23,316",294,"1,753","8,090","13,179","227,610","60,036","148,365","19,209"
,"Rate per 100,000 inhabitants",,358.4,4.5,26.9,124.3,202.6,"3,498.5",922.8,"2,280.5",295.3
"Dallas-Plano-Irving, TX M.D.",,"4,324,880",,,,,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"14,559",200,"1,018","5,864","7,477","146,675","38,842","93,768","14,065"
,Estimated total,100.0%,"14,562",200,"1,018","5,865","7,479","146,720","38,851","93,801","14,068"
,"Rate per 100,000 inhabitants",,336.7,4.6,23.5,135.6,172.9,"3,392.5",898.3,"2,168.9",325.3
"Fort Worth-Arlington, TX M.D.",,"2,180,968",,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"8,750",94,735,"2,224","5,697","80,840","21,175","54,527","5,138"
,Estimated total,100.0%,"8,754",94,735,"2,225","5,700","80,890","21,185","54,564","5,141"
,"Rate per 100,000 inhabitants",,401.4,4.3,33.7,102.0,261.4,"3,708.9",971.4,"2,501.8",235.7
"Dalton, GA M.S.A.",,"144,100", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,"33,564",90,0,9,28,53,"1,304",254,996,54
,Total area actually reporting,98.3%,314,2,30,37,245,"4,189",955,"2,976",258
,Estimated total,100.0%,322,2,30,40,250,"4,286",974,"3,047",265
,"Rate per 100,000 inhabitants",,223.5,1.4,20.8,27.8,173.5,"2,974.3",675.9,"2,114.5",183.9
"Danville, IL M.S.A.",,"81,871", ,,,,, ,,,
,Includes Vermilion County,,,,,,,,,,
,City of Danville,"33,126",335,3,50,74,208,"2,206",793,"1,366",47
,Total area actually reporting,98.4%,479,3,78,83,315,"3,280","1,147","2,032",101
,Estimated total,100.0%,482,3,78,84,317,"3,309","1,153","2,054",102
,"Rate per 100,000 inhabitants",,588.7,3.7,95.3,102.6,387.2,"4,041.7","1,408.3","2,508.8",124.6
"Danville, VA M.S.A.",,"107,834", ,,,,, ,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,
,City of Danville,"43,569",166,7,28,64,67,"2,080",464,"1,546",70
,Total area actually reporting,100.0%,214,11,38,74,91,"2,800",714,"1,970",116
,"Rate per 100,000 inhabitants",,198.5,10.2,35.2,68.6,84.4,"2,596.6",662.1,"1,826.9",107.6
"Davenport-Moline-Rock Island, IA-IL M.S.A.1",,"381,200",,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA1","100,207",652,5,53,113,481,"4,908","1,140","3,529",239
,"City of Moline, IL","43,614",211,0,34,18,159,"1,587",277,"1,242",68
,"City of Rock Island, IL","39,135",290,2,14,52,222,"1,235",256,894,85
,Total area actually reporting,95.6%,"1,548",8,171,199,"1,170","10,855","2,279","8,081",495
,Estimated total,100.0%,"1,586",8,175,210,"1,193","11,228","2,351","8,365",512
,"Rate per 100,000 inhabitants",,416.1,2.1,45.9,55.1,313.0,"2,945.4",616.7,"2,194.4",134.3
"Dayton, OH M.S.A.",,"842,118", ,,,,, ,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,
,City of Dayton,"141,631","1,355",33,98,638,586,"8,323","3,121","4,569",633
,Total area actually reporting,98.7%,"2,426",51,289,"1,065","1,021","28,652","7,960","19,200","1,492"
,Estimated total,100.0%,"2,443",51,291,"1,072","1,029","28,957","8,023","19,431","1,503"
,"Rate per 100,000 inhabitants",,290.1,6.1,34.6,127.3,122.2,"3,438.6",952.7,"2,307.4",178.5
"Decatur, AL M.S.A.1",,"154,569", ,,,,, ,,,
,Includes Lawrence and Morgan Counties1,,,,,,,,,,
,City of Decatur1,"55,951",197,3,19,56,119,"2,109",815,"1,131",163
,Total area actually reporting,100.0%,342,3,37,68,234,"3,952","1,464","2,217",271
,"Rate per 100,000 inhabitants",,221.3,1.9,23.9,44.0,151.4,"2,556.8",947.1,"1,434.3",175.3
"Decatur, IL M.S.A.",,"111,101", ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,"76,351",481,10,14,124,333,"2,835","1,140","1,581",114
,Total area actually reporting,97.3%,560,10,32,131,387,"3,308","1,299","1,883",126
,Estimated total,100.0%,567,10,33,133,391,"3,374","1,312","1,933",129
,"Rate per 100,000 inhabitants", ,510.3,9.0,29.7,119.7,351.9,"3,036.9","1,180.9","1,739.9",116.1
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"501,334",,,,,,,,,
,Includes Volusia County,,,,,,,,,,
,City of Daytona Beach,"61,836",835,3,37,236,559,"4,268",994,"2,899",375
,City of Ormond Beach,"38,657",267,1,7,23,236,"1,397",249,"1,090",58
,Total area actually reporting,99.6%,"2,503",22,117,507,"1,857","18,225","4,676","12,527","1,022"
,Estimated total,100.0%,"2,511",22,117,510,"1,862","18,295","4,692","12,577","1,026"
,"Rate per 100,000 inhabitants",,500.9,4.4,23.3,101.7,371.4,"3,649.3",935.9,"2,508.7",204.7
"Denver-Aurora-Broomfield, CO M.S.A.",,"2,587,784",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"610,612","3,708",34,396,"1,143","2,135","22,495","4,868","14,040","3,587"
,City of Aurora,"330,740","1,448",9,183,504,752,"9,875","2,144","6,861",870
,City of Broomfield,"56,862",31,1,6,7,17,"1,101",81,974,46
,Total area actually reporting,99.1%,"9,135",71,"1,281","2,265","5,518","70,402","13,319","49,591","7,492"
,Estimated total,100.0%,"9,181",71,"1,290","2,270","5,550","70,741","13,399","49,825","7,517"
,"Rate per 100,000 inhabitants",,354.8,2.7,49.8,87.7,214.5,"2,733.7",517.8,"1,925.4",290.5
"Des Moines-West Des Moines, IA M.S.A.",,"572,618", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"204,498","1,069",8,103,216,742,"10,727","2,493","7,400",834
,City of West Des Moines,"56,905",115,1,26,13,75,"1,824",225,"1,564",35
,Total area actually reporting,100.0%,"1,590",9,177,254,"1,150","17,711","3,848","12,748","1,115"
,"Rate per 100,000 inhabitants",,277.7,1.6,30.9,44.4,200.8,"3,093.0",672.0,"2,226.3",194.7
"Detroit-Warren-Livonia, MI M.S.A.1",,"4,293,012",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"713,239","15,245",344,427,"4,962","9,512","43,818","15,994","16,456","11,368"
,City of Warren,"133,955",719,6,73,156,484,"3,853","1,070","1,975",808
,City of Livonia,"96,869",168,1,19,40,108,"2,108",308,"1,589",211
,City of Dearborn,"98,079",359,3,22,104,230,"3,757",612,"2,705",440
,City of Troy,"80,919",72,0,17,14,41,"1,780",236,"1,402",142
,City of Farmington Hills,"79,680",101,2,11,28,60,"1,266",267,895,104
,City of Southfield,"71,685",377,4,33,116,224,"2,681",710,"1,592",379
,City of Taylor,"63,083",320,0,26,76,218,"2,497",671,"1,598",228
,City of Novi,"55,182",43,3,5,8,27,964,81,847,36
,Total area actually reporting,99.2%,"24,540",416,"1,377","7,008","15,739","122,715","33,779","69,635","19,301"
,Estimated total,100.0%,"24,633",416,"1,387","7,029","15,801","123,574","33,968","70,238","19,368"
,"Rate per 100,000 inhabitants",,573.8,9.7,32.3,163.7,368.1,"2,878.5",791.2,"1,636.1",451.2
"Detroit-Livonia-Dearborn, MI M.D.",,"1,819,213",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,99.5%,"19,117",370,770,"5,915","12,062","74,554","23,000","36,519","15,035"
,Estimated total,100.0%,"19,145",370,773,"5,921","12,081","74,812","23,057","36,700","15,055"
,"Rate per 100,000 inhabitants",,"1,052.4",20.3,42.5,325.5,664.1,"4,112.3","1,267.4","2,017.4",827.6
"Warren-Troy-Farmington Hills, MI M.D.1",,"2,473,799",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland,1 and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,99.1%,"5,423",46,607,"1,093","3,677","48,161","10,779","33,116","4,266"
,Estimated total,100.0%,"5,488",46,614,"1,108","3,720","48,762","10,911","33,538","4,313"
,"Rate per 100,000 inhabitants",,221.8,1.9,24.8,44.8,150.4,"1,971.1",441.1,"1,355.7",174.3
"Dothan, AL M.S.A.1",,"146,340", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties1",,,,,,,,,,
,City of Dothan1,"64,920",339,2,22,105,210,"2,699",599,"1,986",114
,Total area actually reporting,98.5%,581,5,43,122,411,"4,310","1,055","3,019",236
,Estimated total,100.0%,590,5,44,124,417,"4,399","1,078","3,079",242
,"Rate per 100,000 inhabitants",,403.2,3.4,30.1,84.7,285.0,"3,006.0",736.6,"2,104.0",165.4
"Dover, DE M.S.A.",,"163,973", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"36,416",313,5,15,73,220,"2,243",132,"2,030",81
,Total area actually reporting,100.0%,"1,020",7,85,193,735,"5,992","1,158","4,641",193
,"Rate per 100,000 inhabitants",,622.1,4.3,51.8,117.7,448.2,"3,654.3",706.2,"2,830.3",117.7
"Dubuque, IA M.S.A.",,"94,143", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"57,939",135,1,20,32,82,"1,702",416,"1,239",47
,Total area actually reporting,100.0%,146,1,21,33,91,"1,911",499,"1,353",59
,"Rate per 100,000 inhabitants",,155.1,1.1,22.3,35.1,96.7,"2,029.9",530.0,"1,437.2",62.7
"Duluth, MN-WI M.S.A.2",,"281,781", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN2 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN2","86,931",,0,,82,164,"4,346",756,"3,424",166
,Total area actually reporting,100.0%,,3,,127,327,"9,228","1,842","7,007",379
,"Rate per 100,000 inhabitants",,,1.1,,45.1,116.0,"3,274.9",653.7,"2,486.7",134.5
"Durham-Chapel Hill, NC M.S.A.",,"510,752", ,,,,, ,,,
,"Includes Chatham, Durham, Orange, and Person Counties",,,,,,,,,,
,City of Durham,"231,225","1,707",27,64,699,917,"11,270","3,874","6,768",628
,City of Chapel Hill,"57,959",106,1,7,38,60,"1,523",484,985,54
,Total area actually reporting,100.0%,"2,253",37,117,824,"1,275","19,386","6,576","11,889",921
,"Rate per 100,000 inhabitants",,441.1,7.2,22.9,161.3,249.6,"3,795.6","1,287.5","2,327.7",180.3
"Eau Claire, WI M.S.A.",,"161,853", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,, ,,,,,,,,
,City of Eau Claire,"66,170",139,0,20,21,98,"1,959",378,"1,531",50
,Total area actually reporting,100.0%,244,0,40,31,173,"3,410",774,"2,546",90
,"Rate per 100,000 inhabitants",,150.8,0.0,24.7,19.2,106.9,"2,106.9",478.2,"1,573.0",55.6
"El Centro, CA M.S.A.",,"176,580", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
