Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2014",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,148.8,3.3,26.9,40.0,78.6,"2,026.2",388.6,"1,554.4",83.2
"Champaign-Urbana, IL M.S.A.",,"235,685",,,,,,,,,
,"Includes Champaign, Ford, and Piatt Counties",, ,,,,,,,,
,City of Champaign,"83,995",624,5,42,133,444,"2,255",531,"1,669",55
,City of Urbana,"41,805",130,0,18,63,49,"1,467",327,"1,113",27
,Total area actually reporting,98.2%,"1,083",11,99,226,747,"5,356","1,323","3,916",117
,Estimated total,100.0%,"1,091",11,100,228,752,"5,433","1,336","3,977",120
,"Rate per 100,000 inhabitants",,462.9,4.7,42.4,96.7,319.1,"2,305.2",566.9,"1,687.4",50.9
"Charleston, WV M.S.A.",,"223,677", ,,,,, ,,,
,"Includes Boone, Clay, and Kanawha Counties",,,,,,,,,,
,City of Charleston,"50,693",622,9,48,119,446,"3,326",688,"2,497",141
,Total area actually reporting,90.6%,"1,062",18,97,167,780,"7,526","1,696","5,438",392
,Estimated total,100.0%,"1,117",19,102,174,822,"8,067","1,792","5,859",416
,"Rate per 100,000 inhabitants",,499.4,8.5,45.6,77.8,367.5,"3,606.5",801.2,"2,619.4",186.0
"Charleston-North Charleston, SC M.S.A.",,"727,099", ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,"129,867",270,8,25,70,167,"2,971",350,"2,442",179
,City of North Charleston,"105,594",772,23,80,241,428,"5,742",797,"4,441",504
,Total area actually reporting,99.5%,"2,841",58,232,573,"1,978","20,907","3,692","15,524","1,691"
,Estimated total,100.0%,"2,857",58,233,576,"1,990","21,050","3,713","15,639","1,698"
,"Rate per 100,000 inhabitants",,392.9,8.0,32.0,79.2,273.7,"2,895.1",510.7,"2,150.9",233.5
"Charlotte-Concord-Gastonia, NC-SC M.S.A.",,"2,370,253", ,,,,, ,,,
,"Includes Cabarrus, Gaston, Iredell, Lincoln, Mecklenburg, Rowan, and Union Counties, NC and Chester, Lancaster, and York Counties, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","856,916","5,054",47,210,"1,586","3,211","30,565","6,031","22,827","1,707"
,"City of Concord, NC","84,558",96,2,11,41,42,"2,408",347,"1,957",104
,"City of Gastonia, NC","73,576",484,1,23,113,347,"3,688",636,"2,852",200
,"City of Rock Hill, SC","69,754",357,5,32,64,256,"2,371",370,"1,932",69
,Total area actually reporting,99.3%,"9,256",106,526,"2,345","6,279","66,370","14,145","48,919","3,306"
,Estimated total,100.0%,"9,297",107,529,"2,356","6,305","66,891","14,250","49,317","3,324"
,"Rate per 100,000 inhabitants",,392.2,4.5,22.3,99.4,266.0,"2,822.1",601.2,"2,080.7",140.2
"Charlottesville, VA M.S.A.",,"225,461", ,,,,, ,,,
,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"44,574",191,5,16,39,131,"1,356",173,"1,100",83
,Total area actually reporting,100.0%,365,9,60,58,238,"4,016",559,"3,275",182
,"Rate per 100,000 inhabitants",,161.9,4.0,26.6,25.7,105.6,"1,781.2",247.9,"1,452.6",80.7
"Chattanooga, TN-GA M.S.A.3",,"546,512", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA3 and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","174,449","1,699",27,106,348,"1,218","10,968","2,089","7,862","1,017"
,Total area actually reporting,100.0%,"2,912",40,194,472,"2,206","20,449","4,129","14,656","1,664"
,"Rate per 100,000 inhabitants",,532.8,7.3,35.5,86.4,403.7,"3,741.7",755.5,"2,681.7",304.5
"Cheyenne, WY M.S.A.",,"96,236", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"63,155",89,2,6,13,68,"1,795",246,"1,465",84
,Total area actually reporting,100.0%,154,3,18,17,116,"2,341",427,"1,797",117
,"Rate per 100,000 inhabitants",,160.0,3.1,18.7,17.7,120.5,"2,432.6",443.7,"1,867.3",121.6
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",,"9,546,349",,,,,,,,,
,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",,,,,,,,,,
,"City of Chicago, IL","2,724,121","24,089",411,"1,343","9,804","12,531","85,161","14,537","60,601","10,023"
,"City of Naperville, IL","145,510",113,1,8,20,84,"1,634",176,"1,421",37
,"City of Elgin, IL","110,595",221,3,46,65,107,"1,997",299,"1,614",84
,"City of Gary, IN","78,013",712,37,44,278,353,"4,052","1,312","2,268",472
,"City of Arlington Heights, IL","76,200",43,0,4,12,27,743,134,588,21
,"City of Evanston, IL","75,817",151,1,3,54,93,"1,900",334,"1,500",66
,"City of Schaumburg, IL","75,060",73,0,20,21,32,"1,870",146,"1,648",76
,"City of Skokie, IL","65,263",170,2,11,46,111,"1,353",259,"1,046",48
,"City of Des Plaines, IL","59,041",53,0,8,11,34,718,129,571,18
,"City of Hoffman Estates, IL","52,512",50,0,9,13,28,558,78,458,22
,Total area actually reporting,97.8%,"35,866",601,"2,650","13,570","19,045","199,903","33,898","150,185","15,820"
,Estimated total,100.0%,"36,281",605,"2,692","13,678","19,306","203,854","34,528","153,301","16,025"
,"Rate per 100,000 inhabitants",,380.1,6.3,28.2,143.3,202.2,"2,135.4",361.7,"1,605.9",167.9
"Chicago-Naperville-Arlington Heights, IL M.D.",,"7,341,262",,,,,,,,,
,"Includes Cook, DuPage, Grundy, Kendall, McHenry, and Will Counties",,,,,,,,,,
,Total area actually reporting,98.5%,"31,125",505,"2,167","12,266","16,187","159,062","26,487","118,941","13,634"
,Estimated total,100.0%,"31,344",508,"2,192","12,329","16,315","161,027","26,809","120,498","13,720"
,"Rate per 100,000 inhabitants",,427.0,6.9,29.9,167.9,222.2,"2,193.5",365.2,"1,641.4",186.9
"Elgin, IL M.D.",,"629,627",,,,,,,,,
,Includes DeKalb and Kane Counties,,,,,,,,,,
,Total area actually reporting,97.8%,"1,073",11,163,194,705,"8,696","1,284","7,185",227
,Estimated total,100.0%,"1,100",11,166,202,721,"8,944","1,325","7,381",238
,"Rate per 100,000 inhabitants",,174.7,1.7,26.4,32.1,114.5,"1,420.5",210.4,"1,172.3",37.8
"Gary, IN M.D.3",,"705,329",,,,,,,,,
,"Includes Jasper, Lake, Newton, and Porter Counties",,,,,,,,,,
,Total area actually reporting,90.8%,"2,257",66,130,698,"1,363","17,806","3,338","12,940","1,528"
,Estimated total,100.0%,"2,392",67,140,725,"1,460","19,240","3,555","14,062","1,623"
,"Rate per 100,000 inhabitants",,339.1,9.5,19.8,102.8,207.0,"2,727.8",504.0,"1,993.7",230.1
"Lake County-Kenosha County, IL-WI M.D.",,"870,131",,,,,,,,,
,"Includes Lake County, IL and Kenosha County, WI",,,,,,,,,,
,Total area actually reporting,98.0%,"1,411",19,190,412,790,"14,339","2,789","11,119",431
,Estimated total,100.0%,"1,445",19,194,422,810,"14,643","2,839","11,360",444
,"Rate per 100,000 inhabitants",,166.1,2.2,22.3,48.5,93.1,"1,682.9",326.3,"1,305.6",51.0
"Chico, CA M.S.A.",,"223,878", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"88,562",340,1,53,100,186,"3,213",483,"2,385",345
,Total area actually reporting,100.0%,678,11,76,149,442,"6,631","1,667","4,204",760
,"Rate per 100,000 inhabitants",,302.8,4.9,33.9,66.6,197.4,"2,961.9",744.6,"1,877.8",339.5
"Cincinnati, OH-KY-IN M.S.A.3",,"2,145,462",,,,,,,,,
,"Includes Dearborn, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","297,671","2,695",60,228,"1,356","1,051","16,557","4,820","10,639","1,098"
,Total area actually reporting,92.8%,"5,535",95,752,"2,363","2,325","60,595","13,083","44,802","2,710"
,Estimated total,100.0%,"5,734",98,787,"2,416","2,433","63,461","13,680","46,936","2,845"
,"Rate per 100,000 inhabitants",,267.3,4.6,36.7,112.6,113.4,"2,957.9",637.6,"2,187.7",132.6
"Clarksville, TN-KY M.S.A.",,"276,035", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery County, TN",,,,,,,,,,
,"City of Clarksville, TN","144,639",967,10,65,100,792,"4,272",973,"3,114",185
,Total area actually reporting,99.7%,"1,268",17,104,160,987,"6,900","1,670","4,924",306
,Estimated total,100.0%,"1,270",17,104,161,988,"6,922","1,674","4,941",307
,"Rate per 100,000 inhabitants",,460.1,6.2,37.7,58.3,357.9,"2,507.7",606.4,"1,790.0",111.2
"Cleveland, TN M.S.A.",,"119,510", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"43,135",370,1,20,28,321,"2,583",481,"1,955",147
,Total area actually reporting,100.0%,591,2,32,34,523,"4,086",947,"2,864",275
,"Rate per 100,000 inhabitants",,494.5,1.7,26.8,28.4,437.6,"3,419.0",792.4,"2,396.5",230.1
"Coeur d'Alene, ID M.S.A.",,"146,681",,,,,,,,,
,Includes Kootenai County,, ,,,,,,,,
,City of Coeur d'Alene,"46,952",239,2,40,22,175,"1,822",334,"1,347",141
,Total area actually reporting,100.0%,405,4,56,36,309,"3,870",790,"2,813",267
,"Rate per 100,000 inhabitants",,276.1,2.7,38.2,24.5,210.7,"2,638.4",538.6,"1,917.8",182.0
"College Station-Bryan, TX M.S.A.",,"240,441",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"101,483",191,0,45,31,115,"2,343",517,"1,748",78
,City of Bryan,"79,267",338,5,68,58,207,"2,521",549,"1,865",107
,Total area actually reporting,100.0%,703,5,126,95,477,"6,026","1,388","4,419",219
,"Rate per 100,000 inhabitants",,292.4,2.1,52.4,39.5,198.4,"2,506.2",577.3,"1,837.9",91.1
"Colorado Springs, CO M.S.A.",,"689,470", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"444,949","2,039",20,412,404,"1,203","16,319","2,759","11,914","1,646"
,Total area actually reporting,100.0%,"2,660",23,516,442,"1,679","19,879","3,573","14,403","1,903"
,"Rate per 100,000 inhabitants",,385.8,3.3,74.8,64.1,243.5,"2,883.2",518.2,"2,089.0",276.0
"Columbia, MO M.S.A.",,"172,934", ,,,,, ,,,
,Includes Boone County,,,,,,,,,,
,City of Columbia,"116,847",410,5,63,116,226,"3,988",750,"3,069",169
,Total area actually reporting,100.0%,592,6,80,131,375,"5,143",910,"4,007",226
,"Rate per 100,000 inhabitants",,342.3,3.5,46.3,75.8,216.8,"2,974.0",526.2,"2,317.1",130.7
"Columbia, SC M.S.A.",,"803,559", ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,"134,124","1,004",8,71,320,605,"7,191","1,102","5,416",673
,Total area actually reporting,92.9%,"4,446",49,341,802,"3,254","25,798","4,531","18,871","2,396"
,Estimated total,100.0%,"4,705",52,364,838,"3,451","27,417","4,945","19,931","2,541"
,"Rate per 100,000 inhabitants",,585.5,6.5,45.3,104.3,429.5,"3,411.9",615.4,"2,480.3",316.2
"Columbus, GA-AL M.S.A.3",,"322,951", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA3",,,,,,,,,,
,"City of Columbus, GA3","206,714","1,101",22,47,511,521,"13,378","3,711","8,495","1,172"
,Total area actually reporting,96.8%,"1,386",29,84,564,709,"16,259","4,513","10,258","1,488"
,Estimated total,100.0%,"1,420",29,86,576,729,"16,592","4,587","10,490","1,515"
,"Rate per 100,000 inhabitants",,439.7,9.0,26.6,178.4,225.7,"5,137.6","1,420.3","3,248.2",469.1
"Columbus, IN M.S.A.3",,"80,345", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"46,196",45,0,12,20,13,"2,001",204,"1,630",167
,Total area actually reporting,100.0%,88,0,14,24,50,"2,573",332,"2,032",209
,"Rate per 100,000 inhabitants",,109.5,0.0,17.4,29.9,62.2,"3,202.4",413.2,"2,529.1",260.1
"Columbus, OH M.S.A.",,"1,985,491", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Hocking, Licking, Madison, Morrow, Perry, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus,"830,811","4,563",83,738,"2,098","1,644","35,334","9,066","23,328","2,940"
,Total area actually reporting,94.0%,"5,677",93,"1,035","2,465","2,084","58,583","13,723","41,181","3,679"
,Estimated total,100.0%,"5,855",95,"1,070","2,528","2,162","61,508","14,255","43,469","3,784"
,"Rate per 100,000 inhabitants",,294.9,4.8,53.9,127.3,108.9,"3,097.9",718.0,"2,189.3",190.6
"Corpus Christi, TX M.S.A.",,"449,583", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"319,211","2,094",27,280,377,"1,410","14,110","2,316","11,233",561
,Total area actually reporting,100.0%,"2,650",30,342,424,"1,854","18,365","3,471","14,136",758
,"Rate per 100,000 inhabitants",,589.4,6.7,76.1,94.3,412.4,"4,084.9",772.0,"3,144.2",168.6
"Corvallis, OR M.S.A.",,"87,222", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"55,541",72,0,16,12,44,"1,737",225,"1,476",36
,Total area actually reporting,100.0%,105,0,22,16,67,"2,219",321,"1,835",63
,"Rate per 100,000 inhabitants",,120.4,0.0,25.2,18.3,76.8,"2,544.1",368.0,"2,103.8",72.2
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"260,307",,,,,,,,,
,Includes Okaloosa and Walton Counties,,,,,,,,,,
,City of Crestview,"23,251",128,1,28,28,71,740,158,549,33
,City of Fort Walton Beach,"20,881",71,0,8,19,44,693,96,560,37
,Total area actually reporting,99.7%,"1,295",4,144,153,994,"7,622","1,628","5,683",311
,Estimated total,100.0%,"1,298",4,144,154,996,"7,649","1,633","5,703",313
,"Rate per 100,000 inhabitants",,498.6,1.5,55.3,59.2,382.6,"2,938.5",627.3,"2,190.9",120.2
"Cumberland, MD-WV M.S.A.",,"100,807", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,364",149,0,11,23,115,"1,306",292,997,17
,Total area actually reporting,98.5%,257,3,20,34,200,"2,769",656,"2,050",63
,Estimated total,100.0%,261,3,20,35,203,"2,818",663,"2,090",65
,"Rate per 100,000 inhabitants",,258.9,3.0,19.8,34.7,201.4,"2,795.4",657.7,"2,073.3",64.5
"Dalton, GA M.S.A.3",,"142,646", ,,,,, ,,,
,Includes Murray and Whitfield Counties3,,,,,,,,,,
,City of Dalton3,"33,464",90,3,14,15,58,"1,242",203,979,60
,Total area actually reporting,98.3%,305,4,36,23,242,"3,806",839,"2,732",235
,Estimated total,100.0%,316,4,37,27,248,"3,912",858,"2,812",242
,"Rate per 100,000 inhabitants",,221.5,2.8,25.9,18.9,173.9,"2,742.5",601.5,"1,971.3",169.7
"Danville, IL M.S.A.",,"79,939", ,,,,, ,,,
,Includes Vermilion County,,,,,,,,,,
,City of Danville,"32,404",348,0,43,77,228,"1,878",630,"1,191",57
,Total area actually reporting,98.4%,470,1,73,85,311,"2,770",912,"1,767",91
,Estimated total,100.0%,473,1,73,86,313,"2,793",916,"1,785",92
,"Rate per 100,000 inhabitants",,591.7,1.3,91.3,107.6,391.5,"3,493.9","1,145.9","2,233.0",115.1
"Daphne-Fairhope-Foley, AL M.S.A.",,"198,874", ,,,,, ,,,
,Includes Baldwin County,,,,,,,,,,
,City of Daphne,"24,111",41,0,7,5,29,477,64,401,12
,City of Fairhope,"17,914",54,0,3,7,44,564,111,443,10
,City of Foley,"16,101",51,1,1,13,36,783,98,664,21
,Total area actually reporting,96.2%,365,4,32,61,268,"3,990",755,"3,116",119
,Estimated total,100.0%,396,4,35,68,289,"4,265",811,"3,318",136
,"Rate per 100,000 inhabitants",,199.1,2.0,17.6,34.2,145.3,"2,144.6",407.8,"1,668.4",68.4
"Davenport-Moline-Rock Island, IA-IL M.S.A.",,"384,694",,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA","102,715",636,2,100,166,368,"4,190",932,"3,008",250
,"City of Moline, IL","43,017",156,0,11,16,129,"1,447",232,"1,196",19
,"City of Rock Island, IL","38,844",157,1,14,22,120,875,157,676,42
,Total area actually reporting,94.5%,"1,335",4,175,227,929,"9,059","1,777","6,900",382
,Estimated total,100.0%,"1,367",4,180,232,951,"9,340","1,840","7,105",395
,"Rate per 100,000 inhabitants",,355.3,1.0,46.8,60.3,247.2,"2,427.9",478.3,"1,846.9",102.7
"Dayton, OH M.S.A.4",,"803,779", ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,"143,217","1,225",27,135,535,528,"7,963","2,976","4,397",590
,Total area actually reporting,97.8%,"2,150",34,380,877,859,,"6,577",,"1,290"
,Estimated total,100.0%,"2,176",34,385,886,871,,"6,656",,"1,306"
,"Rate per 100,000 inhabitants",,270.7,4.2,47.9,110.2,108.4,,828.1,,162.5
"Decatur, AL M.S.A.",,"153,346", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"55,836",112,0,7,25,80,"2,451",434,"1,883",134
,Total area actually reporting,98.4%,246,2,36,40,168,"3,660",791,"2,631",238
,Estimated total,100.0%,256,2,37,42,175,"3,750",809,"2,697",244
,"Rate per 100,000 inhabitants",,166.9,1.3,24.1,27.4,114.1,"2,445.5",527.6,"1,758.8",159.1
"Decatur, IL M.S.A.",,"108,808", ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,"74,373",355,1,10,93,251,"2,225",644,"1,519",62
,Total area actually reporting,100.0%,397,2,12,101,282,"2,647",739,"1,843",65
,"Rate per 100,000 inhabitants", ,364.9,1.8,11.0,92.8,259.2,"2,432.7",679.2,"1,693.8",59.7
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"608,127",,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,"62,629",804,4,69,153,578,"3,974",628,"2,992",354
,City of Ormond Beach,"38,782",166,0,0,15,151,"1,555",259,"1,226",70
,Total area actually reporting,99.7%,"2,796",12,251,421,"2,112","19,614","3,945","14,441","1,228"
,Estimated total,100.0%,"2,804",12,252,423,"2,117","19,672","3,956","14,485","1,231"
,"Rate per 100,000 inhabitants",,461.1,2.0,41.4,69.6,348.1,"3,234.9",650.5,"2,381.9",202.4
"Denver-Aurora-Lakewood, CO M.S.A.4",,"2,750,394",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"665,353","3,983",31,448,"1,091","2,413","22,352","4,555","14,363","3,434"
,City of Aurora,"350,948","1,448",11,274,417,746,"9,962","1,816","7,082","1,064"
,City of Lakewood,"148,236",712,5,116,137,454,"6,844",898,"5,293",653
,City of Broomfield,"60,693",31,0,15,5,11,"1,036",114,886,36
,Total area actually reporting,99.9%,"9,108",76,"1,509","2,064","5,459",,,"52,008","8,042"
,Estimated total,100.0%,"9,109",76,"1,509","2,064","5,460",,,"52,026","8,044"
,"Rate per 100,000 inhabitants",,331.2,2.8,54.9,75.0,198.5,,,"1,891.6",292.5
"Des Moines-West Des Moines, IA M.S.A.",,"608,260", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"208,250","1,250",9,87,267,887,"8,841","1,888","6,083",870
,City of West Des Moines,"62,359",116,0,17,15,84,"1,562",136,"1,363",63
,Total area actually reporting,100.0%,"1,927",11,196,299,"1,421","15,198","2,910","11,023","1,265"
,"Rate per 100,000 inhabitants",,316.8,1.8,32.2,49.2,233.6,"2,498.6",478.4,"1,812.2",208.0
"Detroit-Warren-Dearborn, MI M.S.A.",,"4,299,979",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"684,694","13,616",298,557,"3,570","9,191","32,983","9,177","13,723","10,083"
,City of Warren,"135,080",641,4,99,160,378,"3,427",742,"2,144",541
,City of Dearborn,"95,396",339,2,34,97,206,"3,135",338,"2,386",411
,City of Livonia,"94,833",120,1,16,20,83,"1,772",207,"1,417",148
,City of Troy,"83,279",50,1,8,10,31,"1,359",156,"1,133",70
,City of Farmington Hills,"81,682",95,0,17,19,59,977,190,707,80
,City of Southfield,"73,321",230,3,33,85,109,"2,150",321,"1,471",358
,City of Taylor,"61,527",343,2,52,70,219,"1,797",435,"1,160",202
,City of Novi,"58,654",47,1,13,7,26,853,53,760,40
,Total area actually reporting,99.5%,"22,712",374,"1,920","5,388","15,030","94,351","20,016","57,874","16,461"
,Estimated total,100.0%,"22,765",374,"1,929","5,398","15,064","94,758","20,087","58,180","16,491"
,"Rate per 100,000 inhabitants",,529.4,8.7,44.9,125.5,350.3,"2,203.7",467.1,"1,353.0",383.5
"Detroit-Dearborn-Livonia, MI M.D.",,"1,766,912",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,98.9%,"17,299",336,993,"4,388","11,582","57,075","13,674","30,240","13,161"
,Estimated total,100.0%,"17,352",336,"1,002","4,398","11,616","57,482","13,745","30,546","13,191"
,"Rate per 100,000 inhabitants",,982.1,19.0,56.7,248.9,657.4,"3,253.2",777.9,"1,728.8",746.6
"Warren-Troy-Farmington Hills, MI M.D.",,"2,533,067",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"5,413",38,927,"1,000","3,448","37,276","6,342","27,634","3,300"
,"Rate per 100,000 inhabitants",,213.7,1.5,36.6,39.5,136.1,"1,471.6",250.4,"1,090.9",130.3
"Dover, DE M.S.A.",,"171,672", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"37,671",242,2,14,64,162,"1,874",74,"1,736",64
,Total area actually reporting,100.0%,726,5,101,121,499,"4,699",711,"3,810",178
,"Rate per 100,000 inhabitants",,422.9,2.9,58.8,70.5,290.7,"2,737.2",414.2,"2,219.3",103.7
"Dubuque, IA M.S.A.",,"96,347", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"58,421",145,0,27,20,98,"1,513",383,"1,071",59
,Total area actually reporting,100.0%,171,0,35,22,114,"1,728",448,"1,203",77
,"Rate per 100,000 inhabitants",,177.5,0.0,36.3,22.8,118.3,"1,793.5",465.0,"1,248.6",79.9
"Duluth, MN-WI M.S.A.",,"280,297", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN","86,106",309,3,42,73,191,"3,650",503,"3,002",145
,Total area actually reporting,100.0%,629,7,103,122,397,"8,833","1,438","6,927",468
,"Rate per 100,000 inhabitants",,224.4,2.5,36.7,43.5,141.6,"3,151.3",513.0,"2,471.3",167.0
"Durham-Chapel Hill, NC M.S.A.",,"542,584", ,,,,, ,,,
,"Includes Chatham, Durham, Orange and Person Counties",,,,,,,,,,
,City of Durham,"249,738","1,834",21,73,654,"1,086","11,085","3,652","6,853",580
,City of Chapel Hill,"60,190",86,2,13,29,42,"1,347",360,921,66
,Total area actually reporting,100.0%,"2,315",26,125,740,"1,424","17,681","5,700","11,147",834
,"Rate per 100,000 inhabitants",,426.7,4.8,23.0,136.4,262.4,"3,258.7","1,050.5","2,054.4",153.7
"East Stroudsburg, PA M.S.A.",,"166,423", ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,99.6%,362,5,72,63,222,"4,042","1,085","2,845",112
,Estimated total,100.0%,363,5,72,63,223,"4,054","1,087","2,855",112
,"Rate per 100,000 inhabitants",,218.1,3.0,43.3,37.9,134.0,"2,436.0",653.2,"1,715.5",67.3
"Eau Claire, WI M.S.A.4",,"165,411", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,"67,937",110,1,21,16,72,"1,727",287,"1,368",72
,Total area actually reporting,100.0%,217,1,45,19,152,"2,874",522,"2,227",125
,"Rate per 100,000 inhabitants",,131.2,0.6,27.2,11.5,91.9,"1,737.5",315.6,"1,346.3",75.6
"El Centro, CA M.S.A.",,"178,032", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"43,532",167,0,12,59,96,"2,095",406,"1,544",145
,Total area actually reporting,96.1%,583,3,33,113,434,"5,536","1,303","3,608",625
,Estimated total,100.0%,604,3,34,120,447,"5,699","1,338","3,712",649
,"Rate per 100,000 inhabitants",,339.3,1.7,19.1,67.4,251.1,"3,201.1",751.6,"2,085.0",364.5
"Elizabethtown-Fort Knox, KY M.S.A.",,"152,068", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"30,208",41,0,16,8,17,"1,069",154,886,29
,Total area actually reporting,100.0%,140,1,42,26,71,"2,012",425,"1,501",86
,"Rate per 100,000 inhabitants",,92.1,0.7,27.6,17.1,46.7,"1,323.1",279.5,987.1,56.6
"Elkhart-Goshen, IN M.S.A.3",,"201,503",,,,,,,,,
,Includes Elkhart County,,,,,,,,,,
,City of Elkhart,"51,366",646,1,20,79,546,"2,283",615,"1,484",184
,City of Goshen,"32,337",36,0,13,15,8,"1,240",240,934,66
,Total area actually reporting,100.0%,720,4,49,106,561,"4,331","1,048","2,948",335
,"Rate per 100,000 inhabitants",,357.3,2.0,24.3,52.6,278.4,"2,149.3",520.1,"1,463.0",166.3
"Elmira, NY M.S.A.",,"88,535", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"28,803",80,1,0,29,50,964,230,712,22
,Total area actually reporting,100.0%,159,1,19,33,106,"1,981",344,"1,593",44
,"Rate per 100,000 inhabitants",,179.6,1.1,21.5,37.3,119.7,"2,237.5",388.5,"1,799.3",49.7
"El Paso, TX M.S.A.",,"843,273", ,,,,, ,,,
,Includes El Paso and Hudspeth Counties,,,,,,,,,,
,City of El Paso,"680,273","2,671",21,335,415,"1,900","14,570","1,579","12,170",821
,Total area actually reporting,100.0%,"3,109",27,388,440,"2,254","17,116","2,044","14,110",962
,"Rate per 100,000 inhabitants",,368.7,3.2,46.0,52.2,267.3,"2,029.7",242.4,"1,673.2",114.1
"Erie, PA M.S.A.",,"280,129", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"100,403",406,10,52,96,248,"2,640",772,"1,794",74
,Total area actually reporting,100.0%,635,13,103,139,380,"5,948","1,329","4,484",135
,"Rate per 100,000 inhabitants",,226.7,4.6,36.8,49.6,135.7,"2,123.3",474.4,"1,600.7",48.2
"Evansville, IN-KY M.S.A.3",,"315,179", ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,"120,372",623,9,69,223,322,"6,883","1,087","5,250",546
