Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2008",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,City of North Charleston,"92,749","1,375",14,69,570,722,"6,705","1,202","4,721",782
,City of Summerville,"46,405",163,1,8,57,97,"1,511",164,"1,204",143
,Total area actually reporting,99.9%,"4,639",48,261,"1,344","2,986","25,760","5,453","17,570","2,737"
,Estimated total,100.0%,"4,641",48,261,"1,344","2,988","25,776","5,456","17,582","2,738"
,"Rate per 100,000 inhabitants",,720.9,7.5,40.5,208.8,464.1,"4,004.0",847.5,"2,731.1",425.3
"Charlotte-Gastonia-Concord, NC-SC M.S.A.",,"1,701,049",,,,,,,,,
,"Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union Counties, NC and York County, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","758,769","7,070",83,272,"2,984","3,731","46,934","11,933","29,735","5,266"
,"City of Gastonia, NC","71,486",646,7,21,237,381,"5,326","1,210","3,678",438
,"City of Concord, NC","65,725",183,9,19,82,73,"3,105",527,"2,340",238
,"City of Rock Hill, SC","66,906",749,4,43,102,600,"2,970",596,"2,137",237
,Total area actually reporting,98.8%,"11,160",136,515,"3,847","6,662","78,314","20,082","50,674","7,558"
,Estimated total,100.0%,"11,244",137,521,"3,871","6,715","79,293","20,309","51,379","7,605"
,"Rate per 100,000 inhabitants",,661.0,8.1,30.6,227.6,394.8,"4,661.4","1,193.9","3,020.4",447.1
"Charlottesville, VA M.S.A.",,"194,483", ,,,,, ,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"41,216",219,5,23,79,112,"1,950",186,"1,616",148
,Total area actually reporting,100.0%,414,9,59,124,222,"4,961",678,"3,973",310
,"Rate per 100,000 inhabitants",,212.9,4.6,30.3,63.8,114.1,"2,550.9",348.6,"2,042.9",159.4
"Chattanooga, TN-GA M.S.A.1",,"518,576", ,,,,, ,,,
,"Includes Catoosa, Dade,1 and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","171,611","1,875",20,63,511,"1,281","12,864","2,843","8,937","1,084"
,Total area actually reporting,100.0%,,29,130,617,,"22,841","5,302","15,711","1,828"
,"Rate per 100,000 inhabitants",,,5.6,25.1,119.0,,"4,404.6","1,022.4","3,029.6",352.5
"Cheyenne, WY M.S.A.",,"87,931", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"55,931",122,2,24,25,71,"2,565",284,"2,171",110
,Total area actually reporting,100.0%,185,3,29,30,123,"3,143",412,"2,587",144
,"Rate per 100,000 inhabitants",,210.4,3.4,33.0,34.1,139.9,"3,574.4",468.5,"2,942.1",163.8
"Chico, CA M.S.A.",,"219,628", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"84,086",304,2,31,101,170,"2,700",874,"1,540",286
,Total area actually reporting,100.0%,836,7,92,169,568,"6,663","1,860","4,016",787
,"Rate per 100,000 inhabitants",,380.6,3.2,41.9,76.9,258.6,"3,033.8",846.9,"1,828.5",358.3
"Cincinnati-Middletown, OH-KY-IN M.S.A.",,"2,150,520",,,,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","332,608","4,204",73,269,"2,419","1,443","20,264","6,330","12,328","1,606"
,"City of Middletown, OH","51,266",320,2,52,115,151,"3,820",894,"2,737",189
,Total area actually reporting,85.8%,"7,716",104,770,"3,666","3,176","63,555","15,046","44,971","3,538"
,Estimated total,100.0%,"8,106",107,833,"3,799","3,367","69,829","16,425","49,527","3,877"
,"Rate per 100,000 inhabitants",,376.9,5.0,38.7,176.7,156.6,"3,247.1",763.8,"2,303.0",180.3
"Clarksville, TN-KY M.S.A.",,"265,686", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN","121,386",953,6,59,209,679,"4,693","1,386","3,045",262
,Total area actually reporting,99.6%,"1,427",7,98,303,"1,019","8,537","2,566","5,447",524
,Estimated total,100.0%,"1,430",7,98,304,"1,021","8,574","2,574","5,474",526
,"Rate per 100,000 inhabitants",,538.2,2.6,36.9,114.4,384.3,"3,227.1",968.8,"2,060.3",198.0
"Cleveland, TN M.S.A.",,"111,956", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"39,420",453,1,17,44,391,"2,306",432,"1,783",91
,Total area actually reporting,100.0%,788,3,36,54,695,"3,716",858,"2,650",208
,"Rate per 100,000 inhabitants",,703.8,2.7,32.2,48.2,620.8,"3,319.2",766.4,"2,367.0",185.8
"College Station-Bryan, TX M.S.A.",,"205,756",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"81,925",245,1,42,55,147,"3,012",628,"2,283",101
,City of Bryan,"72,815",573,4,41,100,428,"3,665","1,029","2,441",195
,Total area actually reporting,100.0%,"1,018",10,113,171,724,"8,220","2,061","5,778",381
,"Rate per 100,000 inhabitants",,494.8,4.9,54.9,83.1,351.9,"3,995.0","1,001.7","2,808.2",185.2
"Colorado Springs, CO M.S.A.",,"618,723", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"378,403","1,999",24,335,518,"1,122","16,067","3,402","11,541","1,124"
,Total area actually reporting,99.9%,"2,910",31,415,549,"1,915","19,052","4,286","13,385","1,381"
,Estimated total,100.0%,"2,911",31,415,549,"1,916","19,079","4,290","13,405","1,384"
,"Rate per 100,000 inhabitants",,470.5,5.0,67.1,88.7,309.7,"3,083.6",693.4,"2,166.6",223.7
"Columbia, MO M.S.A.",,"164,226", ,,,,, ,,,
,Includes Boone and Howard Counties,,,,,,,,,,
,City of Columbia,"101,033",392,5,19,138,230,"3,951",836,"2,968",147
,Total area actually reporting,100.0%,542,7,27,152,356,"5,364","1,150","4,005",209
,"Rate per 100,000 inhabitants",,330.0,4.3,16.4,92.6,216.8,"3,266.2",700.3,"2,438.7",127.3
"Columbia, SC M.S.A.",,"728,119", ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,"125,485","1,079",13,56,334,676,"6,825","1,182","4,998",645
,Total area actually reporting,100.0%,"5,443",40,244,"1,165","3,994","29,083","6,369","19,618","3,096"
,"Rate per 100,000 inhabitants",,747.5,5.5,33.5,160.0,548.5,"3,994.3",874.7,"2,694.3",425.2
"Columbus, GA-AL M.S.A.",,"282,227", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","186,217","1,274",30,72,635,537,"14,537","3,271","9,656","1,610"
,Total area actually reporting,96.6%,"1,523",34,88,692,709,"16,555","3,856","10,856","1,843"
,Estimated total,100.0%,"1,558",35,90,706,727,"16,877","3,947","11,050","1,880"
,"Rate per 100,000 inhabitants",,552.0,12.4,31.9,250.2,257.6,"5,979.9","1,398.5","3,915.3",666.1
"Columbus, IN M.S.A.",,"75,091", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"39,889",46,1,5,13,27,"1,978",177,"1,695",106
,Total area actually reporting,99.5%,70,2,5,14,49,"2,377",217,"2,032",128
,Estimated total,100.0%,71,2,5,14,50,"2,390",219,"2,042",129
,"Rate per 100,000 inhabitants",,94.6,2.7,6.7,18.6,66.6,"3,182.8",291.6,"2,719.4",171.8
"Columbus, OH M.S.A.",,"1,773,358", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus ,"751,887","5,821",109,615,"3,590","1,507","48,282","14,708","28,263","5,311"
,Total area actually reporting,88.2%,"6,985",120,865,"4,103","1,897","72,440","19,770","46,377","6,293"
,Estimated total,100.0%,"7,230",123,908,"4,183","2,016","76,682","20,864","49,304","6,514"
,"Rate per 100,000 inhabitants",,407.7,6.9,51.2,235.9,113.7,"4,324.1","1,176.5","2,780.3",367.3
"Corpus Christi, TX M.S.A.",,"415,807", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"286,348","2,224",19,192,490,"1,523","17,634","3,461","13,489",684
,Total area actually reporting,100.0%,"2,628",21,243,539,"1,825","22,566","4,881","16,824",861
,"Rate per 100,000 inhabitants",,632.0,5.1,58.4,129.6,438.9,"5,427.0","1,173.9","4,046.1",207.1
"Corvallis, OR M.S.A.",,"81,844", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"51,343",60,0,11,15,34,"1,341",200,"1,073",68
,Total area actually reporting,100.0%,110,1,20,20,69,"1,942",329,"1,506",107
,"Rate per 100,000 inhabitants",,134.4,1.2,24.4,24.4,84.3,"2,372.8",402.0,"1,840.1",130.7
"Cumberland, MD-WV M.S.A.",,"98,503", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,558",170,1,13,27,129,"1,217",298,899,20
,Total area actually reporting,99.3%,447,5,25,41,376,"2,652",641,"1,938",73
,Estimated total,100.0%,448,5,25,41,377,"2,676",645,"1,957",74
,"Rate per 100,000 inhabitants",,454.8,5.1,25.4,41.6,382.7,"2,716.7",654.8,"1,986.7",75.1
,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,286,760",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,276,214","11,420",170,499,"6,466","4,285","75,759","21,149","42,402","12,208"
,City of Fort Worth,"701,345","4,601",49,350,"1,706","2,496","35,325","9,018","23,562","2,745"
,City of Arlington,"375,836","2,262",23,141,694,"1,404","20,149","4,461","14,140","1,548"
,City of Plano,"265,739",602,7,48,144,403,"8,132","1,549","6,171",412
,City of Irving,"200,470",722,7,31,238,446,"8,560","1,819","5,867",874
,City of Carrollton,"125,607",293,4,17,134,138,"3,935","1,017","2,556",362
,City of Denton,"120,295",357,0,70,93,194,"3,333",667,"2,507",159
,City of McKinney,"126,659",267,3,51,42,171,"2,744",503,"2,136",105
,City of Richardson,"100,597",269,4,23,112,130,"3,379",850,"2,282",247
,Total area actually reporting,99.9%,"28,759",348,"1,951","11,667","14,793","255,483","62,753","166,296","26,434"
,Estimated total,100.0%,"28,760",348,"1,951","11,667","14,794","255,501","62,757","166,309","26,435"
,"Rate per 100,000 inhabitants",,457.5,5.5,31.0,185.6,235.3,"4,064.1",998.2,"2,645.4",420.5
"Dallas-Plano-Irving, TX M.D.",,"4,210,336",,,,,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"19,095",257,"1,180","8,739","8,919","169,747","42,894","106,885","19,968"
,Estimated total,100.0%,"19,096",257,"1,180","8,739","8,920","169,765","42,898","106,898","19,969"
,"Rate per 100,000 inhabitants",,453.6,6.1,28.0,207.6,211.9,"4,032.1","1,018.9","2,538.9",474.3
"Fort Worth-Arlington, TX M.D.",,"2,076,424",,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"9,664",91,771,"2,928","5,874","85,736","19,859","59,411","6,466"
,"Rate per 100,000 inhabitants",,465.4,4.4,37.1,141.0,282.9,"4,129.0",956.4,"2,861.2",311.4
"Dalton, GA M.S.A.",,"135,123", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,"34,095",127,0,10,32,85,"1,214",206,953,55
,Total area actually reporting,98.4%,441,1,25,50,365,"3,833",789,"2,844",200
,Estimated total,100.0%,453,1,26,54,372,"3,934",810,"2,916",208
,"Rate per 100,000 inhabitants",,335.3,0.7,19.2,40.0,275.3,"2,911.4",599.5,"2,158.0",153.9
"Danville, VA M.S.A.",,"104,868", ,,,,, ,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,
,City of Danville,"44,383",262,11,7,110,134,"2,704",510,"2,097",97
,Total area actually reporting,100.0%,337,13,19,128,177,"3,352",751,"2,453",148
,"Rate per 100,000 inhabitants",,321.4,12.4,18.1,122.1,168.8,"3,196.4",716.1,"2,339.1",141.1
"Dayton, OH M.S.A.",,"834,203", ,,,,, ,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,
,City of Dayton,"154,218","1,672",37,105,808,722,"9,466","3,237","5,061","1,168"
,Total area actually reporting,95.6%,"2,929",42,324,"1,306","1,257","28,219","7,117","18,825","2,277"
,Estimated total,100.0%,"2,995",43,335,"1,332","1,285","29,303","7,326","19,647","2,330"
,"Rate per 100,000 inhabitants",,359.0,5.2,40.2,159.7,154.0,"3,512.7",878.2,"2,355.2",279.3
"Decatur, AL M.S.A.",,"150,005", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"55,941",291,3,29,123,136,"3,996",976,"2,889",131
,Total area actually reporting,100.0%,392,6,40,134,212,"5,690","1,537","3,968",185
,"Rate per 100,000 inhabitants",,261.3,4.0,26.7,89.3,141.3,"3,793.2","1,024.6","2,645.2",123.3
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"501,508",,,,,,,,,
,Includes Volusia County,,,,,,,,,,
,City of Daytona Beach,"63,642",995,8,30,362,595,"4,644","1,051","3,131",462
,City of Ormond Beach,"38,173",125,0,16,27,82,"1,255",274,921,60
,Total area actually reporting,99.4%,"2,954",15,161,722,"2,056","19,149","5,068","12,647","1,434"
,Estimated total,100.0%,"2,971",15,162,728,"2,066","19,274","5,096","12,734","1,444"
,"Rate per 100,000 inhabitants",,592.4,3.0,32.3,145.2,412.0,"3,843.2","1,016.1","2,539.1",287.9
"Denver-Aurora-Broomfield, CO M.S.A.",,"2,505,132",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"592,881","3,361",40,282,951,"2,088","19,316","5,173","10,547","3,596"
,City of Aurora,"316,323","1,622",18,188,555,861,"10,660","2,216","7,146","1,298"
,City of Broomfield,"55,820",37,0,10,7,20,"1,247",98,"1,083",66
,Total area actually reporting,99.1%,"8,933",81,"1,062","2,247","5,543","71,736","14,424","48,222","9,090"
,Estimated total,100.0%,"8,984",81,"1,070","2,251","5,582","72,100","14,512","48,465","9,123"
,"Rate per 100,000 inhabitants",,358.6,3.2,42.7,89.9,222.8,"2,878.1",579.3,"1,934.6",364.2
"Des Moines-West Des Moines, IA M.S.A.",,"556,378", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"196,680","1,330",12,171,319,828,"10,016","1,999","7,253",764
,City of West Des Moines,"55,765",131,1,18,28,84,"1,746",217,"1,482",47
,Total area actually reporting,100.0%,"1,853",16,250,380,"1,207","16,699","3,217","12,438","1,044"
,"Rate per 100,000 inhabitants",,333.0,2.9,44.9,68.3,216.9,"3,001.4",578.2,"2,235.5",187.6
"Dothan, AL M.S.A.",,"140,899", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"65,416",394,3,30,186,175,"3,485",846,"2,493",146
,Total area actually reporting,96.9%,548,4,53,210,281,"4,961","1,241","3,447",273
,Estimated total,100.0%,567,4,54,217,292,"5,160","1,288","3,586",286
,"Rate per 100,000 inhabitants",,402.4,2.8,38.3,154.0,207.2,"3,662.2",914.1,"2,545.1",203.0
"Dover, DE M.S.A.",,"155,344", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"36,291",298,4,19,81,194,"2,016",186,"1,705",125
,Total area actually reporting,100.0%,"1,039",8,98,194,739,"5,375","1,146","3,877",352
,"Rate per 100,000 inhabitants",,668.8,5.1,63.1,124.9,475.7,"3,460.1",737.7,"2,495.8",226.6
"Dubuque, IA M.S.A.",,"92,937", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"57,262",356,0,21,25,310,"1,915",487,"1,357",71
,Total area actually reporting,100.0%,417,0,26,25,366,"2,210",576,"1,538",96
,"Rate per 100,000 inhabitants",,448.7,0.0,28.0,26.9,393.8,"2,378.0",619.8,"1,654.9",103.3
"Duluth, MN-WI M.S.A.5",,"273,527", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN5 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN5","84,171",,2,,128,195,"4,211",520,"3,524",167
,Total area actually reporting,98.9%,,4,,171,367,"9,402","1,509","7,441",452
,Estimated total,100.0%,,4,,172,369,"9,494","1,521","7,516",457
,"Rate per 100,000 inhabitants",,,1.5,,62.9,134.9,"3,471.0",556.1,"2,747.8",167.1
"Durham-Chapel Hill, NC M.S.A.",,"488,133", ,,,,, ,,,
,"Includes Chatham, Durham, Orange, and Person Counties",,,,,,,,,,
,City of Durham,"221,785","1,815",24,75,886,830,"11,958","3,490","7,584",884
,City of Chapel Hill,"52,034",152,2,9,74,67,"1,882",531,"1,261",90
,Total area actually reporting,100.0%,"2,509",38,112,"1,130","1,229","20,759","6,077","13,326","1,356"
,"Rate per 100,000 inhabitants",,514.0,7.8,22.9,231.5,251.8,"4,252.7","1,244.9","2,730.0",277.8
"Eau Claire, WI M.S.A.",,"158,895", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,, ,,,,,,,,
,City of Eau Claire,"65,344",84,1,13,14,56,"1,827",362,"1,406",59
,Total area actually reporting,100.0%,160,2,30,23,105,"3,443",661,"2,672",110
,"Rate per 100,000 inhabitants",,100.7,1.3,18.9,14.5,66.1,"2,166.8",416.0,"1,681.6",69.2
"El Centro, CA M.S.A.",,"163,673", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"39,865",169,0,10,52,107,"2,230",509,"1,412",309
,Total area actually reporting,100.0%,474,8,22,127,317,"6,228","1,948","3,193","1,087"
,"Rate per 100,000 inhabitants",,289.6,4.9,13.4,77.6,193.7,"3,805.1","1,190.2","1,950.8",664.1
"Elizabethtown, KY M.S.A.",,"112,156", ,,,,, ,,,
,Includes Hardin and Larue Counties,,,,,,,,,,
,City of Elizabethtown,"23,926",80,1,9,25,45,"1,091",192,863,36
,Total area actually reporting,100.0%,368,1,42,47,278,"2,029",432,"1,516",81
,"Rate per 100,000 inhabitants",,328.1,0.9,37.4,41.9,247.9,"1,809.1",385.2,"1,351.7",72.2
"Elkhart-Goshen, IN M.S.A.",,"199,699",,,,,,,,,
,Includes Elkhart County,, ,,,,,,,,
,City of Elkhart,"52,654",210,7,33,161,9,"3,567",906,"2,464",197
,City of Goshen,"32,152",45,0,13,21,11,"1,282",196,"1,048",38
,Total area actually reporting,100.0%,314,8,69,204,33,"7,157","1,768","4,917",472
,"Rate per 100,000 inhabitants",,157.2,4.0,34.6,102.2,16.5,"3,583.9",885.3,"2,462.2",236.4
"Elmira, NY M.S.A.",,"87,619", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"29,255",108,3,4,34,67,"1,168",276,872,20
,Total area actually reporting,100.0%,204,4,18,37,145,"2,132",441,"1,652",39
,"Rate per 100,000 inhabitants",,232.8,4.6,20.5,42.2,165.5,"2,433.3",503.3,"1,885.4",44.5
"El Paso, TX M.S.A.",,"741,662", ,,,,, ,,,
,Includes El Paso County,,,,,,,,,,
,City of El Paso,"612,374","2,825",17,181,456,"2,171","19,702","2,079","14,870","2,753"
,Total area actually reporting,100.0%,"3,242",19,212,517,"2,494","23,064","2,734","17,225","3,105"
,"Rate per 100,000 inhabitants",,437.1,2.6,28.6,69.7,336.3,"3,109.8",368.6,"2,322.5",418.7
"Erie, PA M.S.A.",,"278,759", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"103,881",646,7,88,317,234,"3,554","1,111","2,280",163
,Total area actually reporting,100.0%,852,9,126,360,357,"6,884","1,742","4,872",270
,"Rate per 100,000 inhabitants",,305.6,3.2,45.2,129.1,128.1,"2,469.5",624.9,"1,747.7",96.9
"Eugene-Springfield, OR M.S.A.",,"346,191",,,,,,,,,
,Includes Lane County,, ,,,,,,,,
,City of Eugene,"150,297",496,2,60,223,211,"9,821","1,704","6,814","1,303"
,City of Springfield,"57,081",245,1,14,41,189,"3,858",506,"2,843",509
,Total area actually reporting,100.0%,"1,133",8,110,302,713,"16,504","3,048","11,326","2,130"
,"Rate per 100,000 inhabitants",,327.3,2.3,31.8,87.2,206.0,"4,767.3",880.4,"3,271.6",615.3
"Evansville, IN-KY M.S.A.",,"350,434", ,,,,, ,,,
,"Includes Gibson, Posey, Vanderburgh, and Warrick Counties, IN and Henderson and Webster Counties, KY",,,,,,,,,,
,"City of Evansville, IN","115,639",462,5,65,124,268,"5,433","1,104","4,083",246
,Total area actually reporting,79.2%,691,8,83,134,466,"8,147","1,524","6,280",343
,Estimated total,100.0%,873,10,100,191,572,"10,182","1,939","7,771",472
,"Rate per 100,000 inhabitants",,249.1,2.9,28.5,54.5,163.2,"2,905.5",553.3,"2,217.5",134.7
"Fairbanks, AK M.S.A.",,"37,407", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"35,131",272,3,41,28,200,"1,189",141,921,127
,Total area actually reporting,100.0%,290,3,45,31,211,"1,437",163,"1,129",145
,"Rate per 100,000 inhabitants",,775.3,8.0,120.3,82.9,564.1,"3,841.5",435.7,"3,018.2",387.6
"Fargo, ND-MN M.S.A.1, 5",,"194,942", ,,,,, ,,,
,"Includes Clay County, MN1, 5 and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","92,883",273,0,52,27,194,"2,906",442,"2,252",212
,Total area actually reporting,100.0%,,0,,36,258,,,"3,708",319
,"Rate per 100,000 inhabitants",,,0.0,,18.5,132.3,,,"1,902.1",163.6
"Farmington, NM M.S.A.1",,"123,156", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington1,"42,956",,3,91,38,,"1,689",781,772,136
,Total area actually reporting,100.0%,,8,150,49,,"2,968","1,159","1,545",264
,"Rate per 100,000 inhabitants",,,6.5,121.8,39.8,,"2,410.0",941.1,"1,254.5",214.4
"Fayetteville, NC M.S.A.",,"351,539", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"171,457","1,621",23,72,653,873,"13,499","3,920","8,684",895
,Total area actually reporting,100.0%,"2,567",40,111,900,"1,516","21,170","6,280","13,523","1,367"
,"Rate per 100,000 inhabitants",,730.2,11.4,31.6,256.0,431.2,"6,022.1","1,786.4","3,846.8",388.9
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.2",,"447,732",,,,,,,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,
,"City of Fayetteville, AR","73,999",334,1,38,44,251,"2,757",568,"2,072",117
,"City of Springdale, AR","69,759",295,1,65,21,208,"2,527",587,"1,790",150
,"City of Rogers, AR2","57,205",142,2,39,15,86,"1,939",399,"1,494",46
,"City of Bentonville, AR2","35,972",53,0,3,5,45,616,88,508,20
,Total area actually reporting,99.3%,"1,383",8,244,95,"1,036","10,889","2,660","7,690",539
,Estimated total,100.0%,"1,398",8,246,97,"1,047","11,008","2,698","7,766",544
,"Rate per 100,000 inhabitants",,312.2,1.8,54.9,21.7,233.8,"2,458.6",602.6,"1,734.5",121.5
"Flagstaff, AZ M.S.A.",,"128,071", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"60,400",262,3,43,61,155,"3,364",409,"2,867",88
,Total area actually reporting,97.4%,467,3,79,69,316,"4,783",685,"3,975",123
,Estimated total,100.0%,477,3,80,72,322,"4,914",715,"4,061",138
,"Rate per 100,000 inhabitants",,372.4,2.3,62.5,56.2,251.4,"3,836.9",558.3,"3,170.9",107.8
"Flint, MI M.S.A.",,"430,816", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"113,462","2,297",32,103,686,"1,476","6,889","3,273","2,707",909
,Total area actually reporting,99.7%,"3,205",37,239,934,"1,995","15,893","5,601","8,629","1,663"
,Estimated total,100.0%,"3,208",37,239,935,"1,997","15,927","5,608","8,653","1,666"
,"Rate per 100,000 inhabitants",,744.6,8.6,55.5,217.0,463.5,"3,696.9","1,301.7","2,008.5",386.7
"Florence, SC M.S.A.",,"200,297", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"31,508",533,8,27,111,387,"3,088",526,"2,374",188
,Total area actually reporting,100.0%,"2,008",22,90,339,"1,557","10,784","2,633","7,293",858
,"Rate per 100,000 inhabitants",,"1,002.5",11.0,44.9,169.2,777.3,"5,384.0","1,314.5","3,641.1",428.4
"Florence-Muscle Shoals, AL M.S.A.",,"143,463", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"37,594",155,3,16,65,71,"1,877",485,"1,335",57
,City of Muscle Shoals,"12,925",78,0,3,19,56,635,128,487,20
,Total area actually reporting,100.0%,572,6,48,127,391,"5,232","1,375","3,663",194
,"Rate per 100,000 inhabitants",,398.7,4.2,33.5,88.5,272.5,"3,646.9",958.4,"2,553.3",135.2
"Fond du Lac, WI M.S.A.",,"99,281", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,037",144,0,27,7,110,"1,232",120,"1,069",43
,Total area actually reporting,100.0%,213,1,38,10,164,"1,855",234,"1,549",72
,"Rate per 100,000 inhabitants",,214.5,1.0,38.3,10.1,165.2,"1,868.4",235.7,"1,560.2",72.5
"Fort Collins-Loveland, CO M.S.A.",,"292,381",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"135,785",549,2,75,39,433,"4,607",784,"3,582",241
,City of Loveland,"66,204",109,1,23,20,65,"1,797",291,"1,431",75
,Total area actually reporting,100.0%,791,5,130,68,588,"8,138","1,428","6,302",408
,"Rate per 100,000 inhabitants",,270.5,1.7,44.5,23.3,201.1,"2,783.4",488.4,"2,155.4",139.5
"Fort Smith, AR-OK M.S.A.",,"291,712", , ,,,, ,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","84,847",660,2,90,107,461,"4,711","1,068","3,386",257
,Total area actually reporting,98.0%,"1,290",7,157,134,992,"8,042","2,106","5,417",519
,Estimated total,100.0%,"1,317",7,160,138,"1,012","8,267","2,178","5,560",529
,"Rate per 100,000 inhabitants",,451.5,2.4,54.8,47.3,346.9,"2,834.0",746.6,"1,906.0",181.3
"Fort Walton Beach-Crestview-Destin, FL M.S.A.",,"180,599",,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,
,City of Fort Walton Beach,"18,831",93,0,9,21,63,792,178,574,40
,City of Crestview,"19,865",102,0,16,22,64,683,43,600,40
,Total area actually reporting,100.0%,689,3,56,139,491,"5,539","1,047","4,198",294
,"Rate per 100,000 inhabitants",,381.5,1.7,31.0,77.0,271.9,"3,067.0",579.7,"2,324.5",162.8
"Fort Wayne, IN M.S.A.",,"412,265", ,,,,, ,,,
