Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,"City of Cincinnati, OH","309,104","3,766",89,291,"2,339","1,047","22,107","6,009","13,523","2,575",,,
,"City of Middletown, OH","51,535",213,1,37,80,95,"4,021",860,"3,009",152,,,
,Total area actually reporting,81.5%,"6,974",117,811,"3,419","2,627","66,644","13,910","47,614","5,120",,,
,Estimated total,100.0%,"7,572",122,907,"3,627","2,916","76,619","16,008","54,862","5,749",,,
,"Rate per 100,000 inhabitants",,364.7,5.9,43.7,174.7,140.5,"3,690.6",771.1,"2,642.6",276.9,,,
"Clarksville, TN-KY M.S.A.",,"246,355", ,,,,, ,,,,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,,,,
,"City of Clarksville, TN","114,314","1,023",6,50,195,772,"4,242","1,348","2,611",283,,,
,Total area actually reporting,99.7%,"1,390",12,95,266,"1,017","7,626","2,249","4,839",538,,,
,Estimated total,100.0%,"1,392",12,95,267,"1,018","7,653","2,254","4,859",540,,,
,"Rate per 100,000 inhabitants",,565.0,4.9,38.6,108.4,413.2,"3,106.5",914.9,"1,972.4",219.2,,,
"Cleveland, TN M.S.A.",,"109,410", ,,,,, ,,,,,,
,Includes Bradley and Polk Counties,,,,,,,,,,,,,
,City of Cleveland,"38,672",361,1,26,34,300,"2,122",456,"1,523",143,,,
,Total area actually reporting,100.0%,694,1,39,38,616,"3,456",845,"2,343",268,,,
,"Rate per 100,000 inhabitants",,634.3,0.9,35.6,34.7,563.0,"3,158.8",772.3,"2,141.5",245.0,,,
"Cleveland-Elyria-Mentor, OH M.S.A.",,"2,128,904",, ,,,,, ,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",,,,,,,,,,,,,
,City of Cleveland,"452,759","7,004",75,445,"4,288","2,196","28,220","9,650","12,036","6,534",,,
,City of Elyria,"56,129",232,4,24,89,115,"2,718",745,"1,807",166,,,
,City of Mentor,"51,548",42,0,5,15,22,"1,167",154,948,65,,,
,Total area actually reporting,80.2%,"9,016",93,645,"5,166","3,112","54,002","15,829","29,709","8,464",,,
,Estimated total,100.0%,"9,786",99,766,"5,461","3,460","66,651","18,242","39,190","9,219",,,
,"Rate per 100,000 inhabitants",,459.7,4.7,36.0,256.5,162.5,"3,130.8",856.9,"1,840.9",433.0,,,
"Coeur d'Alene, ID M.S.A.",,"131,006", ,,,,, ,,,, ,,
,Includes Kootenai County,,,,,,,,,,,,,
,City of Coeur d'Alene,"41,106",269,0,35,17,217,"1,911",369,"1,428",114,,,
,Total area actually reporting,100.0%,451,1,77,27,346,"3,801",874,"2,673",254,,,
,"Rate per 100,000 inhabitants",,344.3,0.8,58.8,20.6,264.1,"2,901.4",667.1,"2,040.4",193.9,,,
"College Station-Bryan, TX M.S.A.",,"195,111",,,,,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",,,,,,,,,,,,,
,City of College Station,"74,439",210,0,39,33,138,"2,860",549,"2,192",119,,,
,City of Bryan,"68,185",589,6,31,100,452,"3,760","1,004","2,570",186,,,
,Total area actually reporting,100.0%,950,8,90,144,708,"8,284","1,944","5,941",399,,,
,"Rate per 100,000 inhabitants",,486.9,4.1,46.1,73.8,362.9,"4,245.8",996.4,"3,044.9",204.5,,,
"Colorado Springs, CO M.S.A.",,"598,605", ,,,,, ,,,,,,
,Includes El Paso and Teller Counties,,,,,,,,,,,,,
,City of Colorado Springs,"376,807","2,145",15,251,612,"1,267","18,076","3,347","12,940","1,789",,,
,Total area actually reporting,99.9%,"3,296",18,326,665,"2,287","22,325","4,463","15,618","2,244",,,
,Estimated total,100.0%,"3,298",18,326,665,"2,289","22,359","4,469","15,642","2,248",,,
,"Rate per 100,000 inhabitants",,550.9,3.0,54.5,111.1,382.4,"3,735.2",746.6,"2,613.1",375.5,,,
"Columbia, MO M.S.A.",,"154,404", ,,,,, ,,,,,,
,Includes Boone and Howard Counties,,,,,,,,,,,,,
,City of Columbia,"92,485",460,2,23,113,322,"3,105",544,"2,335",226,,,
,Total area actually reporting,100.0%,679,3,33,134,509,"4,632",847,"3,447",338,,,
,"Rate per 100,000 inhabitants",,439.8,1.9,21.4,86.8,329.7,"2,999.9",548.6,"2,232.5",218.9,,,
"Columbia, SC M.S.A.",,"700,605", ,,,,, ,,,,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,,,,
,City of Columbia,"118,909","1,290",7,56,375,852,"6,994","1,254","5,086",654,,,
,Total area actually reporting,99.9%,"5,090",59,250,942,"3,839","26,976","5,480","19,121","2,375",,,
,Estimated total,100.0%,"5,092",59,250,942,"3,841","26,993","5,483","19,134","2,376",,,
,"Rate per 100,000 inhabitants",,726.8,8.4,35.7,134.5,548.2,"3,852.8",782.6,"2,731.1",339.1,,,
"Columbus, GA-AL M.S.A.",,"292,291", ,,,,, ,,,,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,,,,
,"City of Columbus, GA","191,221","1,187",17,19,582,569,"13,825","2,773","9,202","1,850",,,
,Total area actually reporting,90.2%,"1,363",19,30,630,684,"15,473","3,123","10,395","1,955",,,
,Estimated total,100.0%,"1,435",20,36,651,728,"16,186","3,340","10,816","2,030",,,
,"Rate per 100,000 inhabitants",,490.9,6.8,12.3,222.7,249.1,"5,537.6","1,142.7","3,700.4",694.5,,,
"Columbus, IN M.S.A.",,"74,027", ,,,,, ,,,,,,
,Includes Bartholomew County,,,,,,,,,,,,,
,City of Columbus,"39,641",76,2,12,15,47,"2,554",277,"2,153",124,,,
,Total area actually reporting,99.6%,151,3,16,17,115,"3,056",380,"2,547",129,,,
,Estimated total,100.0%,152,3,16,17,116,"3,068",382,"2,556",130,,,
,"Rate per 100,000 inhabitants",,205.3,4.1,21.6,23.0,156.7,"4,144.4",516.0,"3,452.8",175.6,,,
"Columbus, OH M.S.A.",,"1,710,708", ,,,,, ,,,,,,
,"Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,,,,
,City of Columbus ,"731,547","5,948",104,586,"3,646","1,612","52,098","14,816","30,882","6,400",,,
,Total area actually reporting,88.4%,"7,105",111,829,"4,156","2,009","76,228","20,395","48,234","7,599",,,
,Estimated total,100.0%,"7,292",113,874,"4,215","2,090","80,395","21,420","51,149","7,826",,,
,"Rate per 100,000 inhabitants",,426.3,6.6,51.1,246.4,122.2,"4,699.5","1,252.1","2,989.9",457.5,,,
"Corpus Christi, TX M.S.A.",,"425,272", ,,,,, ,,,,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,,,,
,City of Corpus Christi,"291,507","2,070",21,167,468,"1,414","19,138","3,005","15,261",872,,,
,Total area actually reporting,100.0%,"2,449",25,247,508,"1,669","24,932","4,352","19,508","1,072",,,
,"Rate per 100,000 inhabitants",,575.9,5.9,58.1,119.5,392.5,"5,862.6","1,023.3","4,587.2",252.1,,,
"Cumberland, MD-WV M.S.A.",,"100,893", ,,,,, ,,,,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,,,,
,"City of Cumberland, MD","20,972",188,1,20,25,142,"1,284",311,936,37,,,
,Total area actually reporting,99.3%,372,1,38,46,287,"2,705",690,"1,898",117,,,
,Estimated total,100.0%,373,1,38,46,288,"2,727",694,"1,915",118,,,
,"Rate per 100,000 inhabitants",,369.7,1.0,37.7,45.6,285.5,"2,702.9",687.9,"1,898.1",117.0,,,
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"5,984,390",,,,,,,,,,,,
,Includes Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,,,,
,City of Dallas,"1,248,223","15,058",187,665,"6,914","7,292","85,592","21,653","50,009","13,930",,,
,City of Fort Worth,"641,752","4,209",49,247,"1,417","2,496","36,473","8,998","24,128","3,347",,,
,City of Arlington,"373,086","2,728",14,192,890,"1,632","19,666","4,042","13,905","1,719",,,
,City of Plano,"257,183",743,4,42,154,543,"8,618","1,394","6,642",582,,,
,City of Irving,"199,137",850,3,48,264,535,"9,644","1,674","6,728","1,242",,,
,City of Carrollton,"122,239",229,5,6,87,131,"3,782",815,"2,489",478,,,
,City of Denton,"107,105",329,0,60,65,204,"3,168",664,"2,295",209,,,
,City of Richardson,"101,998",234,3,11,98,122,"3,118",685,"2,121",312,,,
,City of McKinney,"99,318",264,2,41,37,184,"2,217",490,"1,616",111,,,
,Total area actually reporting,99.9%,"31,975",336,"2,036","11,622","17,981","264,433","60,534","173,933","29,966",,,
,Estimated total,100.0%,"31,976",336,"2,036","11,622","17,982","264,451","60,538","173,946","29,967",,,
,"Rate per 100,000 inhabitants",,534.3,5.6,34.0,194.2,300.5,"4,419.0","1,011.6","2,906.7",500.8,,,
"Dallas-Plano-Irving, TX M.D.",,"4,003,448",,,,,, , ,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,,,,
,Total area actually reporting,99.9%,"22,399",255,"1,313","8,790","12,041","176,664","41,033","113,191","22,440",,,
,Estimated total,100.0%,"22,400",255,"1,313","8,790","12,042","176,682","41,037","113,204","22,441",,,
,"Rate per 100,000 inhabitants",,559.5,6.4,32.8,219.6,300.8,"4,413.2","1,025.0","2,827.7",560.5,,,
"Fort Worth-Arlington, TX M.D.",,"1,980,942",,,,,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"9,576",81,723,"2,832","5,940","87,769","19,501","60,742","7,526",,,
,"Rate per 100,000 inhabitants",,483.4,4.1,36.5,143.0,299.9,"4,430.7",984.4,"3,066.3",379.9,,,
"Dalton, GA M.S.A.",,"135,931", ,,,,, ,,,,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,,,,
,City of Dalton,"33,172",148,1,10,32,105,"1,390",209,"1,065",116,,,
,Total area actually reporting,99.5%,437,2,31,44,360,"4,408",982,"3,039",387,,,
,Estimated total,100.0%,440,2,31,45,362,"4,440",988,"3,062",390,,,
,"Rate per 100,000 inhabitants",,323.7,1.5,22.8,33.1,266.3,"3,266.4",726.8,"2,252.6",286.9,,,
"Danville, VA M.S.A.",,"109,073", ,,,,, ,,,,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,,,,
,City of Danville,"46,603",193,4,5,75,109,"2,105",426,"1,569",110,,,
,Total area actually reporting,100.0%,270,5,19,89,157,"2,772",673,"1,920",179,,,
,"Rate per 100,000 inhabitants",,247.5,4.6,17.4,81.6,143.9,"2,541.4",617.0,"1,760.3",164.1,,,
"Dayton, OH M.S.A.",,"844,605", ,,,,, ,,,,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,,,,
,City of Dayton,"159,067","1,721",37,120,810,754,"11,759","3,525","6,037","2,197", ,,
,Total area actually reporting,77.8%,"2,491",43,319,"1,061","1,068","26,894","6,307","17,332","3,255", ,,
,Estimated total,100.0%,"2,747",45,367,"1,153","1,182","31,625","7,323","20,775","3,527",,,
,"Rate per 100,000 inhabitants",,325.2,5.3,43.5,136.5,139.9,"3,744.4",867.0,"2,459.7",417.6,,,
"Decatur, AL M.S.A.",,"149,687", ,,,,, ,,,,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,,,,
,City of Decatur,"55,406",249,2,25,80,142,"3,629",716,"2,630",283,,,
,Total area actually reporting,97.4%,396,7,45,109,235,"5,507","1,244","3,852",411,,,
,Estimated total,100.0%,412,7,46,115,244,"5,662","1,275","3,964",423,,,
,"Rate per 100,000 inhabitants",,275.2,4.7,30.7,76.8,163.0,"3,782.6",851.8,"2,648.2",282.6,,,
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"498,320",,,,,,,,,,,,
,Includes Volusia County,,,,,,,,,,,,,
,City of Daytona Beach,"65,507",896,4,55,302,535,"5,132","1,615","2,873",644,,,
,City of Ormond Beach,"39,264",123,1,7,20,95,"1,160",236,872,52,,,
,Total area actually reporting,100.0%,"2,716",21,162,636,"1,897","19,139","5,407","11,877","1,855",,,
,"Rate per 100,000 inhabitants",,545.0,4.2,32.5,127.6,380.7,"3,840.7","1,085.0","2,383.4",372.3,,,
"Denver-Aurora, CO M.S.A.",,"2,404,612",,,,,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,,,,
,City of Denver,"568,465","4,325",51,342,"1,280","2,652","26,266","6,543","13,376","6,347",,,
,City of Aurora,"302,855","1,858",17,217,600,"1,024","12,805","2,470","8,292","2,043",,,
,Total area actually reporting,99.9%,"10,279",106,"1,152","2,627","6,394","88,506","17,912","55,823","14,771",,,
,Estimated total,100.0%,"10,285",106,"1,153","2,628","6,398","88,575","17,924","55,872","14,779",,,
,"Rate per 100,000 inhabitants",,427.7,4.4,47.9,109.3,266.1,"3,683.5",745.4,"2,323.5",614.6,,,
"Des Moines-West Des Moines, IA M.S.A.1",,"525,225", ,,,,, ,,,,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,,,,
,City of Des Moines1,"195,194","1,306",6,62,374,864,"13,505","2,189","10,331",985,,,
,City of West Des Moines,"53,048",98,0,20,9,69,"1,847",241,"1,538",68,, ,
,Total area actually reporting,100.0%,"1,829",8,122,435,"1,264","21,169","3,549","16,249","1,371",,,
,"Rate per 100,000 inhabitants",,348.2,1.5,23.2,82.8,240.7,"4,030.5",675.7,"3,093.7",261.0,,,
"Detroit-Warren-Livonia, MI M.S.A.",,"4,477,154",,,,,,,,,,,,
,Includes Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Troy-Farmington Hills,,,,,,,,,,,,,
,City of Detroit,"884,462","21,394",418,593,"7,240","13,143","62,338","18,134","21,287","22,917",,,
,City of Warren,"134,974",842,5,75,241,521,"4,883",790,"2,288","1,805",,,
,City of Livonia,"97,733",167,0,19,65,83,"2,318",366,"1,639",313,,,
,City of Dearborn,"93,856",456,2,21,164,269,"4,947",670,"3,242","1,035",,,
,City of Troy,"80,966",93,2,10,26,55,"2,018",321,"1,550",147,,,
,City of Farmington Hills,"80,023",134,0,14,32,88,"1,553",325,"1,060",168,,,
,City of Southfield,"76,627","1,041",1,36,164,840,"3,604",894,"2,003",707,,,
,City of Pontiac,"67,163","1,221",8,86,276,851,"3,425","1,566","1,294",565,,,
,City of Taylor,"64,800",234,4,33,78,119,"2,736",382,"1,983",371,,,
,City of Novi,"52,983",50,0,5,11,34,"1,208",106,"1,056",46, ,,
,Total area actually reporting,99.5%,"33,819",506,"1,813","10,178","21,322","160,161","36,384","85,349","38,428",,,
,Estimated total,100.0%,"33,894",507,"1,822","10,196","21,369","160,892","36,513","85,864","38,515",,,
,"Rate per 100,000 inhabitants",,757.0,11.3,40.7,227.7,477.3,"3,593.6",815.5,"1,917.8",860.3, ,, 
"Detroit-Livonia-Dearborn, MI M.D.",,"1,993,241",,,, ,,,, ,,,,
,Includes Wayne County,,,,,,,,,,,,,
,Total area actually reporting,98.8%,"25,384",458,955,"8,481","15,490","97,643","24,378","43,669","29,596",,,
,Estimated total,100.0%,"25,459",459,964,"8,499","15,537","98,374","24,507","44,184","29,683",,,
,"Rate per 100,000 inhabitants",,"1,277.3",23.0,48.4,426.4,779.5,"4,935.4","1,229.5","2,216.7","1,489.2",,,
"Warren-Troy-Farmington Hills, MI M.D.",,"2,483,913",,,,,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"8,435",48,858,"1,697","5,832","62,518","12,006","41,680","8,832",,,
,"Rate per 100,000 inhabitants",,339.6,1.9,34.5,68.3,234.8,"2,516.9",483.4,"1,678.0",355.6, ,,
"Dothan, AL M.S.A.",,"137,829", ,,,,, ,,,,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,,,,
,City of Dothan,"62,410",375,7,57,186,125,"3,303",869,"2,234",200,,,
,Total area actually reporting,88.5%,442,7,58,194,183,"4,268","1,164","2,809",295,,,
,Estimated total,100.0%,508,8,63,219,218,"4,898","1,291","3,265",342,,,
,"Rate per 100,000 inhabitants",,368.6,5.8,45.7,158.9,158.2,"3,553.7",936.7,"2,368.9",248.1,,,
"Dover, DE M.S.A.",,"145,667", ,,,,, ,,,,,,
,Includes Kent County,,,,,,,,,,,,,
,City of Dover,"34,693",289,2,17,47,223,"1,702",142,"1,435",125,,,
,Total area actually reporting,100.0%,881,8,92,140,641,"4,523",901,"3,289",333,,,
,"Rate per 100,000 inhabitants",,604.8,5.5,63.2,96.1,440.0,"3,105.0",618.5,"2,257.9",228.6,,,
"Dubuque, IA M.S.A.",,"92,118", ,,,,, ,,,,,,
,Includes Dubuque County,,,,,,,,,,,,,
,City of Dubuque,"58,105",354,0,21,16,317,"1,694",436,"1,179",79,,,
,Total area actually reporting,100.0%,403,0,23,16,364,"1,945",533,"1,305",107,,,
,"Rate per 100,000 inhabitants",,437.5,0.0,25.0,17.4,395.1,"2,111.4",578.6,"1,416.7",116.2,,,
"Duluth, MN-WI M.S.A.4",,"277,120", ,,,,, ,,,,,,
,"Includes Carlton and St. Louis Counties, MN4 and Douglas County, WI",,,,,,,,,,,,,
,"City of Duluth, MN4","85,463",,1,,116,224,"4,057",630,"3,214",213,,,
,Total area actually reporting,97.6%,,4,,153,431,"8,910","1,705","6,710",495,,,
,Estimated total,100.0%,,4,,156,438,"9,138","1,738","6,890",510,,,
,"Rate per 100,000 inhabitants",,,1.4,,56.3,158.1,"3,297.5",627.2,"2,486.3",184.0,,,
"Durham, NC M.S.A.1",,"465,289", ,,, ,, ,,,,,,
,"Includes Chatham, Durham, Orange, and Person Counties",,,,,,,,,,,,,
,City of Durham1,"208,932","1,957",13,98,977,869,"11,866","3,098","7,617","1,151",,,
,Total area actually reporting,100.0%,"2,824",22,157,"1,185","1,460","21,041","5,567","13,859","1,615",,,
,"Rate per 100,000 inhabitants",,606.9,4.7,33.7,254.7,313.8,"4,522.1","1,196.5","2,978.6",347.1,,,
"Eau Claire, WI M.S.A.",,"154,604", ,,,,, ,,,,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,,,,
,City of Eau Claire,"62,799",100,0,8,13,79,"2,191",390,"1,707",94,,,
,Total area actually reporting,100.0%,201,0,18,21,162,"3,854",708,"2,975",171,,,
,"Rate per 100,000 inhabitants",,130.0,0.0,11.6,13.6,104.8,"2,492.8",457.9,"1,924.3",110.6,,,
"El Centro, CA M.S.A.",,"157,226", ,,,,, ,,,,,,
,Includes Imperial County,,,,,,,,,,,,,
,City of El Centro,"39,993",328,0,6,59,263,"1,973",721,986,266,,,
,Total area actually reporting,100.0%,663,3,18,139,503,"6,388","2,192","3,054","1,142",,,
,"Rate per 100,000 inhabitants",,421.7,1.9,11.4,88.4,319.9,"4,062.9","1,394.2","1,942.4",726.3,,,
"Elizabethtown, KY M.S.A.",,"111,512", ,,,,, ,,,,,,
,Includes Hardin and Larue Counties,,,,,,,,,,,,,
,City of Elizabethtown,"23,634",85,0,12,36,37,"1,088",218,821,49,,,
,Total area actually reporting,100.0%,175,0,27,56,92,"1,913",434,"1,383",96,,,
,"Rate per 100,000 inhabitants",,156.9,0.0,24.2,50.2,82.5,"1,715.5",389.2,"1,240.2",86.1,,,
"Elkhart-Goshen, IN M.S.A.",,"196,656",,,,,,,,,,,,
,Includes Elkhart County,,,,,,,,,,,,,
,City of Elkhart,"52,616",284,12,26,230,16,"4,069",936,"2,857",276,,,
,City of Goshen,"31,476",77,2,18,22,35,"1,301",199,"1,047",55,,,
,Total area actually reporting,100.0%,420,15,58,281,66,"7,144","1,538","5,136",470,,,
,"Rate per 100,000 inhabitants",,213.6,7.6,29.5,142.9,33.6,"3,632.7",782.1,"2,611.7",239.0,,,
"Elmira, NY M.S.A.",,"89,752", ,,,,, ,,,,,,
,Includes Chemung County,,,,,,,,,,,,,
,City of Elmira,"30,008",113,1,2,45,65,"1,457",281,"1,146",30,,,
,Total area actually reporting,100.0%,193,2,20,56,115,"2,387",422,"1,902",63,,,
,"Rate per 100,000 inhabitants",,215.0,2.2,22.3,62.4,128.1,"2,659.6",470.2,"2,119.2",70.2,,,
"El Paso, TX M.S.A.",,"742,047", ,,,,, ,,,,,,
,Includes El Paso County,,,,,,,,,,,,,
,City of El Paso,"615,553","2,413",13,291,503,"1,606","20,576","2,212","14,845","3,519",,,
,Total area actually reporting,100.0%,"2,804",22,322,546,"1,914","23,656","2,771","17,096","3,789",,,
,"Rate per 100,000 inhabitants",,377.9,3.0,43.4,73.6,257.9,"3,187.9",373.4,"2,303.9",510.6,,,
"Erie, PA M.S.A.",,"280,694", , ,,,, ,,,,,,
,Includes Erie County,,,,,,,,,,,,,
,City of Erie,"102,703",554,2,69,275,208,"2,987",740,"2,106",141,,,
,Total area actually reporting,100.0%,824,4,113,309,398,"5,795","1,411","4,080",304,,,
,"Rate per 100,000 inhabitants",,293.6,1.4,40.3,110.1,141.8,"2,064.5",502.7,"1,453.5",108.3,,,
"Eugene-Springfield, OR M.S.A.",,"340,676",,,, ,,,,,,,,
,Includes Lane County,,,,,,,,,,,,,
,City of Eugene,"146,885",370,3,44,155,168,"8,113","1,561","5,386","1,166",,,
,City of Springfield,"56,553",182,2,11,29,140,"3,969",651,"2,785",533,,,
,Total area actually reporting,100.0%,910,8,95,219,588,"15,287","3,280","9,952","2,055",,,
,"Rate per 100,000 inhabitants",,267.1,2.3,27.9,64.3,172.6,"4,487.3",962.8,"2,921.3",603.2,,,
"Evansville, IN-KY M.S.A.",,"351,930", ,,,,, ,,,,,,
,"Includes Gibson, Posey, Vanderburgh, and Warrick Counties, IN and Henderson and Webster Counties, KY",,,,,,,,,,,,,
,"City of Evansville, IN","116,686",540,6,61,185,288,"5,307","1,131","3,933",243,,,
,Total area actually reporting,76.1%,756,8,83,201,464,"7,867","1,532","5,958",377,,,
,Estimated total,100.0%,912,10,100,248,554,"10,043","1,970","7,528",545,,,
,"Rate per 100,000 inhabitants",,259.1,2.8,28.4,70.5,157.4,"2,853.7",559.8,"2,139.1",154.9,,,
"Fairbanks, AK M.S.A.",,"33,421", ,,,,, ,,,,,,
,Includes Fairbanks North Star Borough,,,,,,,,,,,,,
,City of Fairbanks,"31,626",268,1,67,47,153,"1,617",297,"1,163",157,,,
,Total area actually reporting,100.0%,274,1,68,48,157,"1,929",337,"1,419",173,,,
,"Rate per 100,000 inhabitants",,819.8,3.0,203.5,143.6,469.8,"5,771.8","1,008.3","4,245.8",517.6,,,
"Fargo, ND-MN M.S.A.4",,"185,052", ,,,,, ,,,,,,
,"Includes Clay County, MN4 and Cass County, ND",,,,,,,,,,,,,
,"City of Fargo, ND","90,818",231,2,69,19,141,"2,679",525,"1,930",224,,,
,Total area actually reporting,100.0%,,2,,30,215,"4,369",818,"3,206",345,,,
,"Rate per 100,000 inhabitants",,,1.1,,16.2,116.2,"2,361.0",442.0,"1,732.5",186.4,,,
"Farmington, NM M.S.A.  ",,"127,924", ,,,,, ,,,,,,
,Includes San Juan County,,,,,,,,,,,,,
,City of Farmington,"43,748",300,1,56,31,212,"1,406",378,897,131,,,
,Total area actually reporting,100.0%,763,4,100,46,613,"2,948",709,"2,001",238,,,
,"Rate per 100,000 inhabitants",,596.4,3.1,78.2,36.0,479.2,"2,304.5",554.2,"1,564.2",186.0,,,
"Fayetteville, NC M.S.A.",,"352,430", ,,,,, ,,,,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,,,,
,City of Fayetteville,"132,521","1,299",15,61,510,713,"13,091","3,519","8,549","1,023",,,
,Total area actually reporting,100.0%,"2,139",30,105,696,"1,308","21,198","6,362","13,281","1,555",,,
,"Rate per 100,000 inhabitants",,606.9,8.5,29.8,197.5,371.1,"6,014.8","1,805.2","3,768.4",441.2,,,
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.",,"409,630",,,,,,,,,,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,,,,
,"City of Fayetteville, AR","67,416",357,0,41,35,281,"3,229",602,"2,455",172,,,
,"City of Springdale, AR","60,782",281,2,61,36,182,"2,617",471,"1,942",204,,,
,"City of Rogers, AR","48,905",101,0,44,13,44,"2,520",292,"2,147",81,,,
,"City of Bentonville, AR","29,875",72,0,19,9,44,802,118,642,42,,,
,Total area actually reporting,100.0%,"1,308",9,260,114,925,"12,918","2,731","9,403",784,,,
,"Rate per 100,000 inhabitants",,319.3,2.2,63.5,27.8,225.8,"3,153.6",666.7,"2,295.5",191.4,,,
"Flagstaff, AZ M.S.A.",,"128,601", , ,,,, ,,,,,,
,Includes Coconino County,,,,,,,,,,,,,
,City of Flagstaff,"59,585",428,3,46,89,290,"4,024",497,"3,340",187,,,
,Total area actually reporting,100.0%,690,3,65,109,513,"5,660",786,"4,623",251,,,
,"Rate per 100,000 inhabitants",,536.5,2.3,50.5,84.8,398.9,"4,401.2",611.2,"3,594.8",195.2,,,
"Flint, MI M.S.A.",,"442,777", ,,,,, ,,,,,,
,Includes Genesee County,,,,,,,,,,,,,
,City of Flint,"118,256","3,070",54,143,627,"2,246","8,117","3,058","3,538","1,521",,,
,Total area actually reporting,99.9%,"4,115",68,310,864,"2,873","18,356","5,573","10,202","2,581",,,
,Estimated total,100.0%,"4,116",68,310,864,"2,874","18,367","5,575","10,210","2,582",,,
,"Rate per 100,000 inhabitants",,929.6,15.4,70.0,195.1,649.1,"4,148.1","1,259.1","2,305.9",583.1,,,
"Florence, SC M.S.A.",,"201,529", ,,,,, ,,,,,,
,Includes Darlington and Florence Counties,,,,,,,,,,,,,
,City of Florence,"31,755",523,4,17,155,347,"3,226",461,"2,542",223,,,
,Total area actually reporting,100.0%,"2,339",12,79,395,"1,853","11,518","2,447","8,200",871,,,
,"Rate per 100,000 inhabitants",,"1,160.6",6.0,39.2,196.0,919.5,"5,715.3","1,214.2","4,068.9",432.2,,,
"Fond du Lac, WI M.S.A.",,"99,701", ,,,,, ,,,,,,
,Includes Fond du Lac County,,,,,,,,,,,,,
,City of Fond du Lac,"42,591",124,0,23,16,85,"1,182",162,986,34,,,
,Total area actually reporting,100.0%,188,1,41,17,129,"1,853",290,"1,487",76,,,
,"Rate per 100,000 inhabitants",,188.6,1.0,41.1,17.1,129.4,"1,858.6",290.9,"1,491.5",76.2,,,
"Fort Collins-Loveland, CO M.S.A.",,"277,068",,,,,,,,,,,,
,Includes Larimer County,,,,,,,,,,,,,
,City of Fort Collins,"130,446",493,0,76,36,381,"4,570",701,"3,585",284,,,
,City of Loveland,"60,689",98,0,9,18,71,"1,807",242,"1,465",100,,,
,Total area actually reporting,100.0%,718,5,113,61,539,"8,433","1,386","6,532",515,,,
,"Rate per 100,000 inhabitants",,259.1,1.8,40.8,22.0,194.5,"3,043.7",500.2,"2,357.5",185.9,,,
"Fort Smith, AR-OK M.S.A.",,"288,013", ,,,, , ,,,,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,,,,
,"City of Fort Smith, AR","83,422",876,11,83,131,651,"5,491","1,089","4,039",363,,,
,Total area actually reporting,87.2%,"1,383",16,146,150,"1,071","8,789","2,073","6,158",558,,,
,Estimated total,100.0%,"1,505",17,159,160,"1,169","9,762","2,435","6,690",637,,,
