Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2013",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,Total area actually reporting,100.0%,169,3,11,17,138,"2,367",377,"1,879",111
,"Rate per 100,000 inhabitants",,211.3,3.8,13.8,21.3,172.5,"2,959.0",471.3,"2,349.0",138.8
"Cedar Rapids, IA M.S.A.",,"263,588", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"128,642",392,4,46,90,252,"4,707",977,"3,433",297
,Total area actually reporting,87.9%,493,4,68,98,323,"5,914","1,302","4,256",356
,Estimated total,100.0%,539,4,74,99,362,"6,210","1,395","4,435",380
,"Rate per 100,000 inhabitants",,204.5,1.5,28.1,37.6,137.3,"2,355.9",529.2,"1,682.6",144.2
"Chambersburg-Waynesboro, PA M.S.A.3",,"151,646",,,,,,,,,
,Includes Franklin County3,, ,,,,,,,,
,City of Chambersburg,"20,381",86,0,3,46,37,810,127,660,23
,City of Waynesboro3,"10,650",24,1,3,11,9,242,40,199,3
,Total area actually reporting,100.0%,230,4,35,80,111,"2,931",528,"2,314",89
,"Rate per 100,000 inhabitants",,151.7,2.6,23.1,52.8,73.2,"1,932.8",348.2,"1,525.9",58.7
"Champaign-Urbana, IL M.S.A.",,"234,223",,,,,,,,,
,"Includes Champaign, Ford, and Piatt Counties",, ,,,,,,,,
,City of Champaign,"82,966",654,4,39,119,492,"2,275",506,"1,698",71
,City of Urbana,"41,598",141,2,27,66,46,"1,605",354,"1,211",40
,Total area actually reporting,98.2%,"1,109",9,116,217,767,"5,811","1,385","4,260",166
,Estimated total,100.0%,"1,118",9,117,220,772,"5,896","1,400","4,326",170
,"Rate per 100,000 inhabitants",,477.3,3.8,50.0,93.9,329.6,"2,517.3",597.7,"1,847.0",72.6
"Charleston-North Charleston, SC M.S.A.",,"710,846", ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,"127,206",231,7,29,72,123,"3,192",305,"2,725",162
,City of North Charleston,"103,324",693,13,56,196,428,"5,804",892,"4,409",503
,Total area actually reporting,99.5%,"2,539",51,201,502,"1,785","22,248","4,396","16,155","1,697"
,Estimated total,100.0%,"2,555",51,202,505,"1,797","22,397","4,422","16,271","1,704"
,"Rate per 100,000 inhabitants",,359.4,7.2,28.4,71.0,252.8,"3,150.8",622.1,"2,289.0",239.7
"Charlotte-Concord-Gastonia, NC-SC M.S.A.",,"2,329,109", ,,,,, ,,,
,"Includes Cabarrus, Gaston, Iredell, Lincoln, Mecklenburg, Rowan, and Union Counties, NC and Chester, Lancaster, and York Counties, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","837,638","5,093",59,230,"1,805","2,999","30,569","6,439","22,274","1,856"
,"City of Concord, NC","82,899",122,7,9,50,56,"2,549",414,"2,033",102
,"City of Gastonia, NC","73,049",510,6,22,150,332,"3,866",752,"2,873",241
,"City of Rock Hill, SC","68,617",372,4,49,78,241,"2,583",396,"2,066",121
,Total area actually reporting,98.9%,"9,347",121,531,"2,646","6,049","68,504","15,766","49,171","3,567"
,Estimated total,100.0%,"9,419",122,535,"2,665","6,097","69,430","15,963","49,867","3,600"
,"Rate per 100,000 inhabitants",,404.4,5.2,23.0,114.4,261.8,"2,981.0",685.4,"2,141.0",154.6
"Charlottesville, VA M.S.A.",,"224,663", ,,,,, ,,,
,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"44,187",211,1,20,63,127,"1,471",200,"1,218",53
,Total area actually reporting,100.0%,430,4,89,97,240,"4,287",675,"3,439",173
,"Rate per 100,000 inhabitants",,191.4,1.8,39.6,43.2,106.8,"1,908.2",300.5,"1,530.7",77.0
"Chattanooga, TN-GA M.S.A.",,"541,195", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","172,286","1,692",18,64,385,"1,225","11,468","2,317","8,165",986
,Total area actually reporting,100.0%,"2,759",22,124,491,"2,122","20,946","4,469","14,833","1,644"
,"Rate per 100,000 inhabitants",,509.8,4.1,22.9,90.7,392.1,"3,870.3",825.8,"2,740.8",303.8
"Cheyenne, WY M.S.A.",,"95,635", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"62,149",133,1,12,12,108,"2,065",279,"1,698",88
,Total area actually reporting,100.0%,198,1,20,13,164,"2,626",441,"2,069",116
,"Rate per 100,000 inhabitants",,207.0,1.0,20.9,13.6,171.5,"2,745.9",461.1,"2,163.4",121.3
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.4, 5",,"9,538,161",,,,,,,,,
,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",,,,,,,,,,
,"City of Chicago, IL4, 5","2,720,554",,414,,"11,815",,"95,908","17,775","65,497","12,636"
,"City of Naperville, IL","144,221",105,0,7,21,77,"1,869",225,"1,610",34
,"City of Elgin, IL","110,454",236,3,56,63,114,"1,902",351,"1,462",89
,"City of Gary, IN","78,819",883,54,47,327,455,"4,719","1,454","2,533",732
,"City of Arlington Heights, IL","75,978",42,0,7,7,28,800,125,659,16
,"City of Evanston, IL","75,709",189,1,10,63,115,"1,902",361,"1,474",67
,"City of Schaumburg, IL","74,940",71,0,15,30,26,"2,176",175,"1,928",73
,"City of Skokie, IL","65,155",157,0,9,58,90,"1,575",285,"1,221",69
,"City of Des Plaines, IL","58,975",56,2,7,12,35,791,153,595,43
,"City of Hoffman Estates, IL","52,422",55,0,16,21,18,548,102,426,20
,Total area actually reporting,98.1%,,604,,"15,897",,"219,689","39,565","161,090","19,034"
,Estimated total,100.0%,,608,,"15,998",,"223,102","40,196","163,715","19,191"
,"Rate per 100,000 inhabitants",,,6.4,,167.7,,"2,339.0",421.4,"1,716.4",201.2
"Chicago-Naperville-Arlington Heights, IL M.D.4, 5",,"7,331,456",,,,,,,,,
,"Includes Cook, DuPage, Grundy, Kendall, McHenry, and Will Counties",,,,,,,,,,
,Total area actually reporting,98.2%,,493,,"14,486",,"175,167","31,123","127,700","16,344"
,Estimated total,100.0%,,496,,"14,569",,"177,733","31,574","129,707","16,452"
,"Rate per 100,000 inhabitants",,,6.8,,198.7,,"2,424.3",430.7,"1,769.2",224.4
"Elgin, IL M.D.",,"628,978",,,,,,,,,
,Includes DeKalb and Kane Counties,,,,,,,,,,
,Total area actually reporting,97.5%,"1,075",9,147,207,712,"9,241","1,441","7,549",251
,Estimated total,100.0%,"1,108",9,150,217,732,"9,552","1,496","7,792",264
,"Rate per 100,000 inhabitants",,176.2,1.4,23.8,34.5,116.4,"1,518.7",237.8,"1,238.8",42.0
"Gary, IN M.D.",,"708,116",,,,,,,,,
,"Includes Jasper, Lake, Newton, and Porter Counties",,,,,,,,,,
,Total area actually reporting,95.5%,"2,349",81,141,795,"1,332","20,522","4,126","14,337","2,059"
,Estimated total,100.0%,"2,385",82,146,801,"1,356","20,995","4,240","14,663","2,092"
,"Rate per 100,000 inhabitants",,336.8,11.6,20.6,113.1,191.5,"2,964.9",598.8,"2,070.7",295.4
"Lake County-Kenosha County, IL-WI M.D.",,"869,611",,,,,,,,,
,"Includes Lake County, IL and Kenosha County, WI",,,,,,,,,,
,Total area actually reporting,99.6%,"1,354",21,187,409,737,"14,759","2,875","11,504",380
,Estimated total,100.0%,"1,361",21,188,411,741,"14,822","2,886","11,553",383
,"Rate per 100,000 inhabitants",,156.5,2.4,21.6,47.3,85.2,"1,704.4",331.9,"1,328.5",44.0
"Chico, CA M.S.A.",,"222,365", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"88,226",299,2,41,95,161,"2,572",622,"1,568",382
,Total area actually reporting,100.0%,634,13,79,148,394,"6,223","1,685","3,642",896
,"Rate per 100,000 inhabitants",,285.1,5.8,35.5,66.6,177.2,"2,798.6",757.8,"1,637.8",402.9
"Cincinnati, OH-KY-IN M.S.A.",,"2,136,525",,,,,,,,,
,"Includes Dearborn, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","296,491","2,826",70,199,"1,610",947,"17,231","5,467","10,488","1,276"
,Total area actually reporting,94.1%,"5,941",101,666,"2,667","2,507","64,608","15,444","46,181","2,983"
,Estimated total,100.0%,"6,094",103,691,"2,716","2,584","67,244","16,013","48,133","3,098"
,"Rate per 100,000 inhabitants",,285.2,4.8,32.3,127.1,120.9,"3,147.4",749.5,"2,252.9",145.0
"Clarksville, TN-KY M.S.A.",,"278,930", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery County, TN",,,,,,,,,,
,"City of Clarksville, TN","145,599",748,6,84,115,543,"4,141","1,020","2,965",156
,Total area actually reporting,99.7%,"1,028",14,133,163,718,"6,989","1,818","4,894",277
,Estimated total,100.0%,"1,030",14,133,164,719,"7,013","1,823","4,912",278
,"Rate per 100,000 inhabitants",,369.3,5.0,47.7,58.8,257.8,"2,514.3",653.6,"1,761.0",99.7
"Cleveland, TN M.S.A.",,"118,551", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"42,735",339,1,27,32,279,"2,440",414,"1,912",114
,Total area actually reporting,100.0%,519,1,37,37,444,"3,735",833,"2,669",233
,"Rate per 100,000 inhabitants",,437.8,0.8,31.2,31.2,374.5,"3,150.5",702.7,"2,251.4",196.5
"Coeur d'Alene, ID M.S.A.",,"144,225",,,,,,,,,
,Includes Kootenai County,, ,,,,,,,,
,City of Coeur d'Alene,"46,023",257,0,53,20,184,"1,735",359,"1,259",117
,Total area actually reporting,100.0%,459,3,80,31,345,"3,989",916,"2,845",228
,"Rate per 100,000 inhabitants",,318.3,2.1,55.5,21.5,239.2,"2,765.8",635.1,"1,972.6",158.1
"College Station-Bryan, TX M.S.A.",,"237,174",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"98,919",379,0,34,37,308,"2,230",432,"1,750",48
,City of Bryan,"78,578",358,2,31,75,250,"2,311",539,"1,683",89
,Total area actually reporting,100.0%,881,5,78,122,676,"5,900","1,317","4,383",200
,"Rate per 100,000 inhabitants",,371.5,2.1,32.9,51.4,285.0,"2,487.6",555.3,"1,848.0",84.3
"Colorado Springs, CO M.S.A.",,"678,821", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"436,108","1,893",26,370,418,"1,079","18,175","3,726","12,521","1,928"
,Total area actually reporting,99.4%,"2,496",42,496,463,"1,495","22,128","4,755","15,149","2,224"
,Estimated total,100.0%,"2,504",42,498,464,"1,500","22,227","4,768","15,228","2,231"
,"Rate per 100,000 inhabitants",,368.9,6.2,73.4,68.4,221.0,"3,274.4",702.4,"2,243.3",328.7
"Columbia, MO M.S.A.",,"170,724", ,,,,, ,,,
,Includes Boone County,,,,,,,,,,
,City of Columbia,"114,587",416,5,67,112,232,"4,359",703,"3,490",166
,Total area actually reporting,100.0%,568,5,78,128,357,"5,613",889,"4,497",227
,"Rate per 100,000 inhabitants",,332.7,2.9,45.7,75.0,209.1,"3,287.8",520.7,"2,634.1",133.0
"Columbia, SC M.S.A.",,"793,289", ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,"132,240",952,8,58,331,555,"7,989","1,398","5,800",791
,Total area actually reporting,99.6%,"4,572",37,324,836,"3,375","28,724","5,905","20,147","2,672"
,Estimated total,100.0%,"4,585",37,325,838,"3,385","28,851","5,927","20,246","2,678"
,"Rate per 100,000 inhabitants",,578.0,4.7,41.0,105.6,426.7,"3,636.9",747.1,"2,552.2",337.6
"Columbus, GA-AL M.S.A.",,"315,743", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","201,165","1,022",22,36,481,483,"12,475","3,355","8,012","1,108"
,Total area actually reporting,99.5%,"1,298",30,70,530,668,"15,502","4,233","9,866","1,403"
,Estimated total,100.0%,"1,304",30,70,532,672,"15,566","4,245","9,914","1,407"
,"Rate per 100,000 inhabitants",,413.0,9.5,22.2,168.5,212.8,"4,930.0","1,344.4","3,139.9",445.6
"Columbus, IN M.S.A.",,"80,102", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"45,874",82,1,17,19,45,"2,124",241,"1,754",129
,Total area actually reporting,100.0%,148,5,23,21,99,"2,674",350,"2,142",182
,"Rate per 100,000 inhabitants",,184.8,6.2,28.7,26.2,123.6,"3,338.2",436.9,"2,674.1",227.2
"Corpus Christi, TX M.S.A.",,"441,984", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"314,523","1,939",18,147,390,"1,384","14,601","2,595","11,519",487
,Total area actually reporting,100.0%,"2,314",24,198,432,"1,660","18,832","3,750","14,382",700
,"Rate per 100,000 inhabitants",,523.5,5.4,44.8,97.7,375.6,"4,260.8",848.4,"3,254.0",158.4
"Corvallis, OR M.S.A.",,"86,952", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"55,218",64,0,10,16,38,"1,587",195,"1,354",38
,Total area actually reporting,100.0%,104,0,13,25,66,"2,219",290,"1,849",80
,"Rate per 100,000 inhabitants",,119.6,0.0,15.0,28.8,75.9,"2,552.0",333.5,"2,126.5",92.0
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"252,641",,,,,,,,,
,Includes Okaloosa and Walton Counties,,,,,,,,,,
,City of Crestview,"22,818",180,0,39,44,97,802,149,612,41
,City of Fort Walton Beach,"20,568",56,2,3,14,37,661,93,535,33
,Total area actually reporting,100.0%,"1,044",7,120,125,792,"5,929","1,197","4,469",263
,"Rate per 100,000 inhabitants",,413.2,2.8,47.5,49.5,313.5,"2,346.8",473.8,"1,768.9",104.1
"Cumberland, MD-WV M.S.A.",,"101,663", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,495",160,1,20,44,95,"1,341",323,991,27
,Total area actually reporting,98.5%,292,4,34,66,188,"2,689",624,"1,996",69
,Estimated total,100.0%,296,4,34,67,191,"2,733",631,"2,031",71
,"Rate per 100,000 inhabitants",,291.2,3.9,33.4,65.9,187.9,"2,688.3",620.7,"1,997.8",69.8
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,814,175",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,255,015","8,330",143,543,"4,202","3,442","52,274","14,516","30,374","7,384"
,City of Fort Worth,"789,035","4,420",48,523,"1,256","2,593","34,272","8,316","23,557","2,399"
,City of Arlington,"378,765","1,837",18,105,562,"1,152","15,000","3,181","10,879",940
,City of Plano,"275,795",389,3,84,106,196,"5,930",944,"4,730",256
,City of Irving,"228,367",530,2,24,186,318,"6,175","1,137","4,444",594
,City of Denton,"123,260",338,1,93,52,192,"2,777",472,"2,203",102
,City of Richardson,"104,577",128,2,15,60,51,"2,758",539,"2,068",151
,Total area actually reporting,99.9%,"22,665",303,"2,167","8,225","11,970","206,698","47,750","141,018","17,930"
,Estimated total,100.0%,"22,682",303,"2,169","8,229","11,981","206,906","47,789","141,174","17,943"
,"Rate per 100,000 inhabitants",,332.9,4.4,31.8,120.8,175.8,"3,036.4",701.3,"2,071.8",263.3
"Dallas-Plano-Irving, TX M.D.",,"4,506,295",,,,,,,,,
,"Includes Collin, Dallas, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"14,315",213,"1,321","5,981","6,800","130,119","30,888","86,243","12,988"
,Estimated total,100.0%,"14,328",213,"1,323","5,984","6,808","130,279","30,918","86,363","12,998"
,"Rate per 100,000 inhabitants",,318.0,4.7,29.4,132.8,151.1,"2,891.0",686.1,"1,916.5",288.4
"Fort Worth-Arlington, TX M.D.",,"2,307,880",,,,,,,,,
,"Includes Hood, Johnson, Parker, Somervell, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"8,350",90,846,"2,244","5,170","76,579","16,862","54,775","4,942"
,Estimated total,100.0%,"8,354",90,846,"2,245","5,173","76,627","16,871","54,811","4,945"
,"Rate per 100,000 inhabitants",,362.0,3.9,36.7,97.3,224.1,"3,320.2",731.0,"2,375.0",214.3
"Dalton, GA M.S.A.",,"142,901", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,"33,475",66,0,7,12,47,"1,319",201,"1,063",55
,Total area actually reporting,98.3%,335,2,32,30,271,"3,890",860,"2,805",225
,Estimated total,100.0%,344,2,33,33,276,"3,989",878,"2,879",232
,"Rate per 100,000 inhabitants",,240.7,1.4,23.1,23.1,193.1,"2,791.4",614.4,"2,014.7",162.4
"Daphne-Fairhope-Foley, AL M.S.A.",,"193,322", ,,,,, ,,,
,Includes Baldwin County,,,,,,,,,,
,City of Daphne,"23,204",31,1,3,5,22,526,89,421,16
,City of Fairhope,"16,847",40,0,6,6,28,678,144,515,19
,City of Foley,"15,615",55,0,4,10,41,789,111,656,22
,Total area actually reporting,100.0%,427,1,48,67,311,"4,892",939,"3,749",204
,"Rate per 100,000 inhabitants",,220.9,0.5,24.8,34.7,160.9,"2,530.5",485.7,"1,939.3",105.5
"Davenport-Moline-Rock Island, IA-IL M.S.A.",,"383,796",,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA","101,834",654,2,88,167,397,"4,248",961,"3,048",239
,"City of Moline, IL","43,172",121,0,8,13,100,"1,389",235,"1,127",27
,"City of Rock Island, IL","38,893",200,5,2,32,161,"1,006",227,741,38
,Total area actually reporting,97.3%,"1,366",7,143,241,975,"9,411","1,949","7,087",375
,Estimated total,100.0%,"1,387",7,145,247,988,"9,607","1,984","7,240",383
,"Rate per 100,000 inhabitants",,361.4,1.8,37.8,64.4,257.4,"2,503.2",516.9,"1,886.4",99.8
"Dayton, OH M.S.A.",,"802,990", ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,"141,167","1,230",28,107,518,577,"7,655","2,613","4,427",615
,Total area actually reporting,98.0%,"2,160",44,326,876,914,"26,251","6,840","18,013","1,398"
,Estimated total,100.0%,"2,182",44,330,885,923,"26,662","6,921","18,329","1,412"
,"Rate per 100,000 inhabitants",,271.7,5.5,41.1,110.2,114.9,"3,320.3",861.9,"2,282.6",175.8
"Decatur, AL M.S.A.",,"154,311", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"56,091",149,5,12,26,106,"2,553",569,"1,831",153
,Total area actually reporting,99.3%,297,7,37,38,215,"3,944","1,040","2,665",239
,Estimated total,100.0%,301,7,37,39,218,"3,990","1,050","2,698",242
,"Rate per 100,000 inhabitants",,195.1,4.5,24.0,25.3,141.3,"2,585.7",680.4,"1,748.4",156.8
"Decatur, IL M.S.A.",,"109,877", ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,"75,190",351,5,9,84,253,"2,369",793,"1,512",64
,Total area actually reporting,100.0%,422,5,19,87,311,"2,806",892,"1,832",82
,"Rate per 100,000 inhabitants", ,384.1,4.6,17.3,79.2,283.0,"2,553.8",811.8,"1,667.3",74.6
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"599,128",,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,"62,381",799,4,57,195,543,"4,024",745,"2,912",367
,City of Ormond Beach,"38,442",132,0,10,17,105,"1,386",259,"1,055",72
,Total area actually reporting,99.7%,"2,345",26,179,455,"1,685","18,560","4,129","13,326","1,105"
,Estimated total,100.0%,"2,353",26,180,457,"1,690","18,623","4,142","13,372","1,109"
,"Rate per 100,000 inhabitants",,392.7,4.3,30.0,76.3,282.1,"3,108.4",691.3,"2,231.9",185.1
"Denver-Aurora-Lakewood, CO M.S.A.",,"2,693,369",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"648,981","4,087",40,514,"1,132","2,401","23,711","4,918","15,306","3,487"
,City of Aurora,"343,484","1,436",23,224,468,721,"10,786","1,981","7,805","1,000"
,City of Lakewood,"146,298",624,6,107,113,398,"6,892",872,"5,397",623
,City of Broomfield,"59,424",33,1,12,6,14,"1,204",106,"1,054",44
,Total area actually reporting,99.9%,"8,847",99,"1,427","2,125","5,196","73,953","12,468","53,444","8,041"
,Estimated total,100.0%,"8,848",99,"1,427","2,125","5,197","73,981","12,472","53,466","8,043"
,"Rate per 100,000 inhabitants",,328.5,3.7,53.0,78.9,193.0,"2,746.8",463.1,"1,985.1",298.6
"Des Moines-West Des Moines, IA M.S.A.",,"596,382", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"207,391","1,026",11,90,211,714,"10,015","2,311","6,854",850
,City of West Des Moines,"60,068",90,1,16,12,61,"1,658",205,"1,377",76
,Total area actually reporting,100.0%,"1,597",14,159,247,"1,177","16,488","3,536","11,762","1,190"
,"Rate per 100,000 inhabitants",,267.8,2.3,26.7,41.4,197.4,"2,764.7",592.9,"1,972.2",199.5
"Detroit-Warren-Dearborn, MI M.S.A.",,"4,296,628",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"699,889","14,504",316,618,"4,774","8,796","40,835","11,754","17,188","11,893"
,City of Warren,"134,167",679,3,127,166,383,"3,508",887,"2,037",584
,City of Dearborn,"96,012",347,2,33,126,186,"3,104",399,"2,328",377
,City of Livonia,"95,220",148,0,18,34,96,"1,961",285,"1,498",178
,City of Troy,"82,608",62,0,17,7,38,"1,550",222,"1,250",78
,City of Farmington Hills,"81,084",72,1,14,21,36,"1,114",245,773,96
,City of Southfield,"72,755",262,2,39,121,100,"2,120",443,"1,393",284
,City of Taylor,"61,836",347,3,49,76,219,"2,083",470,"1,404",209
,City of Novi,"57,469",48,2,7,11,28,966,96,833,37
,Total area actually reporting,99.8%,"24,447",411,"2,156","7,052","14,828","110,601","26,182","65,268","19,151"
,Estimated total,100.0%,"24,475",411,"2,161","7,058","14,845","110,816","26,226","65,422","19,168"
,"Rate per 100,000 inhabitants",,569.6,9.6,50.3,164.3,345.5,"2,579.1",610.4,"1,522.6",446.1
"Detroit-Dearborn-Livonia, MI M.D.",,"1,786,498",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,99.5%,"18,691",364,"1,117","5,867","11,343","68,184","17,357","35,330","15,497"
,Estimated total,100.0%,"18,719",364,"1,122","5,873","11,360","68,399","17,401","35,484","15,514"
,"Rate per 100,000 inhabitants",,"1,047.8",20.4,62.8,328.7,635.9,"3,828.7",974.0,"1,986.2",868.4
"Warren-Troy-Farmington Hills, MI M.D.",,"2,510,130",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"5,756",47,"1,039","1,185","3,485","42,417","8,825","29,938","3,654"
,"Rate per 100,000 inhabitants",,229.3,1.9,41.4,47.2,138.8,"1,689.8",351.6,"1,192.7",145.6
"Dothan, AL M.S.A.",,"148,166", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"66,588",329,4,16,77,232,"2,457",580,"1,770",107
,Total area actually reporting,98.2%,575,9,61,101,404,"4,145","1,103","2,818",224
,Estimated total,100.0%,587,9,62,104,412,"4,254","1,127","2,896",231
,"Rate per 100,000 inhabitants",,396.2,6.1,41.8,70.2,278.1,"2,871.1",760.6,"1,954.6",155.9
"Dover, DE M.S.A.",,"169,725", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"37,402",266,1,16,58,191,"2,093",88,"1,919",86
,Total area actually reporting,100.0%,774,4,92,146,532,"5,057",769,"4,104",184
,"Rate per 100,000 inhabitants",,456.0,2.4,54.2,86.0,313.4,"2,979.5",453.1,"2,418.0",108.4
"Dubuque, IA M.S.A.",,"95,753", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"58,313",132,0,14,36,82,"1,641",409,"1,172",60
,Total area actually reporting,100.0%,153,0,16,37,100,"1,894",481,"1,332",81
,"Rate per 100,000 inhabitants",,159.8,0.0,16.7,38.6,104.4,"1,978.0",502.3,"1,391.1",84.6
"Duluth, MN-WI M.S.A.",,"280,163", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN","86,211",342,2,52,72,216,"4,283",643,"3,484",156
,Total area actually reporting,100.0%,654,4,121,115,414,"9,537","1,742","7,365",430
,"Rate per 100,000 inhabitants",,233.4,1.4,43.2,41.0,147.8,"3,404.1",621.8,"2,628.8",153.5
"East Stroudsburg, PA M.S.A.",,"168,309", ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,100.0%,618,8,49,57,504,"4,126","1,138","2,886",102
,"Rate per 100,000 inhabitants",,367.2,4.8,29.1,33.9,299.4,"2,451.4",676.1,"1,714.7",60.6
"Eau Claire, WI M.S.A.",,"164,463", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,"67,309",123,1,22,14,86,"1,570",235,"1,287",48
,Total area actually reporting,100.0%,205,2,34,23,146,"2,775",475,"2,212",88
,"Rate per 100,000 inhabitants",,124.6,1.2,20.7,14.0,88.8,"1,687.3",288.8,"1,345.0",53.5
"El Centro, CA M.S.A.",,"177,955", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"43,249",144,1,7,54,82,"2,039",416,"1,499",124
,Total area actually reporting,95.5%,517,2,29,102,384,"5,698","1,387","3,759",552
,Estimated total,100.0%,542,2,30,110,400,"5,903","1,435","3,886",582
,"Rate per 100,000 inhabitants",,304.6,1.1,16.9,61.8,224.8,"3,317.1",806.4,"2,183.7",327.0
"Elizabethtown-Fort Knox, KY M.S.A.",,"150,699", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"29,470",35,0,9,10,16,"1,088",182,881,25
,Total area actually reporting,100.0%,118,2,35,23,58,"2,235",519,"1,640",76
,"Rate per 100,000 inhabitants",,78.3,1.3,23.2,15.3,38.5,"1,483.1",344.4,"1,088.3",50.4
"Elmira, NY M.S.A.",,"89,040", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"28,921",81,0,2,29,50,"1,027",224,790,13
,Total area actually reporting,100.0%,151,0,7,37,107,"2,048",351,"1,670",27
,"Rate per 100,000 inhabitants",,169.6,0.0,7.9,41.6,120.2,"2,300.1",394.2,"1,875.6",30.3
"El Paso, TX M.S.A.",,"842,271", ,,,,, ,,,
,Includes El Paso and Hudspeth Counties,,,,,,,,,,
