Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2010",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,Total area actually reporting,98.9%,498,2,57,130,309,"6,569","1,486","4,745",338
,Estimated total,100.0%,503,2,58,130,313,"6,621","1,496","4,785",340
,"Rate per 100,000 inhabitants",,192.9,0.8,22.2,49.9,120.0,"2,539.4",573.8,"1,835.2",130.4
"Charleston-North Charleston-Summerville, SC M.S.A.",,"671,885",,,,,,,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",, ,,,,,,,,
,City of Charleston,"117,551",429,10,18,151,250,"3,980",601,"3,150",229
,City of North Charleston,"99,447",851,12,51,293,495,"5,960",966,"4,469",525
,City of Summerville,"47,479",157,1,8,45,103,"1,611",240,"1,291",80
,Total area actually reporting,99.5%,"3,434",40,173,823,"2,398","23,907","5,031","17,029","1,847"
,Estimated total,100.0%,"3,452",40,174,826,"2,412","24,046","5,057","17,135","1,854"
,"Rate per 100,000 inhabitants",,513.8,6.0,25.9,122.9,359.0,"3,578.9",752.7,"2,550.3",275.9
"Charlottesville, VA M.S.A.",,"199,881", ,,,,, ,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"42,590",195,3,29,51,112,"1,693",163,"1,443",87
,Total area actually reporting,100.0%,407,6,62,80,259,"4,548",666,"3,664",218
,"Rate per 100,000 inhabitants",,203.6,3.0,31.0,40.0,129.6,"2,275.4",333.2,"1,833.1",109.1
"Chattanooga, TN-GA M.S.A.",,"523,569", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","172,460","1,557",18,78,512,949,"10,866","2,691","7,350",825
,Total area actually reporting,100.0%,"2,736",24,137,626,"1,949","19,851","4,915","13,509","1,427"
,"Rate per 100,000 inhabitants",,522.6,4.6,26.2,119.6,372.3,"3,791.5",938.7,"2,580.2",272.6
"Cheyenne, WY M.S.A.",,"91,857", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"59,361",131,0,27,21,83,"2,269",236,"1,948",85
,Total area actually reporting,100.0%,183,0,41,23,119,"2,789",337,"2,333",119
,"Rate per 100,000 inhabitants",,199.2,0.0,44.6,25.0,129.5,"3,036.2",366.9,"2,539.8",129.5
"Chico, CA M.S.A.",,"222,130", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"85,630",245,1,47,88,109,"2,347",710,"1,416",221
,Total area actually reporting,100.0%,762,7,92,157,506,"5,940","1,849","3,515",576
,"Rate per 100,000 inhabitants",,343.0,3.2,41.4,70.7,227.8,"2,674.1",832.4,"1,582.4",259.3
"Cincinnati-Middletown, OH-KY-IN M.S.A.",,"2,185,076",,,,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","332,365","3,608",68,233,"2,116","1,191","20,513","6,490","12,408","1,615"
,"City of Middletown, OH","51,464",344,2,23,98,221,"3,999","1,142","2,712",145
,Total area actually reporting,96.8%,"6,777",90,694,"3,430","2,563","71,646","17,422","50,868","3,356"
,Estimated total,100.0%,"6,863",91,707,"3,452","2,613","72,997","17,737","51,839","3,421"
,"Rate per 100,000 inhabitants",,314.1,4.2,32.4,158.0,119.6,"3,340.7",811.7,"2,372.4",156.6
"Clarksville, TN-KY M.S.A.",,"271,954", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN","126,548",802,9,55,121,617,"4,102","1,373","2,525",204
,Total area actually reporting,99.3%,"1,103",16,102,184,801,"7,240","2,291","4,582",367
,Estimated total,100.0%,"1,108",16,103,186,803,"7,309","2,306","4,633",370
,"Rate per 100,000 inhabitants",,407.4,5.9,37.9,68.4,295.3,"2,687.6",847.9,"1,703.6",136.1
"Cleveland, TN M.S.A.",,"114,041", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"40,452",351,0,19,29,303,"1,983",439,"1,470",74
,Total area actually reporting,100.0%,631,0,25,40,566,"3,179",791,"2,222",166
,"Rate per 100,000 inhabitants",,553.3,0.0,21.9,35.1,496.3,"2,787.6",693.6,"1,948.4",145.6
"Cleveland-Elyria-Mentor, OH M.S.A.",,"2,081,340",,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",,,,,,,,,,
,City of Cleveland,"426,042","5,525",81,341,"3,181","1,922","23,436","9,854","10,079","3,503"
,City of Elyria,"54,701",221,1,28,100,92,"2,139",590,"1,446",103
,City of Mentor,"51,924",40,0,5,21,14,"1,200",125,"1,010",65
,Total area actually reporting,88.7%,"8,283",100,614,"4,137","3,432","52,733","17,324","30,508","4,901"
,Estimated total,100.0%,"8,653",102,668,"4,276","3,607","59,018","18,648","35,246","5,124"
,"Rate per 100,000 inhabitants",,415.7,4.9,32.1,205.4,173.3,"2,835.6",896.0,"1,693.4",246.2
"Coeur d'Alene, ID M.S.A.",,"142,212", ,,,,, ,,,
,Includes Kootenai County,,,,,,,,,,
,City of Coeur d'Alene,"44,626",254,0,21,17,216,"1,579",284,"1,244",51
,Total area actually reporting,100.0%,408,4,47,25,332,"3,529",789,"2,609",131
,"Rate per 100,000 inhabitants",,286.9,2.8,33.0,17.6,233.5,"2,481.5",554.8,"1,834.6",92.1
"College Station-Bryan, TX M.S.A.",,"214,518",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"88,416",220,3,37,44,136,"2,655",475,"2,091",89
,City of Bryan,"75,350",410,4,34,90,282,"3,647",890,"2,632",125
,Total area actually reporting,100.0%,767,8,93,141,525,"7,830","1,725","5,826",279
,"Rate per 100,000 inhabitants",,357.5,3.7,43.4,65.7,244.7,"3,650.0",804.1,"2,715.9",130.1
"Colorado Springs, CO M.S.A.",,"626,259", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"397,886","1,957",20,319,526,"1,092","16,794","3,452","12,054","1,288"
,Total area actually reporting,99.5%,"2,889",23,405,569,"1,892","20,167","4,300","14,269","1,598"
,Estimated total,100.0%,"2,896",23,406,570,"1,897","20,260","4,314","14,341","1,605"
,"Rate per 100,000 inhabitants",,462.4,3.7,64.8,91.0,302.9,"3,235.1",688.9,"2,289.9",256.3
"Columbia, MO M.S.A.",,"167,279", ,,,,, ,,,
,Includes Boone and Howard Counties,,,,,,,,,,
,City of Columbia,"103,417",530,3,37,131,359,"3,816",552,"3,129",135
,Total area actually reporting,100.0%,683,4,47,138,494,"4,995",761,"4,053",181
,"Rate per 100,000 inhabitants",,408.3,2.4,28.1,82.5,295.3,"2,986.0",454.9,"2,422.9",108.2
"Columbia, SC M.S.A.",,"755,777", ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,"130,498","1,306",16,74,345,871,"7,898","1,699","5,528",671
,Total area actually reporting,99.9%,"5,416",40,274,918,"4,184","29,559","7,303","19,711","2,545"
,Estimated total,100.0%,"5,418",40,274,918,"4,186","29,576","7,306","19,724","2,546"
,"Rate per 100,000 inhabitants",,716.9,5.3,36.3,121.5,553.9,"3,913.3",966.7,"2,609.8",336.9
"Columbus, GA-AL M.S.A.",,"286,528", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","184,576","1,005",15,38,477,475,"13,442","3,454","8,981","1,007"
,Total area actually reporting,92.9%,"1,307",19,58,540,690,"16,076","4,211","10,684","1,181"
,Estimated total,100.0%,"1,369",20,62,561,726,"16,689","4,393","11,054","1,242"
,"Rate per 100,000 inhabitants",,477.8,7.0,21.6,195.8,253.4,"5,824.6","1,533.2","3,857.9",433.5
"Columbus, IN M.S.A.",,"76,785", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"40,554",78,0,17,21,40,"2,269",282,"1,834",153
,Total area actually reporting,99.5%,108,0,27,22,59,"2,782",421,"2,171",190
,Estimated total,100.0%,109,0,27,22,60,"2,795",423,"2,181",191
,"Rate per 100,000 inhabitants",,142.0,0.0,35.2,28.7,78.1,"3,640.0",550.9,"2,840.4",248.7
"Columbus, OH M.S.A.2",,"1,817,671", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Licking,2 Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus ,"772,974","5,451",94,566,"3,359","1,432","50,168","15,234","30,784","4,150"
,Total area actually reporting,98.4%,"6,661",106,779,"3,865","1,911","76,622","21,060","50,602","4,960"
,Estimated total,100.0%,"6,708",106,786,"3,883","1,933","77,427","21,226","51,213","4,988"
,"Rate per 100,000 inhabitants",,369.0,5.8,43.2,213.6,106.3,"4,259.7","1,167.8","2,817.5",274.4
"Corpus Christi, TX M.S.A.",,"416,086", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"287,315","2,067",16,191,389,"1,471","15,086","2,623","12,015",448
,Total area actually reporting,100.0%,"2,521",21,222,457,"1,821","19,361","3,778","14,998",585
,"Rate per 100,000 inhabitants",,605.9,5.0,53.4,109.8,437.6,"4,653.1",908.0,"3,604.5",140.6
"Corvallis, OR M.S.A.2",,"82,256", ,,,,, ,,,
,Includes Benton County2,,, ,,,,,,,
,City of Corvallis2,"51,276",57,0,9,12,36,"1,377",209,"1,132",36
,Total area actually reporting,100.0%,96,0,17,16,63,"1,804",312,"1,433",59
,"Rate per 100,000 inhabitants",,116.7,0.0,20.7,19.5,76.6,"2,193.2",379.3,"1,742.1",71.7
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"179,091",,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,
,City of Crestview,"20,424",87,1,8,16,62,644,155,460,29
,City of Fort Walton Beach,"18,432",98,1,11,17,69,929,186,681,62
,Total area actually reporting,100.0%,663,3,53,114,493,"5,244","1,168","3,832",244
,"Rate per 100,000 inhabitants",,370.2,1.7,29.6,63.7,275.3,"2,928.1",652.2,"2,139.7",136.2
"Cumberland, MD-WV M.S.A.",,"100,405", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,449",196,1,17,40,138,"1,442",370,"1,049",23
,Total area actually reporting,98.4%,389,5,33,54,297,"3,028",764,"2,202",62
,Estimated total,100.0%,394,5,33,55,301,"3,084",774,"2,246",64
,"Rate per 100,000 inhabitants",,392.4,5.0,32.9,54.8,299.8,"3,071.6",770.9,"2,236.9",63.7
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,574,246",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,306,775","9,161",148,505,"4,487","4,021","64,125","19,594","36,147","8,384"
,City of Fort Worth,"746,433","4,293",63,318,"1,330","2,582","35,090","9,352","23,274","2,464"
,City of Arlington,"383,715","1,925",16,119,532,"1,258","19,350","4,763","13,342","1,245"
,City of Plano,"278,244",503,4,53,152,294,"6,716","1,237","5,093",386
,City of Irving,"206,308",529,6,36,170,317,"7,744","1,632","5,488",624
,City of Carrollton,"130,862",184,4,4,63,113,"3,510",897,"2,256",357
,City of Denton,"127,251",326,3,67,65,191,"3,256",564,"2,535",157
,City of McKinney,"138,306",222,1,31,40,150,"3,103",643,"2,322",138
,City of Richardson,"104,051",193,0,13,90,90,"2,999",608,"2,192",199
,Total area actually reporting,99.4%,"24,391",311,"1,841","8,590","13,649","235,912","60,656","154,828","20,428"
,Estimated total,100.0%,"24,493",312,"1,851","8,614","13,716","237,152","60,910","155,740","20,502"
,"Rate per 100,000 inhabitants",,372.6,4.7,28.2,131.0,208.6,"3,607.3",926.5,"2,368.9",311.9
"Dallas-Plano-Irving, TX M.D.",,"4,415,040",,,,,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.2%,"15,660",207,"1,150","6,241","8,062","151,599","39,801","96,765","15,033"
,Estimated total,100.0%,"15,762",208,"1,160","6,265","8,129","152,839","40,055","97,677","15,107"
,"Rate per 100,000 inhabitants",,357.0,4.7,26.3,141.9,184.1,"3,461.8",907.2,"2,212.4",342.2
"Fort Worth-Arlington, TX M.D.",,"2,159,206",,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"8,731",104,691,"2,349","5,587","84,313","20,855","58,063","5,395"
,"Rate per 100,000 inhabitants",,404.4,4.8,32.0,108.8,258.8,"3,904.8",965.9,"2,689.1",249.9
"Dalton, GA M.S.A.",,"131,302", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,"33,064",76,0,4,27,45,"1,182",285,838,59
,Total area actually reporting,98.4%,320,5,32,40,243,"3,918",954,"2,718",246
,Estimated total,100.0%,329,5,32,43,249,"4,008",972,"2,784",252
,"Rate per 100,000 inhabitants",,250.6,3.8,24.4,32.7,189.6,"3,052.5",740.3,"2,120.3",191.9
"Danville, IL M.S.A.2",,"78,867", ,,,,, ,,,
,Includes Vermilion County2,,,,,,,,,,
,City of Danville2,"31,942",348,1,35,86,226,"2,178",826,"1,295",57
,Total area actually reporting,98.6%,475,1,63,98,313,"3,076","1,124","1,866",86
,Estimated total,100.0%,478,1,63,99,315,"3,100","1,128","1,885",87
,"Rate per 100,000 inhabitants",,606.1,1.3,79.9,125.5,399.4,"3,930.7","1,430.3","2,390.1",110.3
"Danville, VA M.S.A.",,"105,798", ,,,,, ,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,
,City of Danville,"44,192",168,8,20,60,80,"2,182",540,"1,577",65
,Total area actually reporting,100.0%,219,12,27,68,112,"2,965",800,"2,028",137
,"Rate per 100,000 inhabitants",,207.0,11.3,25.5,64.3,105.9,"2,802.5",756.2,"1,916.9",129.5
"Davenport-Moline-Rock Island, IA-IL M.S.A.2",,"378,802",,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL2 and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA","102,628",865,2,59,209,595,"4,894","1,148","3,521",225
,"City of Moline, IL2","42,510",216,1,26,22,167,"1,487",302,"1,140",45
,"City of Rock Island, IL2","37,534",307,3,21,51,232,"1,306",356,872,78
,Total area actually reporting,96.8%,"1,722",7,169,307,"1,239","10,831","2,484","7,889",458
,Estimated total,100.0%,"1,747",7,172,312,"1,256","11,082","2,530","8,083",469
,"Rate per 100,000 inhabitants",,461.2,1.8,45.4,82.4,331.6,"2,925.5",667.9,"2,133.8",123.8
"Dayton, OH M.S.A.",,"831,823", ,,,,, ,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,
,City of Dayton,"152,319","1,509",34,92,782,601,"8,891","3,380","4,840",671
,Total area actually reporting,96.2%,"2,564",41,256,"1,169","1,098","27,070","7,614","17,983","1,473"
,Estimated total,100.0%,"2,616",41,264,"1,189","1,122","27,954","7,796","18,654","1,504"
,"Rate per 100,000 inhabitants",,314.5,4.9,31.7,142.9,134.9,"3,360.6",937.2,"2,242.5",180.8
"Decatur, AL M.S.A.",,"153,306", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"57,153",212,4,17,74,117,"2,751",682,"1,920",149
,Total area actually reporting,100.0%,292,4,27,86,175,"4,033","1,047","2,786",200
,"Rate per 100,000 inhabitants",,190.5,2.6,17.6,56.1,114.2,"2,630.7",682.9,"1,817.3",130.5
"Decatur, IL M.S.A.2",,"106,467", ,,,,, ,,,
,Includes Macon County2,,,,,,,,,,
,City of Decatur2,"74,857",468,4,20,136,308,"3,121","1,514","1,481",126
,Total area actually reporting,100.0%,549,4,30,137,378,"3,654","1,686","1,828",140
,"Rate per 100,000 inhabitants",,515.7,3.8,28.2,128.7,355.0,"3,432.0","1,583.6","1,717.0",131.5
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"500,849",,,,,,,,,
,Includes Volusia County,,,,,,,,,,
,City of Daytona Beach,"63,736",811,3,31,229,548,"4,635","1,083","3,089",463
,City of Ormond Beach,"37,923",251,0,13,14,224,"1,385",277,"1,050",58
,Total area actually reporting,100.0%,"2,723",17,145,492,"2,069","18,392","4,813","12,265","1,314"
,"Rate per 100,000 inhabitants",,543.7,3.4,29.0,98.2,413.1,"3,672.2",961.0,"2,448.8",262.4
"Denver-Aurora-Broomfield, CO M.S.A.2",,"2,555,601",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson,2 and Park Counties",,,,,,,,,,
,City of Denver,"607,051","3,291",22,367,926,"1,976","20,671","4,501","12,944","3,226"
,City of Aurora,"323,483","1,443",23,183,505,732,"10,051","2,290","6,873",888
,City of Broomfield,"57,126",41,3,10,12,16,"1,161",118,995,48
,Total area actually reporting,99.1%,"8,562",65,"1,240","2,036","5,221","70,472","13,427","49,628","7,417"
,Estimated total,100.0%,"8,616",65,"1,250","2,041","5,260","70,827","13,508","49,872","7,447"
,"Rate per 100,000 inhabitants",,337.1,2.5,48.9,79.9,205.8,"2,771.4",528.6,"1,951.5",291.4
"Des Moines-West Des Moines, IA M.S.A.",,"577,321", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"202,564","1,072",6,105,224,737,"9,795","2,248","6,808",739
,City of West Des Moines,"58,600",109,0,22,11,76,"1,736",173,"1,516",47
,Total area actually reporting,98.1%,"1,654",9,195,272,"1,178","16,345","3,533","11,769","1,043"
,Estimated total,100.0%,"1,668",9,197,272,"1,190","16,446","3,568","11,826","1,052"
,"Rate per 100,000 inhabitants",,288.9,1.6,34.1,47.1,206.1,"2,848.7",618.0,"2,048.4",182.2
"Detroit-Warren-Livonia, MI M.S.A.",,"4,359,587",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"899,447","16,976",310,405,"5,538","10,723","47,787","17,090","18,095","12,602"
,City of Warren,"132,266",770,5,69,171,525,"3,703",953,"2,035",715
,City of Livonia,"87,434",152,2,14,36,100,"2,039",315,"1,503",221
,City of Dearborn,"82,612",373,3,30,128,212,"3,718",488,"2,759",471
,City of Troy,"79,794",59,1,9,9,40,"1,728",292,"1,327",109
,City of Farmington Hills,"77,646",118,1,16,13,88,"1,381",292,959,130
,City of Southfield,"74,587",396,5,27,111,253,"2,760",660,"1,690",410
,City of Pontiac,"65,517","1,113",9,67,239,798,"2,055","1,074",765,216
,City of Taylor,"58,158",348,2,29,78,239,"2,500",629,"1,640",231
,City of Novi,"54,857",36,1,4,3,28,"1,000",96,856,48
,Total area actually reporting,99.9%,"27,683",395,"1,513","7,875","17,900","128,453","35,104","72,627","20,722"
,Estimated total,100.0%,"27,702",395,"1,515","7,879","17,913","128,619","35,140","72,744","20,735"
,"Rate per 100,000 inhabitants",,635.4,9.1,34.8,180.7,410.9,"2,950.3",806.0,"1,668.6",475.6
"Detroit-Livonia-Dearborn, MI M.D.",,"1,895,974",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,100.0%,"21,069",345,794,"6,600","13,330","78,729","24,023","38,216","16,490"
,"Rate per 100,000 inhabitants",,"1,111.2",18.2,41.9,348.1,703.1,"4,152.4","1,267.1","2,015.6",869.7
"Warren-Troy-Farmington Hills, MI M.D.",,"2,463,613",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,99.7%,"6,614",50,719,"1,275","4,570","49,724","11,081","34,411","4,232"
,Estimated total,100.0%,"6,633",50,721,"1,279","4,583","49,890","11,117","34,528","4,245"
,"Rate per 100,000 inhabitants",,269.2,2.0,29.3,51.9,186.0,"2,025.1",451.2,"1,401.5",172.3
"Dothan, AL M.S.A.",,"145,215", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"68,041",405,1,29,116,259,"3,086",995,"2,001",90
,Total area actually reporting,92.7%,610,5,59,131,415,"4,490","1,387","2,935",168
,Estimated total,100.0%,645,5,62,140,438,"4,886","1,459","3,237",190
,"Rate per 100,000 inhabitants",,444.2,3.4,42.7,96.4,301.6,"3,364.7","1,004.7","2,229.1",130.8
"Dover, DE M.S.A.",,"161,556", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"37,113",239,1,10,52,176,"2,122",151,"1,858",113
,Total area actually reporting,100.0%,902,6,71,183,642,"5,509","1,126","4,103",280
,"Rate per 100,000 inhabitants",,558.3,3.7,43.9,113.3,397.4,"3,410.0",697.0,"2,539.7",173.3
"Dubuque, IA M.S.A.",,"94,362", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"57,744",333,0,18,36,279,"1,771",463,"1,257",51
,Total area actually reporting,100.0%,399,0,23,36,340,"2,024",555,"1,397",72
,"Rate per 100,000 inhabitants",,422.8,0.0,24.4,38.2,360.3,"2,144.9",588.2,"1,480.5",76.3
"Duluth, MN-WI M.S.A.1,3",,"276,508", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN3 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN1,3","84,249",,1,,90,165,,605,"3,301",
,Total area actually reporting,100.0%,,4,,124,345,,"1,670","7,300",
,"Rate per 100,000 inhabitants",,,1.4,,44.8,124.8,,604.0,"2,640.1",
"Durham-Chapel Hill, NC M.S.A.",,"509,834", ,,,,, ,,,
,"Includes Chatham, Durham, Orange, and Person Counties",,,,,,,,,,
,City of Durham,"233,790","1,614",23,60,659,872,"11,357","3,652","6,987",718
,City of Chapel Hill,"54,164",88,0,11,32,45,"1,666",508,"1,108",50
,Total area actually reporting,100.0%,"2,177",36,121,776,"1,244","19,330","6,285","12,011","1,034"
,"Rate per 100,000 inhabitants",,427.0,7.1,23.7,152.2,244.0,"3,791.4","1,232.8","2,355.9",202.8
"Eau Claire, WI M.S.A.",,"161,272", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,, ,,,,,,,,
,City of Eau Claire,"66,737",139,2,21,23,93,"1,906",406,"1,446",54
,Total area actually reporting,100.0%,245,7,44,28,166,"3,293",738,"2,443",112
,"Rate per 100,000 inhabitants",,151.9,4.3,27.3,17.4,102.9,"2,041.9",457.6,"1,514.8",69.4
"El Centro, CA M.S.A.",,"169,405", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"41,535",197,1,7,45,144,"2,408",672,"1,546",190
,Total area actually reporting,100.0%,618,3,26,105,484,"5,772","1,887","3,119",766
,"Rate per 100,000 inhabitants",,364.8,1.8,15.3,62.0,285.7,"3,407.2","1,113.9","1,841.1",452.2
"Elizabethtown, KY M.S.A.",,"113,924", ,,,,, ,,,
,Includes Hardin and Larue Counties,,,,,,,,,,
,City of Elizabethtown,"24,712",48,0,13,22,13,956,139,784,33
,Total area actually reporting,100.0%,227,0,24,38,165,"1,893",394,"1,427",72
,"Rate per 100,000 inhabitants",,199.3,0.0,21.1,33.4,144.8,"1,661.6",345.8,"1,252.6",63.2
"Elkhart-Goshen, IN M.S.A.",,"203,013",,,,,,,,,
,Includes Elkhart County,, ,,,,,,,,
,City of Elkhart,"53,296",156,1,35,116,4,"2,330",709,"1,507",114
,City of Goshen,"32,812",33,0,11,15,7,"1,040",242,764,34
,Total area actually reporting,100.0%,234,2,55,157,20,"5,198","1,504","3,410",284
,"Rate per 100,000 inhabitants",,115.3,1.0,27.1,77.3,9.9,"2,560.4",740.8,"1,679.7",139.9
"Elmira, NY M.S.A.",,"87,073", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"28,823",108,4,5,29,70,"1,057",259,773,25
,Total area actually reporting,100.0%,203,4,11,39,149,"1,877",399,"1,431",47
,"Rate per 100,000 inhabitants",,233.1,4.6,12.6,44.8,171.1,"2,155.7",458.2,"1,643.4",54.0
"El Paso, TX M.S.A.",,"756,304", ,,,,, ,,,
,Includes El Paso County,,,,,,,,,,
,City of El Paso,"624,322","2,861",5,179,479,"2,198","17,404","1,953","13,899","1,552"
,Total area actually reporting,100.0%,"3,419",7,222,530,"2,660","20,779","2,701","16,277","1,801"
,"Rate per 100,000 inhabitants",,452.1,0.9,29.4,70.1,351.7,"2,747.4",357.1,"2,152.2",238.1
"Erie, PA M.S.A.",,"281,637", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"104,077",491,12,78,173,228,"3,490","1,106","2,245",139
,Total area actually reporting,100.0%,762,13,133,218,398,"6,999","1,798","4,975",226
,"Rate per 100,000 inhabitants",,270.6,4.6,47.2,77.4,141.3,"2,485.1",638.4,"1,766.5",80.2
"Evansville, IN-KY M.S.A.4",,"353,847", ,,,,, ,,,
,"Includes Gibson, Posey, Vanderburgh4, and Warrick Counties, IN and Henderson and Webster Counties, KY",,,,,,,,,,
,"City of Evansville, IN","116,541",493,5,63,143,282,"5,544","1,086","4,248",210
,Total area actually reporting,94.2%,,8,90,168,,"9,395","1,761","7,270",364
,Estimated total,100.0%,,8,93,172,,"9,713","1,843","7,487",383
,"Rate per 100,000 inhabitants",,,2.3,26.3,48.6,,"2,745.0",520.8,"2,115.9",108.2
"Fairbanks, AK M.S.A.2",,"38,307", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks2,"35,989",284,0,70,33,181,"1,367",149,"1,117",101
,Total area actually reporting,100.0%,300,0,74,34,192,"1,553",169,"1,276",108
,"Rate per 100,000 inhabitants",,783.1,0.0,193.2,88.8,501.2,"4,054.1",441.2,"3,331.0",281.9
"Fargo, ND-MN M.S.A.3",,"208,388", ,,,,, ,,,
,"Includes Clay County, MN3and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","99,694",302,0,44,35,223,"2,764",392,"2,205",167
,Total area actually reporting,100.0%,,2,,46,307,"4,637",746,"3,650",241
,"Rate per 100,000 inhabitants",,,1.0,,22.1,147.3,"2,225.2",358.0,"1,751.5",115.6
"Farmington, NM M.S.A.",,"126,955", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"44,563",477,3,63,25,386,"1,678",319,"1,270",89
,Total area actually reporting,100.0%,820,4,95,35,686,"2,784",642,"1,972",170
,"Rate per 100,000 inhabitants",,645.9,3.2,74.8,27.6,540.3,"2,192.9",505.7,"1,553.3",133.9
"Fayetteville, NC M.S.A.",,"363,142", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"208,263","1,101",17,57,461,566,"12,566","3,928","7,916",722
,Total area actually reporting,100.0%,"1,739",23,77,613,"1,026","18,961","6,353","11,558","1,050"
,"Rate per 100,000 inhabitants",,478.9,6.3,21.2,168.8,282.5,"5,221.4","1,749.5","3,182.8",289.1
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",,"478,404",,,,,,,,,
,"Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO",,,,,,,,,,
