Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2009",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,"City of Cape Girardeau, MO","37,588",178,2,17,51,108,"2,141",363,"1,740",38
,"City of Jackson, MO","13,956",22,0,3,1,18,405,68,323,14
,Total area actually reporting,91.5%,352,2,28,54,268,"2,882",560,"2,259",63
,Estimated total,100.0%,363,2,28,56,277,"3,016",591,"2,356",69
,"Rate per 100,000 inhabitants",,387.4,2.1,29.9,59.8,295.6,"3,218.3",630.6,"2,514.1",73.6
"Carson City, NV M.S.A.",,"54,462", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,180,0,1,26,153,"1,151",268,797,86
,"Rate per 100,000 inhabitants",,330.5,0.0,1.8,47.7,280.9,"2,113.4",492.1,"1,463.4",157.9
"Casper, WY M.S.A.",,"74,856", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"54,550",107,0,20,12,75,"2,504",411,"1,970",123
,Total area actually reporting,100.0%,163,0,26,16,121,"2,954",562,"2,232",160
,"Rate per 100,000 inhabitants",,217.8,0.0,34.7,21.4,161.6,"3,946.2",750.8,"2,981.7",213.7
"Cedar Rapids, IA M.S.A.",,"257,120", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"128,779",403,1,43,107,252,"5,588","1,279","4,068",241
,Total area actually reporting,96.3%,513,1,64,119,329,"7,034","1,660","5,052",322
,Estimated total,100.0%,531,1,66,121,343,"7,226","1,696","5,202",328
,"Rate per 100,000 inhabitants",,206.5,0.4,25.7,47.1,133.4,"2,810.4",659.6,"2,023.2",127.6
"Charleston, WV M.S.A.",,"303,984", ,,,,, ,,,
,"Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties",,,,,,,,,,
,City of Charleston,"49,976",535,5,18,128,384,"2,625",636,"1,813",176
,Total area actually reporting,85.1%,"1,217",24,61,226,906,"8,501","2,372","5,508",621
,Estimated total,100.0%,"1,330",26,68,243,993,"9,660","2,675","6,295",690
,"Rate per 100,000 inhabitants",,437.5,8.6,22.4,79.9,326.7,"3,177.8",880.0,"2,070.8",227.0
"Charleston-North Charleston-Summerville, SC M.S.A.3",,"659,704",,,,,,,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",, ,,,,,,,,
,City of Charleston,"113,681",595,9,31,218,337,"3,991",566,"3,152",273
,City of North Charleston,"95,982",993,10,55,376,552,"6,140","1,024","4,510",606
,City of Summerville3,"47,507",138,6,10,47,75,,,"1,336",82
,Total area actually reporting,99.9%,"4,064",36,218,"1,058","2,752",,,"17,092","2,067"
,Estimated total,100.0%,"4,066",36,218,"1,058","2,754",,,"17,103","2,068"
,"Rate per 100,000 inhabitants",,616.3,5.5,33.0,160.4,417.5,,,"2,592.5",313.5
"Charlotte-Gastonia-Rock Hill, NC-SC M.S.A.",,"1,752,202",,,,,,,,,
,"Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union Counties, NC and York County, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC","777,708","5,625",58,303,"2,346","2,918","38,533","9,817","25,379","3,337"
,"City of Gastonia, NC","73,060",600,5,30,220,345,"4,581","1,059","3,187",335
,"City of Rock Hill, SC","69,506",708,5,27,82,594,"2,930",578,"2,138",214
,"City of Concord, NC","67,478",190,6,16,69,99,"3,270",527,"2,517",226
,Total area actually reporting,97.5%,"9,105",97,488,"3,074","5,446","66,463","16,957","44,361","5,145"
,Estimated total,100.0%,"9,255",98,498,"3,115","5,544","68,374","17,400","45,750","5,224"
,"Rate per 100,000 inhabitants",,528.2,5.6,28.4,177.8,316.4,"3,902.2",993.0,"2,611.0",298.1
"Charlottesville, VA M.S.A.",,"197,483", ,,,,, ,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"41,798",247,0,35,88,124,"2,070",184,"1,763",123
,Total area actually reporting,100.0%,426,1,68,124,233,"5,185",649,"4,241",295
,"Rate per 100,000 inhabitants",,215.7,0.5,34.4,62.8,118.0,"2,625.5",328.6,"2,147.5",149.4
"Chattanooga, TN-GA M.S.A.",,"523,787", ,,,,, ,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN","172,536","1,792",17,53,535,"1,187","12,849","2,987","8,949",913
,Total area actually reporting,100.0%,"3,090",24,130,635,"2,301","22,502","5,356","15,614","1,532"
,"Rate per 100,000 inhabitants",,589.9,4.6,24.8,121.2,439.3,"4,296.0","1,022.6","2,981.0",292.5
"Cheyenne, WY M.S.A.",,"89,355", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"57,317",125,4,28,28,65,"2,365",226,"2,028",111
,Total area actually reporting,100.0%,180,4,40,30,106,"2,884",334,"2,404",146
,"Rate per 100,000 inhabitants",,201.4,4.5,44.8,33.6,118.6,"3,227.6",373.8,"2,690.4",163.4
"Chico, CA M.S.A.",,"221,473", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"84,724",310,3,42,124,141,"2,352",685,"1,359",308
,Total area actually reporting,100.0%,932,10,87,187,648,"6,338","1,733","3,765",840
,"Rate per 100,000 inhabitants",,420.8,4.5,39.3,84.4,292.6,"2,861.7",782.5,"1,700.0",379.3
"Cincinnati-Middletown, OH-KY-IN M.S.A.1",,"2,178,158",,,,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY;1 and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","333,568","3,976",55,235,"2,272","1,414","20,357","6,287","12,513","1,557"
,"City of Middletown, OH","51,401",364,2,46,119,197,"4,297","1,091","2,999",207
,Total area actually reporting,95.5%,"7,272",87,696,"3,514","2,975","69,303","16,552","49,259","3,492"
,Estimated total,100.0%,"7,444",89,720,"3,580","3,055","71,996","17,088","51,302","3,606"
,"Rate per 100,000 inhabitants",,341.8,4.1,33.1,164.4,140.3,"3,305.4",784.5,"2,355.3",165.6
"Clarksville, TN-KY M.S.A.1",,"265,303", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY1 and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN","121,661",805,16,55,105,629,"4,551","1,569","2,767",215
,Total area actually reporting,99.3%,"1,161",20,96,188,857,"7,911","2,716","4,805",390
,Estimated total,100.0%,"1,167",20,97,190,860,"7,981","2,731","4,857",393
,"Rate per 100,000 inhabitants",,439.9,7.5,36.6,71.6,324.2,"3,008.3","1,029.4","1,830.7",148.1
"Cleveland, TN M.S.A.",,"113,409", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"40,024",391,3,13,43,332,"2,111",422,"1,615",74
,Total area actually reporting,100.0%,735,3,28,50,654,"3,385",818,"2,380",187
,"Rate per 100,000 inhabitants",,648.1,2.6,24.7,44.1,576.7,"2,984.8",721.3,"2,098.6",164.9
"Cleveland-Elyria-Mentor, OH M.S.A.",,"2,093,232",,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",,,,,,,,,,
,City of Cleveland,"429,238","5,990",86,373,"3,555","1,976","24,128","9,226","10,871","4,031"
,City of Elyria,"54,857",220,3,24,87,106,"2,380",691,"1,605",84
,City of Mentor,"51,993",45,0,10,19,16,"1,191",117,"1,026",48
,Total area actually reporting,84.0%,"8,456",116,640,"4,589","3,111","50,766","15,805","29,430","5,531"
,Estimated total,100.0%,"8,973",122,720,"4,791","3,340","59,408","17,642","35,887","5,879"
,"Rate per 100,000 inhabitants",,428.7,5.8,34.4,228.9,159.6,"2,838.1",842.8,"1,714.4",280.9
"Coeur d'Alene, ID M.S.A.",,"140,410", ,,,,, ,,,
,Includes Kootenai County,,,,,,,,,,
,City of Coeur d'Alene,"44,406",286,1,41,32,212,"1,737",348,"1,284",105
,Total area actually reporting,100.0%,482,2,82,48,350,"3,713",896,"2,616",201
,"Rate per 100,000 inhabitants",,343.3,1.4,58.4,34.2,249.3,"2,644.4",638.1,"1,863.1",143.2
"College Station-Bryan, TX M.S.A.",,"210,281",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"86,072",170,3,43,24,100,"3,267",613,"2,580",74
,City of Bryan,"73,111",567,1,33,128,405,"4,134","1,140","2,809",185
,Total area actually reporting,100.0%,894,5,91,171,627,"9,158","2,312","6,493",353
,"Rate per 100,000 inhabitants",,425.1,2.4,43.3,81.3,298.2,"4,355.1","1,099.5","3,087.8",167.9
"Colorado Springs, CO M.S.A.",,"628,075", ,,,,, ,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"401,626","1,968",15,344,525,"1,084","14,723","3,305","10,357","1,061"
,Total area actually reporting,99.9%,"2,835",21,421,561,"1,832","17,783","4,120","12,330","1,333"
,Estimated total,100.0%,"2,837",21,421,561,"1,834","17,809","4,124","12,350","1,335"
,"Rate per 100,000 inhabitants",,451.7,3.3,67.0,89.3,292.0,"2,835.5",656.6,"1,966.3",212.6
"Columbia, MO M.S.A.",,"166,465", ,,,,, ,,,
,Includes Boone and Howard Counties,,,,,,,,,,
,City of Columbia,"102,588",501,3,32,157,309,"3,906",692,"3,082",132
,Total area actually reporting,99.5%,667,3,38,174,452,"5,219",943,"4,086",190
,Estimated total,100.0%,670,3,38,175,454,"5,248",948,"4,108",192
,"Rate per 100,000 inhabitants",,402.5,1.8,22.8,105.1,272.7,"3,152.6",569.5,"2,467.8",115.3
"Columbia, SC M.S.A.",,"741,623", ,,,,, ,,,
,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",,,,,,,,,,
,City of Columbia,"127,884","1,338",13,68,379,878,"7,689","1,678","5,321",690
,Total area actually reporting,99.9%,"5,641",47,288,"1,042","4,264","29,593","7,115","19,883","2,595"
,Estimated total,100.0%,"5,643",47,288,"1,042","4,266","29,611","7,119","19,896","2,596"
,"Rate per 100,000 inhabitants",,760.9,6.3,38.8,140.5,575.2,"3,992.7",959.9,"2,682.8",350.0
"Columbus, GA-AL M.S.A.",,"287,607", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","186,224","1,153",13,47,574,519,"14,684","3,792","9,374","1,518"
,Total area actually reporting,95.1%,"1,454",15,63,669,707,"17,285","4,686","10,883","1,716"
,Estimated total,100.0%,"1,500",16,66,686,732,"17,709","4,812","11,136","1,761"
,"Rate per 100,000 inhabitants",,521.5,5.6,22.9,238.5,254.5,"6,157.4","1,673.1","3,872.0",612.3
"Columbus, IN M.S.A.",,"75,902", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"40,087",53,0,4,24,25,"2,184",244,"1,768",172
,Total area actually reporting,99.5%,81,0,7,27,47,"2,600",338,"2,068",194
,Estimated total,100.0%,82,0,7,27,48,"2,612",340,"2,077",195
,"Rate per 100,000 inhabitants",,108.0,0.0,9.2,35.6,63.2,"3,441.3",447.9,"2,736.4",256.9
"Columbus, OH M.S.A.",,"1,797,471", ,,,,, ,,,
,"Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus ,"759,391","5,340",83,574,"3,395","1,288","48,813","14,583","30,044","4,186"
,Total area actually reporting,98.1%,"6,598",102,823,"3,936","1,737","76,158","20,732","50,335","5,091"
,Estimated total,100.0%,"6,658",103,832,"3,960","1,763","77,126","20,925","51,071","5,130"
,"Rate per 100,000 inhabitants",,370.4,5.7,46.3,220.3,98.1,"4,290.8","1,164.1","2,841.3",285.4
"Corpus Christi, TX M.S.A.",,"417,198", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"287,277","2,363",12,212,459,"1,680","16,095","2,973","12,525",597
,Total area actually reporting,100.0%,"2,739",15,252,508,"1,964","20,873","4,402","15,713",758
,"Rate per 100,000 inhabitants",,656.5,3.6,60.4,121.8,470.8,"5,003.1","1,055.1","3,766.3",181.7
"Corvallis, OR M.S.A.",,"82,116", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"51,302",66,1,10,19,36,"1,706",249,"1,396",61
,Total area actually reporting,100.0%,103,1,15,25,62,"2,292",383,"1,822",87
,"Rate per 100,000 inhabitants",,125.4,1.2,18.3,30.4,75.5,"2,791.2",466.4,"2,218.8",105.9
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"179,103",,,,,,,,,
,Includes Okaloosa County,,,,,,,,,,
,City of Crestview,"20,023",115,1,15,27,72,702,127,547,28
,City of Fort Walton Beach,"18,759",95,1,13,31,50,768,140,579,49
,Total area actually reporting,100.0%,528,5,60,138,325,"5,176","1,038","3,876",262
,"Rate per 100,000 inhabitants",,294.8,2.8,33.5,77.1,181.5,"2,890.0",579.6,"2,164.1",146.3
"Cumberland, MD-WV M.S.A.",,"99,133", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,372",202,1,15,20,166,"1,318",380,916,22
,Total area actually reporting,98.4%,451,2,29,46,374,"2,698",751,"1,883",64
,Estimated total,100.0%,455,2,29,47,377,"2,756",763,"1,927",66
,"Rate per 100,000 inhabitants",,459.0,2.0,29.3,47.4,380.3,"2,780.1",769.7,"1,943.9",66.6
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,449,790",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,290,266","10,221",166,485,"5,501","4,069","71,364","19,428","41,481","10,455"
,City of Fort Worth,"723,456","4,232",44,370,"1,449","2,369","35,884","10,188","23,564","2,132"
,City of Arlington,"379,104","2,330",12,152,672,"1,494","20,516","4,891","14,186","1,439"
,City of Plano,"272,747",464,4,45,143,272,"7,993","1,477","6,047",469
,City of Irving,"202,447",604,4,34,214,352,"8,427","1,913","5,730",784
,City of Carrollton,"127,432",250,4,16,124,106,"4,061","1,085","2,633",343
,City of Denton,"124,308",306,2,71,79,154,"3,271",681,"2,403",187
,City of McKinney,"132,146",245,0,47,56,142,"3,339",711,"2,518",110
,City of Richardson,"102,675",230,0,12,109,109,"3,575",919,"2,372",284
,Total area actually reporting,99.9%,"26,494",310,"1,944","10,361","13,879","252,343","63,685","165,112","23,546"
,Estimated total,100.0%,"26,495",310,"1,944","10,361","13,880","252,361","63,689","165,125","23,547"
,"Rate per 100,000 inhabitants",,410.8,4.8,30.1,160.6,215.2,"3,912.7",987.5,"2,560.2",365.1
"Dallas-Plano-Irving, TX M.D.",,"4,330,070",,,,,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"17,354",235,"1,178","7,727","8,214","165,359","41,801","105,469","18,089"
,Estimated total,100.0%,"17,355",235,"1,178","7,727","8,215","165,377","41,805","105,482","18,090"
,"Rate per 100,000 inhabitants",,400.8,5.4,27.2,178.4,189.7,"3,819.3",965.5,"2,436.0",417.8
"Fort Worth-Arlington, TX M.D.",,"2,119,720",,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"9,140",75,766,"2,634","5,665","86,984","21,884","59,643","5,457"
,"Rate per 100,000 inhabitants",,431.2,3.5,36.1,124.3,267.3,"4,103.6","1,032.4","2,813.7",257.4
"Dalton, GA M.S.A.",,"135,102", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,"34,299",118,1,15,16,86,"1,232",228,958,46
,Total area actually reporting,97.4%,380,2,31,33,314,"3,752",772,"2,807",173
,Estimated total,100.0%,396,2,32,38,324,"3,900",803,"2,913",184
,"Rate per 100,000 inhabitants",,293.1,1.5,23.7,28.1,239.8,"2,886.7",594.4,"2,156.1",136.2
"Danville, IL M.S.A.4",,"80,017", ,,,,, ,,,
,Includes Vermilion County4,,,,,,,,,,
,City of Danville4,"32,076",,4,,108,219,"2,211",791,"1,338",82
,Total area actually reporting,98.9%,,6,,114,298,"3,134","1,097","1,917",120
,Estimated total,100.0%,,6,,115,299,"3,155","1,101","1,933",121
,"Rate per 100,000 inhabitants",,,7.5,,143.7,373.7,"3,942.9","1,376.0","2,415.7",151.2
"Danville, VA M.S.A.",,"105,723", ,,,,, ,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,
,City of Danville,"44,442",174,8,7,80,79,"2,308",515,"1,724",69
,Total area actually reporting,100.0%,235,9,13,93,120,"2,936",725,"2,107",104
,"Rate per 100,000 inhabitants",,222.3,8.5,12.3,88.0,113.5,"2,777.1",685.8,"1,992.9",98.4
"Dayton, OH M.S.A.",,"837,876", ,,,,, ,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,
,City of Dayton,"152,965","1,542",39,91,770,642,"8,949","3,244","4,932",773
,Total area actually reporting,97.2%,"2,753",47,307,"1,212","1,187","27,893","7,526","18,721","1,646"
,Estimated total,100.0%,"2,793",47,313,"1,228","1,205","28,562","7,659","19,230","1,673"
,"Rate per 100,000 inhabitants",,333.3,5.6,37.4,146.6,143.8,"3,408.9",914.1,"2,295.1",199.7
"Decatur, AL M.S.A.3",,"151,260", ,,,,, ,,,
,Includes Lawrence3 and Morgan Counties,,,,,,,,,,
,City of Decatur,"56,290",223,0,28,78,117,"3,234",743,"2,398",93
,Total area actually reporting,100.0%,,2,35,86,,"4,817","1,178","3,486",153
,"Rate per 100,000 inhabitants",,,1.3,23.1,56.9,,"3,184.6",778.8,"2,304.6",101.2
"Decatur, IL M.S.A.4",,"107,232", ,,,,, ,,,
,Includes Macon County4,,,,,,,,,,
,City of Decatur4,"75,651",,3,,149,415,"3,079","1,344","1,580",155
,Total area actually reporting,91.7%,,3,,151,448,"3,460","1,465","1,827",168
,Estimated total,100.0%,,3,,157,459,"3,669","1,503","1,989",177
,"Rate per 100,000 inhabitants", ,,2.8,,146.4,428.0,"3,421.6","1,401.6","1,854.9",165.1
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"499,859",,,,,,,,,
,Includes Volusia County,,,,,,,,,,
,City of Daytona Beach,"64,257",975,9,38,290,638,"4,694","1,023","3,148",523
,City of Ormond Beach,"38,153",133,0,8,28,97,"1,170",336,788,46
,Total area actually reporting,100.0%,"2,762",19,138,702,"1,903","18,359","4,858","12,075","1,426"
,"Rate per 100,000 inhabitants",,552.6,3.8,27.6,140.4,380.7,"3,672.8",971.9,"2,415.7",285.3
"Denver-Aurora-Broomfield, CO M.S.A.",,"2,550,871",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"604,680","3,493",39,343,946,"2,165","20,879","4,763","12,628","3,488"
,City of Aurora,"324,014","1,524",22,216,553,733,"10,037","2,051","6,820","1,166"
,City of Broomfield,"56,991",42,3,5,11,23,"1,115",112,946,57
,Total area actually reporting,99.9%,"8,843",100,"1,224","2,172","5,347","71,309","13,634","49,046","8,629"
,Estimated total,100.0%,"8,848",100,"1,225","2,173","5,350","71,361","13,642","49,085","8,634"
,"Rate per 100,000 inhabitants",,346.9,3.9,48.0,85.2,209.7,"2,797.5",534.8,"1,924.2",338.5
"Des Moines-West Des Moines, IA M.S.A.1",,"564,422", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines1,"196,794","1,067",6,153,244,664,"8,688","1,830","6,146",712
,City of West Des Moines,"56,400",73,0,18,6,49,"1,772",196,"1,536",40
,Total area actually reporting,100.0%,"1,554",7,236,294,"1,017","15,592","3,084","11,527",981
,"Rate per 100,000 inhabitants",,275.3,1.2,41.8,52.1,180.2,"2,762.5",546.4,"2,042.3",173.8
"Detroit-Warren-Livonia, MI M.S.A.1",,"4,404,383",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"908,441","17,868",365,335,"5,913","11,255","50,578","18,993","18,574","13,011"
,City of Warren1,"133,485",778,4,67,209,498,"3,785",887,"1,897","1,001"
,City of Livonia,"90,232",176,3,16,40,117,"2,232",341,"1,580",311
,City of Dearborn,"85,305",339,3,16,112,208,"4,255",712,"2,961",582
,City of Troy,"80,182",79,0,17,13,49,"1,880",231,"1,564",85
,City of Farmington Hills,"78,140",108,1,10,20,77,"1,520",256,"1,134",130
,City of Southfield,"75,074",409,2,32,129,246,"3,082",653,"1,960",469
,City of Pontiac,"65,924","1,212",10,57,343,802,"2,312","1,026",959,327
,City of Taylor,"60,054",403,0,31,104,268,"2,594",566,"1,762",266
,City of Novi,"54,842",52,0,1,10,41,"1,103",137,925,41
,Total area actually reporting,99.5%,"28,867",447,"1,405","8,545","18,470","134,697","36,698","75,485","22,514"
,Estimated total,100.0%,"28,929",447,"1,412","8,559","18,511","135,260","36,813","75,888","22,559"
,"Rate per 100,000 inhabitants",,656.8,10.1,32.1,194.3,420.3,"3,071.0",835.8,"1,723.0",512.2
"Detroit-Livonia-Dearborn, MI M.D.",,"1,930,388",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,99.1%,"21,946",398,670,"7,035","13,843","82,773","25,775","39,620","17,378"
,Estimated total,100.0%,"22,002",398,676,"7,048","13,880","83,282","25,879","39,984","17,419"
,"Rate per 100,000 inhabitants",,"1,139.8",20.6,35.0,365.1,719.0,"4,314.3","1,340.6","2,071.3",902.4
"Warren-Troy-Farmington Hills, MI M.D.1",,"2,473,995",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"6,921",49,735,"1,510","4,627","51,924","10,923","35,865","5,136"
,Estimated total,100.0%,"6,927",49,736,"1,511","4,631","51,978","10,934","35,904","5,140"
,"Rate per 100,000 inhabitants",,280.0,2.0,29.7,61.1,187.2,"2,101.0",442.0,"1,451.3",207.8
"Dothan, AL M.S.A.2,3",,"142,752", ,,,,, ,,,
,"Includes Geneva,2,3 Henry, and Houston Counties",,,,,,,,,,
,City of Dothan3,"66,476",,1,32,165,,"3,211",801,"2,275",135
,Total area actually reporting,81.1%,,2,39,170,,,,"2,752",181
,Estimated total,100.0%,,3,45,183,,,,"3,117",223
,"Rate per 100,000 inhabitants",,,2.1,31.5,128.2,,,,"2,183.5",156.2
"Dover, DE M.S.A.",,"159,218", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"36,571",288,2,21,69,196,"1,916",158,"1,669",89
,Total area actually reporting,100.0%,"1,007",4,81,189,733,"5,658","1,354","4,055",249
,"Rate per 100,000 inhabitants",,632.5,2.5,50.9,118.7,460.4,"3,553.6",850.4,"2,546.8",156.4
"Dubuque, IA M.S.A.",,"92,984", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"57,192",294,2,15,17,260,"1,883",483,"1,323",77
,Total area actually reporting,100.0%,360,2,18,17,323,"2,182",595,"1,493",94
,"Rate per 100,000 inhabitants",,387.2,2.2,19.4,18.3,347.4,"2,346.6",639.9,"1,605.7",101.1
"Duluth, MN-WI M.S.A.4",,"274,899", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN4 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN4","84,071",,3,,122,201,"4,253",632,"3,431",190
,Total area actually reporting,98.9%,,5,,161,383,"9,280","1,623","7,225",432
,Estimated total,100.0%,,5,,162,385,"9,365","1,635","7,294",436
,"Rate per 100,000 inhabitants",,,1.8,,58.9,140.1,"3,406.7",594.8,"2,653.3",158.6
"Durham-Chapel Hill, NC M.S.A.",,"498,273", ,,,,, ,,,
,"Includes Chatham, Durham, Orange, and Person Counties",,,,,,,,,,
,City of Durham,"227,492","1,591",21,63,710,797,"11,763","3,643","7,366",754
,City of Chapel Hill,"53,069",130,0,14,48,68,"1,727",427,"1,225",75
,Total area actually reporting,100.0%,"2,206",29,120,875,"1,182","19,994","6,215","12,696","1,083"
,"Rate per 100,000 inhabitants",,442.7,5.8,24.1,175.6,237.2,"4,012.7","1,247.3","2,548.0",217.4
"Eau Claire, WI M.S.A.",,"159,822", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,, ,,,,,,,,
,City of Eau Claire,"65,802",119,0,28,15,76,"1,717",248,"1,402",67
,Total area actually reporting,100.0%,193,1,39,21,132,"3,249",546,"2,575",128
,"Rate per 100,000 inhabitants",,120.8,0.6,24.4,13.1,82.6,"2,032.9",341.6,"1,611.2",80.1
"El Centro, CA M.S.A.3,5",,"165,988", ,,,,, ,,,
,"Includes Imperial County3,5",,,,,,,,,,
,City of El Centro,"40,337",177,1,7,36,133,"2,257",570,"1,436",251
,Total area actually reporting,100.0%,,3,18,99,,,"1,758",,940
,"Rate per 100,000 inhabitants",,,1.8,10.8,59.6,,,"1,059.1",,566.3
"Elizabethtown, KY M.S.A.1",,"112,967", ,,,,, ,,,
,Includes Hardin and Larue Counties1,,,,,,,,,,
,City of Elizabethtown1,"24,321",52,1,5,25,21,"1,058",152,878,28
,Total area actually reporting,100.0%,341,2,25,38,276,"2,054",443,"1,556",55
,"Rate per 100,000 inhabitants",,301.9,1.8,22.1,33.6,244.3,"1,818.2",392.1,"1,377.4",48.7
"Elkhart-Goshen, IN M.S.A.",,"201,289",,,,,,,,,
,Includes Elkhart County,, ,,,,,,,,
,City of Elkhart,"52,661",159,8,22,118,11,"2,534",639,"1,730",165
,City of Goshen,"32,952",36,0,13,14,9,"1,032",186,803,43
,Total area actually reporting,100.0%,260,8,55,155,42,"5,343","1,340","3,657",346
,"Rate per 100,000 inhabitants",,129.2,4.0,27.3,77.0,20.9,"2,654.4",665.7,"1,816.8",171.9
"Elmira, NY M.S.A.",,"87,431", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"29,090",93,4,3,25,61,"1,053",212,823,18
,Total area actually reporting,100.0%,161,4,13,29,115,"1,962",384,"1,533",45
,"Rate per 100,000 inhabitants",,184.1,4.6,14.9,33.2,131.5,"2,244.1",439.2,"1,753.4",51.5
"El Paso, TX M.S.A.",,"749,958", ,,,,, ,,,
,Includes El Paso County,,,,,,,,,,
,City of El Paso,"618,812","2,830",12,182,452,"2,184","18,528","1,991","14,647","1,890"
,Total area actually reporting,100.0%,"3,303",16,231,511,"2,545","21,909","2,793","16,977","2,139"
,"Rate per 100,000 inhabitants",,440.4,2.1,30.8,68.1,339.4,"2,921.4",372.4,"2,263.7",285.2
"Erie, PA M.S.A.",,"279,714", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"103,837",472,4,83,121,264,"3,018","1,013","1,853",152
,Total area actually reporting,100.0%,694,10,121,161,402,"6,663","1,738","4,705",220
,"Rate per 100,000 inhabitants",,248.1,3.6,43.3,57.6,143.7,"2,382.1",621.3,"1,682.1",78.7
"Eugene-Springfield, OR M.S.A.",,"348,528",,,,,,,,,
,Includes Lane County,, ,,,,,,,,
,City of Eugene,"151,383",470,1,73,201,195,"8,627","1,868","5,871",888
