Table 4,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2016",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Denver-Aurora-Lakewood, CO M.S.A.",,"2,868,232",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"699,259"," 4,597 ", 57 , 567 ," 1,160 "," 2,813 "," 25,101 "," 4,675 "," 15,638 "," 4,788 "
,City of Aurora,"366,477"," 1,939 ", 22 , 289 , 576 ," 1,052 "," 11,213 "," 1,698 "," 7,977 "," 1,538 "
,City of Lakewood,"154,553", 875 , 4 , 144 , 174 , 553 ," 8,455 "," 1,014 "," 6,429 "," 1,012 "
,City of Broomfield,"66,953", 36 , 0 , 16 , 2 , 18 ," 1,610 ", 216 ," 1,236 ", 158 
,Total area actually reporting,99.9%," 11,149 ", 124 ," 1,919 "," 2,470 "," 6,636 "," 84,650 "," 12,492 "," 58,890 "," 13,268 "
,Estimated total,100.0%," 11,156 ", 124 ," 1,921 "," 2,471 "," 6,640 "," 84,729 "," 12,501 "," 58,950 "," 13,278 "
,"Rate per 100,000 inhabitants",,389.0,4.3,67.0,86.2,231.5,"2,954.0",435.8,"2,055.3",462.9
"Des Moines-West Des Moines, IA M.S.A.3",,"632,763", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"211,501"," 1,497 ", 13 , 140 , 318 ," 1,026 "," 8,881 "," 1,944 "," 5,920 "," 1,017 "
,City of West Des Moines,"65,631", 149 , 1 , 24 , 19 , 105 ," 1,513 ", 147 ," 1,296 ", 70 
,Total area actually reporting,100.0%," 2,352 ", 25 , 267 , 386 ," 1,674 ",," 3,458 ",," 1,442 "
,"Rate per 100,000 inhabitants",,371.7,4.0,42.2,61.0,264.6,,546.5,,227.9
"Detroit-Warren-Dearborn, MI M.S.A.",,"4,302,722",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"669,673"," 13,705 ", 303 , 579 ," 2,941 "," 9,882 "," 31,630 "," 8,787 "," 13,938 "," 8,905 "
,City of Warren,"135,620", 691 , 6 , 118 , 125 , 442 ," 3,521 ", 927 ," 2,082 ", 512 
,City of Dearborn,"94,646", 348 , 1 , 30 , 80 , 237 ," 2,791 ", 297 ," 2,167 ", 327 
,City of Livonia,"94,226", 141 , 0 , 18 , 28 , 95 ," 1,694 ", 295 ," 1,250 ", 149 
,City of Troy,"83,743", 78 , 1 , 12 , 16 , 49 ," 1,336 ", 94 ," 1,183 ", 59 
,City of Farmington Hills,"81,649", 77 , 0 , 18 , 9 , 50 ," 1,050 ", 145 , 834 , 71 
,City of Southfield,"73,438", 195 , 3 , 44 , 52 , 96 ," 2,158 ", 353 ," 1,514 ", 291 
,City of Taylor,"61,290", 372 , 2 , 37 , 83 , 250 ," 1,495 ", 290 ," 1,042 ", 163 
,City of Pontiac,"60,003", 749 , 15 , 66 , 121 , 547 ," 1,425 ", 520 , 771 , 134 
,City of Novi,"59,441", 32 , 0 , 6 , 2 , 24 , 661 , 56 , 586 , 19 
,Total area actually reporting,99.9%," 23,903 ", 389 ," 2,141 "," 4,653 "," 16,720 "," 89,693 "," 18,887 "," 56,067 "," 14,739 "
,Estimated total,100.0%," 23,907 ", 389 ," 2,142 "," 4,654 "," 16,722 "," 89,714 "," 18,890 "," 56,083 "," 14,741 "
,"Rate per 100,000 inhabitants",,555.6,9.0,49.8,108.2,388.6,"2,085.1",439.0,"1,303.4",342.6
"Detroit-Dearborn-Livonia, MI M.D.",,"1,747,582",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,100.0%," 18,073 ", 339 ," 1,104 "," 3,860 "," 12,770 "," 54,744 "," 12,845 "," 30,153 "," 11,746 "
,"Rate per 100,000 inhabitants",,"1,034.2",19.4,63.2,220.9,730.7,"3,132.6",735.0,"1,725.4",672.1
"Warren-Troy-Farmington Hills, MI M.D.",,"2,555,140",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,99.9%," 5,830 ", 50 ," 1,037 ", 793 ," 3,950 "," 34,949 "," 6,042 "," 25,914 "," 2,993 "
,Estimated total,100.0%," 5,834 ", 50 ," 1,038 ", 794 ," 3,952 "," 34,970 "," 6,045 "," 25,930 "," 2,995 "
,"Rate per 100,000 inhabitants",,228.3,2.0,40.6,31.1,154.7,"1,368.6",236.6,"1,014.8",117.2
"Dothan, AL M.S.A.4",,"148,284", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan4,"67,835",, 5 , 35 , 79 ,," 2,758 ", 669 ," 1,928 ", 161 
,Total area actually reporting,99.4%,, 10 , 74 , 95 ,," 4,221 "," 1,072 "," 2,869 ", 280 
,Estimated total,100.0%,, 10 , 74 , 96 ,," 4,248 "," 1,077 "," 2,889 ", 282 
,"Rate per 100,000 inhabitants",,,6.7,49.9,64.7,,"2,864.8",726.3,"1,948.3",190.2
"Dover, DE M.S.A.",,"175,090", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"37,824", 307 , 2 , 12 , 57 , 236 ," 1,880 ", 100 ," 1,699 ", 81 
,Total area actually reporting,100.0%, 829 , 6 , 64 , 156 , 603 ," 4,399 ", 652 ," 3,579 ", 168 
,"Rate per 100,000 inhabitants",,473.5,3.4,36.6,89.1,344.4,"2,512.4",372.4,"2,044.1",96.0
"Dubuque, IA M.S.A.",,"97,625", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,"59,026", 210 , 1 , 52 , 26 , 131 ," 1,832 ", 408 ," 1,349 ", 75 
,Total area actually reporting,100.0%, 237 , 2 , 58 , 28 , 149 ," 2,054 ", 485 ," 1,477 ", 92 
,"Rate per 100,000 inhabitants",,242.8,2.0,59.4,28.7,152.6,"2,104.0",496.8,"1,512.9",94.2
"Duluth, MN-WI M.S.A.",,"279,220", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN","86,090", 312 , 1 , 51 , 64 , 196 ," 3,827 ", 529 ," 3,162 ", 136 
,Total area actually reporting,100.0%, 642 , 3 , 126 , 92 , 421 ," 8,915 "," 1,374 "," 7,124 ", 417 
,"Rate per 100,000 inhabitants",,229.9,1.1,45.1,32.9,150.8,"3,192.8",492.1,"2,551.4",149.3
"East Stroudsburg, PA M.S.A.",,"165,226", ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,100.0%, 416 , 10 , 73 , 80 , 253 ," 3,130 ", 632 ," 2,403 ", 95 
,"Rate per 100,000 inhabitants",,251.8,6.1,44.2,48.4,153.1,"1,894.4",382.5,"1,454.4",57.5
"Eau Claire, WI M.S.A.2",,"166,178", ,,,,, ,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,"68,084", 141 , 1 , 18 , 17 , 105 ," 1,818 ", 277 ," 1,481 ", 60 
,Total area actually reporting,100.0%, 230 , 5 , 38 , 20 , 167 ," 2,788 ", 493 ," 2,187 ", 108 
,"Rate per 100,000 inhabitants",,138.4,3.0,22.9,12.0,100.5,"1,677.7",296.7,"1,316.1",65.0
"El Centro, CA M.S.A.",,"180,066", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"44,213", 205 , 1 , 19 , 55 , 130 ," 2,314 ", 506 ," 1,669 ", 139 
,Total area actually reporting,95.9%, 676 , 3 , 34 , 118 , 521 ," 5,195 "," 1,165 "," 3,483 ", 547 
,Estimated total,100.0%, 701 , 3 , 36 , 126 , 536 ," 5,372 "," 1,199 "," 3,597 ", 576 
,"Rate per 100,000 inhabitants",,389.3,1.7,20.0,70.0,297.7,"2,983.4",665.9,"1,997.6",319.9
"Elizabethtown-Fort Knox, KY M.S.A.",,"148,206", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"29,821", 68 , 2 , 15 , 17 , 34 , 476 , 107 , 329 , 40 
,Total area actually reporting,100.0%, 181 , 3 , 40 , 52 , 86 ," 1,479 ", 406 , 945 , 128 
,"Rate per 100,000 inhabitants",,122.1,2.0,27.0,35.1,58.0,997.9,273.9,637.6,86.4
"Elmira, NY M.S.A.",,"86,124", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"27,995", 97 , 2 , 2 , 34 , 59 ," 1,074 ", 172 , 875 , 27 
,Total area actually reporting,100.0%, 172 , 3 , 28 , 38 , 103 ," 1,892 ", 270 ," 1,577 ", 45 
,"Rate per 100,000 inhabitants",,199.7,3.5,32.5,44.1,119.6,"2,196.8",313.5,"1,831.1",52.3
"El Paso, TX M.S.A.",,"843,018", ,,,,, ,,,
,Includes El Paso and Hudspeth Counties,,,,,,,,,,
,City of El Paso,"687,193"," 2,682 ", 17 , 314 , 476 ," 1,875 "," 12,357 "," 1,410 "," 10,135 ", 812 
,Total area actually reporting,99.9%," 3,076 ", 23 , 378 , 520 ," 2,155 "," 14,413 "," 1,784 "," 11,696 ", 933 
,Estimated total,100.0%," 3,080 ", 23 , 379 , 521 ," 2,157 "," 14,442 "," 1,789 "," 11,718 ", 935 
,"Rate per 100,000 inhabitants",,365.4,2.7,45.0,61.8,255.9,"1,713.1",212.2,"1,390.0",110.9
"Enid, OK M.S.A.",,"63,828", ,,,,, ,,,
,Includes Garfield County,,,,,,,,,,
,City of Enid,"52,240", 214 , 2 , 29 , 27 , 156 ," 2,041 ", 474 ," 1,489 ", 78 
,Total area actually reporting,100.0%, 233 , 2 , 35 , 27 , 169 ," 2,220 ", 533 ," 1,590 ", 97 
,"Rate per 100,000 inhabitants",,365.0,3.1,54.8,42.3,264.8,"3,478.1",835.1,"2,491.1",152.0
"Erie, PA M.S.A.",,"276,700", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"99,019", 353 , 10 , 46 , 115 , 182 ," 2,278 ", 567 ," 1,607 ", 104 
,Total area actually reporting,100.0%, 594 , 11 , 100 , 157 , 326 ," 5,307 "," 1,077 "," 4,052 ", 178 
,"Rate per 100,000 inhabitants",,214.7,4.0,36.1,56.7,117.8,"1,918.0",389.2,"1,464.4",64.3
"Eugene, OR M.S.A.2",,"367,343", ,,,,, ,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,"164,883", 602 , 6 , 95 , 137 , 364 ," 6,317 "," 1,062 "," 4,622 ", 633 
,Total area actually reporting,99.1%," 1,172 ", 7 , 174 , 208 , 783 ," 12,137 "," 1,994 "," 9,114 "," 1,029 "
,Estimated total,100.0%," 1,178 ", 7 , 175 , 209 , 787 ," 12,222 "," 2,004 "," 9,181 "," 1,037 "
,"Rate per 100,000 inhabitants",,320.7,1.9,47.6,56.9,214.2,"3,327.1",545.5,"2,499.3",282.3
"Evansville, IN-KY M.S.A.",,"315,875", ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,"119,908", 762 , 8 , 75 , 210 , 469 ," 5,881 "," 1,008 "," 4,490 ", 383 
,Total area actually reporting,97.9%," 1,127 ", 11 , 106 , 253 , 757 ," 8,462 "," 1,556 "," 6,375 ", 531 
,Estimated total,100.0%," 1,144 ", 11 , 107 , 257 , 769 ," 8,644 "," 1,577 "," 6,523 ", 544 
,"Rate per 100,000 inhabitants",,362.2,3.5,33.9,81.4,243.5,"2,736.5",499.2,"2,065.1",172.2
"Fairbanks, AK M.S.A.",,"34,657", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"32,456", 223 , 7 , 31 , 31 , 154 ," 1,350 ", 157 ," 1,069 ", 124 
,Total area actually reporting,100.0%, 232 , 7 , 35 , 32 , 158 ," 1,517 ", 173 ," 1,207 ", 137 
,"Rate per 100,000 inhabitants",,669.4,20.2,101.0,92.3,455.9,"4,377.2",499.2,"3,482.7",395.3
"Fargo, ND-MN M.S.A.",,"234,910", ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","121,217", 467 , 3 , 79 , 68 , 317 ," 3,843 ", 566 ," 2,962 ", 315 
,Total area actually reporting,100.0%, 635 , 5 , 135 , 91 , 404 ," 5,807 ", 974 ," 4,337 ", 496 
,"Rate per 100,000 inhabitants",,270.3,2.1,57.5,38.7,172.0,"2,472.0",414.6,"1,846.2",211.1
"Farmington, NM M.S.A.",,"116,108", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"42,270", 293 , 1 , 70 , 52 , 170 ," 1,857 ", 332 ," 1,354 ", 171 
,Total area actually reporting,100.0%," 1,100 ", 2 , 128 , 68 , 902 ," 3,174 ", 729 ," 2,168 ", 277 
,"Rate per 100,000 inhabitants",,947.4,1.7,110.2,58.6,776.9,"2,733.7",627.9,"1,867.2",238.6
"Fayetteville, NC M.S.A.",,"378,409", ,,,,, ,,,
,Includes Cumberland and Hoke Counties,,,,,,,,,,
,City of Fayetteville,"202,200"," 1,531 ", 33 , 99 , 316 ," 1,083 "," 9,201 "," 1,868 "," 6,942 ", 391 
,Total area actually reporting,100.0%," 1,982 ", 44 , 123 , 415 ," 1,400 "," 13,168 "," 3,052 "," 9,577 ", 539 
,"Rate per 100,000 inhabitants",,523.8,11.6,32.5,109.7,370.0,"3,479.8",806.5,"2,530.9",142.4
"Flagstaff, AZ M.S.A.",,"140,312", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"71,179", 265 , 0 , 26 , 30 , 209 ," 2,856 ", 255 ," 2,542 ", 59 
,Total area actually reporting,100.0%, 512 , 3 , 72 , 43 , 394 ," 4,197 ", 478 ," 3,614 ", 105 
,"Rate per 100,000 inhabitants",,364.9,2.1,51.3,30.6,280.8,"2,991.2",340.7,"2,575.7",74.8
"Flint, MI M.S.A.",,"407,879", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"97,548"," 1,545 ", 45 , 96 , 249 ," 1,155 "," 3,323 "," 1,213 "," 1,867 ", 243 
,Total area actually reporting,100.0%," 2,562 ", 54 , 299 , 391 ," 1,818 "," 9,083 "," 2,420 "," 6,047 ", 616 
,"Rate per 100,000 inhabitants",,628.1,13.2,73.3,95.9,445.7,"2,226.9",593.3,"1,482.5",151.0
"Florence, SC M.S.A.",,"207,007", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"38,382", 408 , 1 , 20 , 73 , 314 ," 2,563 ", 407 ," 2,026 ", 130 
,Total area actually reporting,99.4%," 1,320 ", 14 , 102 , 222 , 982 ," 8,787 "," 2,207 "," 6,028 ", 552 
,Estimated total,100.0%," 1,326 ", 14 , 103 , 223 , 986 ," 8,834 "," 2,214 "," 6,065 ", 555 
,"Rate per 100,000 inhabitants",,640.6,6.8,49.8,107.7,476.3,"4,267.5","1,069.5","2,929.9",268.1
"Florence-Muscle Shoals, AL M.S.A.",,"146,537", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"40,160", 196 , 2 , 19 , 46 , 129 ," 1,400 ", 242 ," 1,052 ", 106 
,City of Muscle Shoals,"13,810", 54 , 0 , 5 , 6 , 43 , 588 , 108 , 443 , 37 
,Total area actually reporting,99.8%, 428 , 4 , 42 , 72 , 310 ," 3,197 ", 640 ," 2,275 ", 282 
,Estimated total,100.0%, 429 , 4 , 42 , 72 , 311 ," 3,207 ", 642 ," 2,282 ", 283 
,"Rate per 100,000 inhabitants",,292.8,2.7,28.7,49.1,212.2,"2,188.5",438.1,"1,557.3",193.1
"Fond du Lac, WI M.S.A.",,"101,860", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,907", 136 , 1 , 38 , 12 , 85 , 957 , 75 , 858 , 24 
,Total area actually reporting,100.0%, 184 , 1 , 52 , 13 , 118 ," 1,377 ", 149 ," 1,180 ", 48 
,"Rate per 100,000 inhabitants",,180.6,1.0,51.1,12.8,115.8,"1,351.9",146.3,"1,158.5",47.1
"Fort Collins, CO M.S.A.",,"340,447",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"164,670", 342 , 5 , 33 , 40 , 264 ," 4,036 ", 451 ," 3,384 ", 201 
,Total area actually reporting,100.0%, 712 , 9 , 103 , 71 , 529 ," 7,524 ", 909 ," 6,229 ", 386 
,"Rate per 100,000 inhabitants",,209.1,2.6,30.3,20.9,155.4,"2,210.0",267.0,"1,829.7",113.4
"Fort Smith, AR-OK M.S.A.",,"279,567", , ,,,, ,,,
,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",,,,,,,,,,
,"City of Fort Smith, AR","88,573", 712 , 4 , 70 , 97 , 541 ," 5,229 ", 888 ," 4,008 ", 333 
,Total area actually reporting,99.7%," 1,388 ", 14 , 191 , 117 ," 1,066 "," 9,605 "," 2,150 "," 6,823 ", 632 
,Estimated total,100.0%," 1,391 ", 14 , 192 , 117 ," 1,068 "," 9,628 "," 2,155 "," 6,840 ", 633 
,"Rate per 100,000 inhabitants",,497.6,5.0,68.7,41.9,382.0,"3,443.9",770.8,"2,446.6",226.4
"Fort Wayne, IN M.S.A.",,"431,558", ,,,,, ,,,
,"Includes Allen, Wells, and Whitley Counties",,,,,,,,,,
,City of Fort Wayne,"261,642"," 1,040 ", 43 , 95 , 410 , 492 ," 8,924 "," 1,698 "," 6,812 ", 414 
,Total area actually reporting,94.7%," 1,257 ", 48 , 125 , 446 , 638 ," 10,858 "," 2,069 "," 8,297 ", 492 
,Estimated total,100.0%," 1,288 ", 49 , 129 , 450 , 660 ," 11,122 "," 2,135 "," 8,468 ", 519 
,"Rate per 100,000 inhabitants",,298.5,11.4,29.9,104.3,152.9,"2,577.2",494.7,"1,962.2",120.3
"Fresno, CA M.S.A.",,"976,874", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"524,796"," 3,206 ", 39 , 158 ," 1,122 "," 1,887 "," 20,523 "," 3,697 "," 13,542 "," 3,284 "
,Total area actually reporting,100.0%," 5,983 ", 63 , 314 ," 1,414 "," 4,192 "," 31,875 "," 6,883 "," 19,806 "," 5,186 "
,"Rate per 100,000 inhabitants",,612.5,6.4,32.1,144.7,429.1,"3,263.0",704.6,"2,027.5",530.9
"Gadsden, AL M.S.A.",,"102,537", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"35,927", 464 , 4 , 27 , 56 , 377 ," 2,521 ", 401 ," 1,893 ", 227 
,Total area actually reporting,98.5%, 722 , 6 , 62 , 77 , 577 ," 3,651 ", 700 ," 2,584 ", 367 
,Estimated total,100.0%, 730 , 6 , 63 , 78 , 583 ," 3,702 ", 710 ," 2,621 ", 371 
,"Rate per 100,000 inhabitants",,711.9,5.9,61.4,76.1,568.6,"3,610.4",692.4,"2,556.2",361.8
"Gainesville, FL M.S.A.",,"280,301", ,,,,, ,,,
,Includes Alachua and Gilchrist Counties,,,,,,,,,,
,City of Gainesville,"131,242", 870 , 3 , 142 , 189 , 536 ," 4,908 ", 590 ," 3,951 ", 367 
,Total area actually reporting,94.6%," 1,460 ", 4 , 216 , 271 , 969 ," 7,764 "," 1,258 "," 5,972 ", 534 
,Estimated total,100.0%," 1,513 ", 5 , 221 , 280 ," 1,007 "," 8,068 "," 1,320 "," 6,191 ", 557 
,"Rate per 100,000 inhabitants",,539.8,1.8,78.8,99.9,359.3,"2,878.3",470.9,"2,208.7",198.7
"Gainesville, GA M.S.A.",,"196,154", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"39,425", 162 , 3 , 14 , 56 , 89 ," 1,405 ", 202 ," 1,107 ", 96 
,Total area actually reporting,100.0%, 512 , 8 , 39 , 121 , 344 ," 5,026 ", 766 ," 3,871 ", 389 
,"Rate per 100,000 inhabitants",,261.0,4.1,19.9,61.7,175.4,"2,562.3",390.5,"1,973.4",198.3
"Gettysburg, PA M.S.A.",,"102,165", ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,"7,608", 31 , 0 , 4 , 1 , 26 , 106 , 14 , 90 , 2 
,Total area actually reporting,100.0%, 166 , 2 , 42 , 11 , 111 , 817 , 155 , 636 , 26 
,"Rate per 100,000 inhabitants",,162.5,2.0,41.1,10.8,108.6,799.7,151.7,622.5,25.4
"Glens Falls, NY M.S.A.",,"125,674", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,212", 33 , 1 , 5 , 3 , 24 , 220 , 32 , 187 , 1 
,Total area actually reporting,100.0%, 207 , 2 , 91 , 14 , 100 ," 1,565 ", 227 ," 1,317 ", 21 
,"Rate per 100,000 inhabitants",,164.7,1.6,72.4,11.1,79.6,"1,245.3",180.6,"1,047.9",16.7
"Goldsboro, NC M.S.A.",,"124,396", ,,,,, ,,,
,Includes Wayne County,,,,,,,,,,
,City of Goldsboro,"35,871", 389 , 11 , 3 , 84 , 291 ," 1,999 ", 484 ," 1,416 ", 99 
,Total area actually reporting,97.7%, 538 , 11 , 7 , 119 , 401 ," 3,801 "," 1,212 "," 2,362 ", 227 
,Estimated total,100.0%, 546 , 11 , 8 , 121 , 406 ," 3,889 "," 1,229 "," 2,430 ", 230 
,"Rate per 100,000 inhabitants",,438.9,8.8,6.4,97.3,326.4,"3,126.3",988.0,"1,953.4",184.9
"Grand Forks, ND-MN M.S.A.",,"101,537", ,,,,, ,,,
,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","57,853", 177 , 1 , 36 , 27 , 113 ," 1,783 ", 303 ," 1,345 ", 135 
,Total area actually reporting,100.0%, 244 , 1 , 60 , 27 , 156 ," 2,550 ", 467 ," 1,912 ", 171 
,"Rate per 100,000 inhabitants",,240.3,1.0,59.1,26.6,153.6,"2,511.4",459.9,"1,883.1",168.4
"Grand Island, NE M.S.A.",,"85,552", ,,,,, ,,,
,"Includes Hall, Hamilton, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,"51,980", 173 , 1 , 34 , 20 , 118 ," 1,620 ", 236 ," 1,297 ", 87 
,Total area actually reporting,92.5%, 236 , 1 , 41 , 20 , 174 ," 1,893 ", 308 ," 1,467 ", 118 
,Estimated total,100.0%, 245 , 1 , 43 , 21 , 180 ," 1,973 ", 320 ," 1,527 ", 126 
,"Rate per 100,000 inhabitants",,286.4,1.2,50.3,24.5,210.4,"2,306.2",374.0,"1,784.9",147.3
"Grand Junction, CO M.S.A.",,"148,848", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"60,628", 314 , 4 , 63 , 35 , 212 ," 3,060 ", 362 ," 2,537 ", 161 
,Total area actually reporting,99.2%, 516 , 9 , 119 , 46 , 342 ," 4,540 ", 656 ," 3,622 ", 262 
,Estimated total,100.0%, 519 , 9 , 120 , 46 , 344 ," 4,573 ", 660 ," 3,647 ", 266 
,"Rate per 100,000 inhabitants",,348.7,6.0,80.6,30.9,231.1,"3,072.3",443.4,"2,450.2",178.7
"Grand Rapids-Wyoming, MI M.S.A.",,"1,048,249", ,,,,, ,,,
,"Includes Barry, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,"196,538"," 1,327 ", 10 , 142 , 321 , 854 ," 4,334 ", 822 ," 3,208 ", 304 
,City of Wyoming,"75,917", 352 , 4 , 69 , 62 , 217 ," 1,758 ", 297 ," 1,273 ", 188 
,Total area actually reporting,99.8%," 3,529 ", 22 , 825 , 529 ," 2,153 "," 16,906 "," 2,933 "," 13,028 ", 945 
,Estimated total,100.0%," 3,534 ", 22 , 826 , 530 ," 2,156 "," 16,939 "," 2,938 "," 13,053 ", 948 
,"Rate per 100,000 inhabitants",,337.1,2.1,78.8,50.6,205.7,"1,615.9",280.3,"1,245.2",90.4
"Grants Pass, OR M.S.A.",,"85,644", ,,,,, ,,,
,Includes Josephine County,,,,,,,,,,
,City of Grants Pass,"37,317", 96 , 0 , 17 , 29 , 50 ," 2,010 ", 249 ," 1,554 ", 207 
,Total area actually reporting,100.0%, 190 , 2 , 22 , 35 , 131 ," 2,417 ", 385 ," 1,687 ", 345 
,"Rate per 100,000 inhabitants",,221.8,2.3,25.7,40.9,153.0,"2,822.1",449.5,"1,969.8",402.8
"Great Falls, MT M.S.A.",,"82,482", ,,,,, ,,,
,Includes Cascade County,,,,,,,,,,
,City of Great Falls,"59,717", 162 , 3 , 21 , 15 , 123 ," 2,944 ", 365 ," 2,364 ", 215 
,Total area actually reporting,100.0%, 189 , 4 , 24 , 16 , 145 ," 3,149 ", 407 ," 2,508 ", 234 
,"Rate per 100,000 inhabitants",,229.1,4.8,29.1,19.4,175.8,"3,817.8",493.4,"3,040.7",283.7
"Greeley, CO M.S.A.",,"291,675", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"102,491", 468 , 3 , 85 , 51 , 329 ," 3,275 ", 506 ," 2,447 ", 322 
,Total area actually reporting,99.6%, 749 , 4 , 123 , 76 , 546 ," 5,861 "," 1,001 "," 4,214 ", 646 
,Estimated total,100.0%, 752 , 4 , 124 , 76 , 548 ," 5,895 "," 1,005 "," 4,240 ", 650 
,"Rate per 100,000 inhabitants",,257.8,1.4,42.5,26.1,187.9,"2,021.1",344.6,"1,453.7",222.9
"Green Bay, WI M.S.A.2",,"318,010", ,,,,, ,,,
,"Includes Brown,2 Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay2,"105,452", 505 , 4 , 77 , 73 , 351 ," 2,306 ", 424 ," 1,795 ", 87 
,Total area actually reporting,91.0%, 662 , 8 , 115 , 80 , 459 ," 4,418 ", 724 ," 3,506 ", 188 
,Estimated total,100.0%, 681 , 8 , 119 , 81 , 473 ," 4,618 ", 773 ," 3,645 ", 200 
,"Rate per 100,000 inhabitants",,214.1,2.5,37.4,25.5,148.7,"1,452.2",243.1,"1,146.2",62.9
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"261,805",,,,,,,,,
,"Includes Washington County, MD and Berkeley County, WV",, ,,,,,,,,
,"City of Hagerstown, MD","40,567", 231 , 0 , 19 , 105 , 107 ," 1,262 ", 374 , 775 , 113 
,"City of Martinsburg, WV","17,789", 81 , 0 , 13 , 25 , 43 , 882 , 117 , 740 , 25 
,Total area actually reporting,100.0%, 650 , 7 , 61 , 193 , 389 ," 5,556 "," 1,350 "," 3,871 ", 335 
,"Rate per 100,000 inhabitants",,248.3,2.7,23.3,73.7,148.6,"2,122.2",515.7,"1,478.6",128.0
"Hammond, LA M.S.A.",,"129,819",,,,,,,,,
,Includes Tangipahoa Parish,, ,,,,,,,,
,City of Hammond,"20,576", 286 , 7 , 12 , 59 , 208 ," 2,131 ", 627 ," 1,412 ", 92 
,Total area actually reporting,96.6%," 1,170 ", 17 , 72 , 195 , 886 ," 5,470 "," 1,646 "," 3,459 ", 365 
,Estimated total,100.0%," 1,189 ", 17 , 73 , 198 , 901 ," 5,635 "," 1,674 "," 3,588 ", 373 
,"Rate per 100,000 inhabitants",,915.9,13.1,56.2,152.5,694.0,"4,340.7","1,289.5","2,763.8",287.3
"Hanford-Corcoran, CA M.S.A.",,"149,661",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
