Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",, ,,,,,,,,
,"City of Cape Girardeau, MO","38,474",243,3,12,66,162,"2,628",500,"2,052",76
,Total area actually reporting,100.0%,424,5,18,73,328,"3,721",812,"2,790",119
,"Rate per 100,000 inhabitants",,436.2,5.1,18.5,75.1,337.5,"3,828.4",835.4,"2,870.5",122.4
"Carson City, NV M.S.A.",,"56,164", ,,,,, ,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,100.0%,132,0,0,14,118,"1,107",298,731,78
,"Rate per 100,000 inhabitants",,235.0,0.0,0.0,24.9,210.1,"1,971.0",530.6,"1,301.5",138.9
"Casper, WY M.S.A.",,"77,475", ,,,,, ,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,"56,801",86,3,2,12,69,"1,968",363,"1,501",104
,Total area actually reporting,100.0%,152,3,7,12,130,"2,346",474,"1,739",133
,"Rate per 100,000 inhabitants",,196.2,3.9,9.0,15.5,167.8,"3,028.1",611.8,"2,244.6",171.7
"Cedar Rapids, IA M.S.A.3",,"261,586", ,,,,, ,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,"128,401",356,3,43,97,213,"4,723",966,"3,503",254
,Total area actually reporting,94.7%,445,4,67,101,273,,,"4,415",321
,Estimated total,100.0%,464,4,70,102,288,,,"4,512",333
,"Rate per 100,000 inhabitants",,177.4,1.5,26.8,39.0,110.1,,,"1,724.9",127.3
"Chambersburg-Waynesboro, PA M.S.A.",,"151,055",,,,,,,,,
,Includes Franklin County,, ,,,,,,,,
,City of Chambersburg,"20,458",82,2,8,31,41,804,120,661,23
,City of Waynesboro,"10,670",18,0,1,4,13,220,33,179,8
,Total area actually reporting,100.0%,212,5,34,47,126,"2,508",497,"1,931",80
,"Rate per 100,000 inhabitants",,140.3,3.3,22.5,31.1,83.4,"1,660.3",329.0,"1,278.3",53.0
"Champaign-Urbana, IL M.S.A.",,"232,445",,,,,,,,,
,"Includes Champaign, Ford, and Piatt Counties",, ,,,,,,,,
,City of Champaign,"81,329",741,3,51,135,552,"2,700",722,"1,897",81
,City of Urbana,"41,537",148,0,20,68,60,"1,443",416,974,53
,Total area actually reporting,97.7%,"1,200",4,143,225,828,"6,039","1,685","4,180",174
,Estimated total,100.0%,"1,211",4,144,228,835,"6,155","1,708","4,268",179
,"Rate per 100,000 inhabitants",,521.0,1.7,62.0,98.1,359.2,"2,647.9",734.8,"1,836.1",77.0
"Charleston-North Charleston, SC M.S.A.",,"688,607", ,,,,, ,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,"123,856",296,12,19,104,161,"3,373",374,"2,764",235
,City of North Charleston,"100,676",737,13,61,212,451,"5,757",854,"4,363",540
,Total area actually reporting,99.5%,"2,890",48,197,615,"2,030","22,350","4,345","16,158","1,847"
,Estimated total,100.0%,"2,907",48,198,618,"2,043","22,508","4,373","16,280","1,855"
,"Rate per 100,000 inhabitants",,422.2,7.0,28.8,89.7,296.7,"3,268.6",635.1,"2,364.2",269.4
"Charlottesville, VA M.S.A.",,"223,598", ,,,,, ,,,
,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,"43,991",198,2,17,50,129,"1,502",162,"1,246",94
,Total area actually reporting,100.0%,381,6,56,73,246,"4,380",823,"3,351",206
,"Rate per 100,000 inhabitants",,170.4,2.7,25.0,32.6,110.0,"1,958.9",368.1,"1,498.7",92.1
"Cheyenne, WY M.S.A.",,"94,026", ,,,,, ,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,"60,969",140,0,21,21,98,"2,081",255,"1,730",96
,Total area actually reporting,100.0%,227,2,33,27,165,"2,716",425,"2,147",144
,"Rate per 100,000 inhabitants",,241.4,2.1,35.1,28.7,175.5,"2,888.6",452.0,"2,283.4",153.1
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.4",,"9,511,421",,,,,,,,,
,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",,,,,,,,,,
,"City of Chicago, IL4","2,708,382",,500,,"13,476","12,272","112,466","22,748","72,717","17,001"
,"City of Naperville, IL","142,840",119,3,7,24,85,"2,044",255,"1,748",41
,"City of Elgin, IL","109,155",257,2,67,76,112,"1,982",357,"1,546",79
,"City of Gary, IN","80,472",728,37,56,275,360,"4,475","1,634","2,066",775
,"City of Arlington Heights, IL","75,463",41,1,7,8,25,978,140,821,17
,"City of Evanston, IL","74,820",228,3,4,79,142,"2,054",421,"1,570",63
,"City of Schaumburg, IL","74,585",68,0,13,18,37,"2,487",199,"2,226",62
,"City of Skokie, IL","65,096",134,0,17,37,80,"1,577",284,"1,232",61
,"City of Des Plaines, IL","58,644",65,0,4,13,48,941,137,757,47
,"City of Hoffman Estates, IL","52,148",66,0,13,26,27,710,129,560,21
,Total area actually reporting,98.0%,,675,,"17,417","19,033","250,691","49,976","176,674","24,041"
,Estimated total,100.0%,,679,,"17,518","19,272","254,619","50,771","179,630","24,218"
,"Rate per 100,000 inhabitants",,,7.1,,184.2,202.6,"2,677.0",533.8,"1,888.6",254.6
"Chicago-Naperville-Arlington Heights, IL M.D.4",,"7,300,952",,,,,,,,,
,"Includes Cook, DuPage, Grundy, Kendall, McHenry, and Will Counties",,,,,,,,,,
,Total area actually reporting,98.0%,,594,,"16,119","16,202","201,675","39,772","140,717","21,186"
,Estimated total,100.0%,,598,,"16,207","16,397","204,797","40,385","143,093","21,319"
,"Rate per 100,000 inhabitants",,,8.2,,222.0,224.6,"2,805.1",553.1,"1,959.9",292.0
"Elgin, IL M.D.",,"625,305",,,,,,,,,
,Includes DeKalb and Kane Counties,,,,,,,,,,
,Total area actually reporting,98.9%,"1,131",7,188,217,719,"10,171","1,948","7,939",284
,Estimated total,100.0%,"1,146",7,190,221,728,"10,322","1,978","8,054",290
,"Rate per 100,000 inhabitants",,183.3,1.1,30.4,35.3,116.4,"1,650.7",316.3,"1,288.0",46.4
"Gary, IN M.D.",,"710,891",,,,,,,,,
,"Includes Jasper, Lake, Newton, and Porter Counties",,,,,,,,,,
,Total area actually reporting,95.6%,"2,238",66,145,701,"1,326","21,917","4,910","14,889","2,118"
,Estimated total,100.0%,"2,274",66,150,706,"1,352","22,426","5,033","15,243","2,150"
,"Rate per 100,000 inhabitants",,319.9,9.3,21.1,99.3,190.2,"3,154.6",708.0,"2,144.2",302.4
"Lake County-Kenosha County, IL-WI M.D.",,"874,273",,,,,,,,,
,"Includes Lake County, IL and Kenosha County, WI",,,,,,,,,,
,Total area actually reporting,99.2%,"1,389",8,215,380,786,"16,928","3,346","13,129",453
,Estimated total,100.0%,"1,404",8,217,384,795,"17,074","3,375","13,240",459
,"Rate per 100,000 inhabitants",,160.6,0.9,24.8,43.9,90.9,"1,952.9",386.0,"1,514.4",52.5
"Chico, CA M.S.A.",,"222,309", ,,,,, ,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,"87,090",282,1,46,95,140,"2,291",778,"1,259",254
,Total area actually reporting,100.0%,684,11,75,167,431,"5,659","1,919","3,147",593
,"Rate per 100,000 inhabitants",,307.7,4.9,33.7,75.1,193.9,"2,545.6",863.2,"1,415.6",266.7
"Cincinnati, OH-KY-IN M.S.A.1",,"2,123,695",,,,,,,,,
,"Includes Dearborn, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton,1 and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH","296,204","2,887",46,188,"1,725",928,"18,173","5,483","11,590","1,100"
,Total area actually reporting,96.2%,"5,935",74,666,"2,760","2,435","68,513","16,457","49,306","2,750"
,Estimated total,100.0%,"6,042",75,683,"2,798","2,486","70,483","16,869","50,790","2,824"
,"Rate per 100,000 inhabitants",,284.5,3.5,32.2,131.8,117.1,"3,318.9",794.3,"2,391.6",133.0
"Clarksville, TN-KY M.S.A.",,"266,196", ,,,,, ,,,
,"Includes Christian and Trigg Counties, KY and Montgomery County, TN",,,,,,,,,,
,"City of Clarksville, TN","137,356",875,10,46,99,720,"3,741",976,"2,598",167
,Total area actually reporting,99.4%,"1,171",17,84,172,898,"6,909","1,835","4,746",328
,Estimated total,100.0%,"1,175",17,85,174,899,"6,966","1,848","4,787",331
,"Rate per 100,000 inhabitants",,441.4,6.4,31.9,65.4,337.7,"2,616.9",694.2,"1,798.3",124.3
"Cleveland, TN M.S.A.",,"117,799", ,,,,, ,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,"42,068",371,0,29,39,303,"2,225",398,"1,751",76
,Total area actually reporting,100.0%,642,5,36,55,546,"3,567",788,"2,580",199
,"Rate per 100,000 inhabitants",,545.0,4.2,30.6,46.7,463.5,"3,028.0",668.9,"2,190.2",168.9
"Coeur d'Alene, ID M.S.A.",,"142,089",,,,,,,,,
,Includes Kootenai County,, ,,,,,,,,
,City of Coeur d'Alene,"45,267",260,0,26,14,220,"1,978",431,"1,395",152
,Total area actually reporting,100.0%,417,1,53,22,341,"4,522","1,165","3,084",273
,"Rate per 100,000 inhabitants",,293.5,0.7,37.3,15.5,240.0,"3,182.5",819.9,"2,170.5",192.1
"College Station-Bryan, TX M.S.A.",,"235,092",,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",, ,,,,,,,,
,City of College Station,"96,567",491,3,34,38,416,"2,398",576,"1,762",60
,City of Bryan,"78,749",312,1,31,69,211,"2,473",496,"1,889",88
,Total area actually reporting,100.0%,934,6,77,116,735,"6,304","1,474","4,641",189
,"Rate per 100,000 inhabitants",,397.3,2.6,32.8,49.3,312.6,"2,681.5",627.0,"1,974.1",80.4
"Colorado Springs, CO M.S.A.3",,"669,453", ,,,,, ,,,
,Includes El Paso3 and Teller Counties,,,,,,,,,,
,City of Colorado Springs,"432,287","1,968",18,358,523,"1,069","17,899","3,641","12,456","1,802"
,Total area actually reporting,99.9%,"2,529",20,447,567,"1,495",,,"14,934","2,077"
,Estimated total,100.0%,"2,530",20,447,567,"1,496",,,"14,950","2,078"
,"Rate per 100,000 inhabitants",,377.9,3.0,66.8,84.7,223.5,,,"2,233.2",310.4
"Columbia, MO M.S.A.",,"165,938", ,,,,, ,,,
,Includes Boone County,,,,,,,,,,
,City of Columbia,"110,646",476,3,41,162,270,"4,221",784,"3,294",143
,Total area actually reporting,100.0%,623,3,46,180,394,"5,544","1,023","4,321",200
,"Rate per 100,000 inhabitants",,375.4,1.8,27.7,108.5,237.4,"3,341.0",616.5,"2,604.0",120.5
"Columbus, GA-AL M.S.A.",,"304,291", ,,,,, ,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA","196,178",994,17,31,423,523,"11,266","2,709","7,711",846
,Total area actually reporting,97.3%,"1,306",19,58,497,732,"14,289","3,616","9,592","1,081"
,Estimated total,100.0%,"1,331",19,59,506,747,"14,541","3,685","9,753","1,103"
,"Rate per 100,000 inhabitants",,437.4,6.2,19.4,166.3,245.5,"4,778.6","1,211.0","3,205.2",362.5
"Columbus, IN M.S.A.",,"78,114", ,,,,, ,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,"44,817",83,1,12,22,48,"2,210",262,"1,768",180
,Total area actually reporting,99.5%,134,1,18,25,90,"2,754",382,"2,138",234
,Estimated total,100.0%,135,1,18,25,91,"2,767",384,"2,148",235
,"Rate per 100,000 inhabitants",,172.8,1.3,23.0,32.0,116.5,"3,542.3",491.6,"2,749.8",300.8
"Corpus Christi, TX M.S.A.3",,"437,841", ,,,,, ,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,"312,565","2,057",16,184,375,"1,482","14,061","2,452","11,166",443
,Total area actually reporting,100.0%,"2,458",23,240,412,"1,783",,,"13,925",588
,"Rate per 100,000 inhabitants",,561.4,5.3,54.8,94.1,407.2,,,"3,180.4",134.3
"Corvallis, OR M.S.A.",,"86,538", ,,,,, ,,,
,Includes Benton County,,, ,,,,,,,
,City of Corvallis,"55,062",67,1,11,15,40,"1,418",235,"1,153",30
,Total area actually reporting,100.0%,96,1,19,18,58,"1,841",322,"1,460",59
,"Rate per 100,000 inhabitants",,110.9,1.2,22.0,20.8,67.0,"2,127.4",372.1,"1,687.1",68.2
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",,"242,539",,,,,,,,,
,Includes Okaloosa and Walton Counties,,,,,,,,,,
,City of Crestview,"21,574",186,1,14,38,133,933,167,728,38
,City of Fort Walton Beach,"20,063",48,1,4,7,36,772,143,586,43
,Total area actually reporting,100.0%,"1,116",3,86,126,901,"6,453","1,295","4,869",289
,"Rate per 100,000 inhabitants",,460.1,1.2,35.5,52.0,371.5,"2,660.6",533.9,"2,007.5",119.2
"Cumberland, MD-WV M.S.A.",,"103,606", ,,,,, ,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD","20,939",166,0,15,27,124,"1,415",317,"1,068",30
,Total area actually reporting,99.2%,344,4,29,48,263,"2,949",697,"2,165",87
,Estimated total,100.0%,346,4,29,48,265,"2,979",702,"2,189",88
,"Rate per 100,000 inhabitants",,334.0,3.9,28.0,46.3,255.8,"2,875.3",677.6,"2,112.8",84.9
"Dallas-Fort Worth-Arlington, TX M.S.A.",,"6,680,025",,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,"1,241,549","8,380",154,486,"4,093","3,647","54,300","16,090","31,148","7,062"
,City of Fort Worth,"770,101","4,524",44,391,"1,280","2,809","32,514","8,442","21,648","2,424"
,City of Arlington,"379,295","1,909",17,135,532,"1,225","15,109","3,543","10,616",950
,City of Plano,"273,816",358,1,55,110,192,"6,453","1,095","5,043",315
,City of Irving,"224,007",507,3,27,135,342,"6,307","1,277","4,466",564
,City of Denton,"118,942",369,1,86,82,200,"3,262",632,"2,473",157
,City of Richardson,"103,266",171,2,27,80,62,"3,004",698,"2,175",131
,Total area actually reporting,99.9%,"23,017",277,"1,892","8,004","12,844","212,023","52,309","142,089","17,625"
,Estimated total,100.0%,"23,028",277,"1,893","8,007","12,851","212,153","52,335","142,186","17,632"
,"Rate per 100,000 inhabitants",,344.7,4.1,28.3,119.9,192.4,"3,175.9",783.5,"2,128.5",264.0
"Dallas-Plano-Irving, TX M.D.",,"4,405,585",,,,,,,,,
,"Includes Collin, Dallas, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"14,371",194,"1,119","5,763","7,295","136,399","34,226","89,510","12,663"
,Estimated total,100.0%,"14,378",194,"1,120","5,765","7,299","136,479","34,242","89,570","12,667"
,"Rate per 100,000 inhabitants",,326.4,4.4,25.4,130.9,165.7,"3,097.9",777.2,"2,033.1",287.5
"Fort Worth-Arlington, TX M.D.",,"2,274,440",,,,,,,,,
,"Includes Hood, Johnson, Parker, Somervell, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"8,646",83,773,"2,241","5,549","75,624","18,083","52,579","4,962"
,Estimated total,100.0%,"8,650",83,773,"2,242","5,552","75,674","18,093","52,616","4,965"
,"Rate per 100,000 inhabitants",,380.3,3.6,34.0,98.6,244.1,"3,327.1",795.5,"2,313.4",218.3
"Dalton, GA M.S.A.",,"144,264", ,,,,, ,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton,"33,668",88,2,8,26,52,"1,250",229,984,37
,Total area actually reporting,98.3%,365,4,26,41,294,"3,887",950,"2,766",171
,Estimated total,100.0%,375,4,27,44,300,"3,990",970,"2,841",179
,"Rate per 100,000 inhabitants",,259.9,2.8,18.7,30.5,208.0,"2,765.8",672.4,"1,969.3",124.1
"Danville, IL M.S.A.",,"81,547", ,,,,, ,,,
,Includes Vermilion County,,,,,,,,,,
,City of Danville,"32,997",328,3,42,80,203,"1,980",659,"1,247",74
,Total area actually reporting,98.4%,451,4,63,87,297,"3,028",949,"1,956",123
,Estimated total,100.0%,454,4,63,88,299,"3,057",955,"1,978",124
,"Rate per 100,000 inhabitants",,556.7,4.9,77.3,107.9,366.7,"3,748.8","1,171.1","2,425.6",152.1
"Daphne-Fairhope-Foley, AL M.S.A.",,"187,467", ,,,,, ,,,
,Includes Baldwin County,,,,,,,,,,
,City of Daphne,"22,198",40,1,4,2,33,514,77,421,16
,City of Fairhope,"15,766",43,1,2,5,35,649,131,503,15
,City of Foley,"15,049",54,0,4,15,35,665,87,549,29
,Total area actually reporting,100.0%,446,8,30,76,332,"4,988",967,"3,829",192
,"Rate per 100,000 inhabitants",,237.9,4.3,16.0,40.5,177.1,"2,660.7",515.8,"2,042.5",102.4
"Davenport-Moline-Rock Island, IA-IL M.S.A.",,"382,090",,,,,,,,,
,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",,,,,,,,,,
,"City of Davenport, IA","101,193",604,4,40,151,409,"4,088",890,"2,912",286
,"City of Moline, IL","43,509",176,0,16,23,137,"1,354",204,"1,095",55
,"City of Rock Island, IL","39,038",222,4,6,39,173,"1,124",217,856,51
,Total area actually reporting,97.6%,"1,402",10,115,239,"1,038","9,677","1,936","7,292",449
,Estimated total,100.0%,"1,422",10,117,245,"1,050","9,879","1,976","7,446",457
,"Rate per 100,000 inhabitants",,372.2,2.6,30.6,64.1,274.8,"2,585.5",517.2,"1,948.8",119.6
"Dayton, OH M.S.A.",,"803,255", ,,,,, ,,,
,"Includes Greene, Miami, and Montgomery Counties",,,,,,,,,,
,City of Dayton,"142,139","1,384",24,112,633,615,"8,385","3,043","4,649",693
,Total area actually reporting,98.8%,"2,330",31,300,"1,011",988,"27,040","7,205","18,382","1,453"
,Estimated total,100.0%,"2,343",31,302,"1,016",994,"27,287","7,255","18,571","1,461"
,"Rate per 100,000 inhabitants",,291.7,3.9,37.6,126.5,123.7,"3,397.1",903.2,"2,312.0",181.9
"Decatur, AL M.S.A.",,"154,689", ,,,,, ,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,"56,126",240,2,9,80,149,"2,913",821,"1,964",128
,Total area actually reporting,99.6%,403,2,20,92,289,"4,492","1,320","2,957",215
,Estimated total,100.0%,406,2,20,93,291,"4,518","1,326","2,976",216
,"Rate per 100,000 inhabitants",,262.5,1.3,12.9,60.1,188.1,"2,920.7",857.2,"1,923.9",139.6
"Decatur, IL M.S.A.",,"110,782", ,,,,, ,,,
,Includes Macon County,,,,,,,,,,
,City of Decatur,"76,131",352,6,26,106,214,"2,448",921,"1,445",82
,Total area actually reporting,100.0%,427,6,39,111,271,"2,963","1,090","1,776",97
,"Rate per 100,000 inhabitants", ,385.4,5.4,35.2,100.2,244.6,"2,674.6",983.9,"1,603.1",87.6
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"600,260",,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,"61,861",715,4,23,179,509,"3,869",799,"2,724",346
,City of Ormond Beach,"38,674",122,2,9,15,96,"1,301",199,"1,045",57
,Total area actually reporting,99.7%,"2,417",20,104,460,"1,833","19,155","4,531","13,504","1,120"
,Estimated total,100.0%,"2,424",20,104,462,"1,838","19,223","4,546","13,553","1,124"
,"Rate per 100,000 inhabitants",,403.8,3.3,17.3,77.0,306.2,"3,202.4",757.3,"2,257.9",187.3
"Denver-Aurora-Lakewood, CO M.S.A.1",,"2,635,467",,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas,1 Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,"628,545","3,871",39,376,"1,165","2,291","23,343","5,129","14,544","3,670"
,City of Aurora,"336,952","1,433",29,179,483,742,"10,059","1,791","7,370",898
,City of Lakewood,"146,404",676,2,94,148,432,"6,705",917,"5,180",608
,City of Broomfield,"58,145",30,1,7,6,16,"1,213",90,"1,076",47
,Total area actually reporting,99.9%,"8,893",103,"1,150","2,224","5,416","72,354","13,158","51,376","7,820"
,Estimated total,100.0%,"8,895",103,"1,150","2,224","5,418","72,387","13,163","51,402","7,822"
,"Rate per 100,000 inhabitants",,337.5,3.9,43.6,84.4,205.6,"2,746.6",499.5,"1,950.4",296.8
"Des Moines-West Des Moines, IA M.S.A.3",,"582,506", ,,,,, ,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,"207,400","1,094",7,100,250,737,"10,210","2,514","6,914",782
,City of West Des Moines,"58,134",95,0,16,8,71,"1,825",213,"1,562",50
,Total area actually reporting,98.2%,"1,673",8,176,284,"1,205",,,"12,035","1,077"
,Estimated total,100.0%,"1,685",8,178,284,"1,215",,,"12,093","1,086"
,"Rate per 100,000 inhabitants",,289.3,1.4,30.6,48.8,208.6,,,"2,076.0",186.4
"Detroit-Warren-Dearborn, MI M.S.A.",,"4,288,943",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"707,096","15,011",386,441,"4,843","9,341","40,956","13,488","15,968","11,500"
,City of Warren,"134,340",715,0,91,148,476,"3,787",999,"2,049",739
,City of Dearborn,"97,215",322,1,24,107,190,"3,282",462,"2,463",357
,City of Livonia,"96,028",146,3,19,32,92,"2,124",323,"1,601",200
,City of Troy,"81,567",60,2,9,13,36,"1,664",181,"1,376",107
,City of Farmington Hills,"80,316",74,1,15,12,46,"1,264",231,907,126
,City of Southfield,"72,253",352,2,34,136,180,"2,549",625,"1,530",394
,City of Taylor,"62,534",303,1,31,60,211,"2,398",563,"1,581",254
,City of Novi,"55,623",37,0,4,9,24,"1,048",72,937,39
,Total area actually reporting,99.7%,"24,602",469,"1,464","7,005","15,664","116,772","29,806","67,672","19,294"
,Estimated total,100.0%,"24,637",469,"1,468","7,013","15,687","117,088","29,873","67,897","19,318"
,"Rate per 100,000 inhabitants",,574.4,10.9,34.2,163.5,365.8,"2,730.0",696.5,"1,583.1",450.4
"Detroit-Dearborn-Livonia, MI M.D.",,"1,803,403",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,99.5%,"18,906",430,796,"5,881","11,799","70,165","19,997","34,902","15,266"
,Estimated total,100.0%,"18,932",430,799,"5,887","11,816","70,402","20,047","35,071","15,284"
,"Rate per 100,000 inhabitants",,"1,049.8",23.8,44.3,326.4,655.2,"3,903.8","1,111.6","1,944.7",847.5
"Warren-Troy-Farmington Hills, MI M.D.",,"2,485,540",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"5,696",39,668,"1,124","3,865","46,607","9,809","32,770","4,028"
,Estimated total,100.0%,"5,705",39,669,"1,126","3,871","46,686","9,826","32,826","4,034"
,"Rate per 100,000 inhabitants",,229.5,1.6,26.9,45.3,155.7,"1,878.3",395.3,"1,320.7",162.3
"Dothan, AL M.S.A.",,"147,151", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"65,389",316,5,30,99,182,"2,895",874,"1,893",128
,Total area actually reporting,99.6%,564,11,54,118,381,"4,567","1,391","2,942",234
,Estimated total,100.0%,567,11,54,119,383,"4,589","1,396","2,958",235
,"Rate per 100,000 inhabitants",,385.3,7.5,36.7,80.9,260.3,"3,118.6",948.7,"2,010.2",159.7
"Dover, DE M.S.A.",,"166,643", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"36,961",280,1,13,61,205,"2,189",116,"2,008",65
,Total area actually reporting,100.0%,901,4,47,161,689,"6,172","1,226","4,735",211
,"Rate per 100,000 inhabitants",,540.7,2.4,28.2,96.6,413.5,"3,703.7",735.7,"2,841.4",126.6
"Dubuque, IA M.S.A.3",,"95,015", ,,,,, ,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque3,"58,460",128,2,20,22,84,,,"1,160",46
,Total area actually reporting,95.5%,146,2,23,23,98,,,"1,267",73
,Estimated total,100.0%,153,2,24,23,104,,,"1,322",76
,"Rate per 100,000 inhabitants",,161.0,2.1,25.3,24.2,109.5,,,"1,391.4",80.0
"Duluth, MN-WI M.S.A.4",,"281,439", ,,,,, ,,,
,"Includes Carlton and St. Louis Counties, MN4 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN4","86,830",,2,,90,213,"3,861",642,"3,047",172
,Total area actually reporting,100.0%,,4,,133,447,"8,836","1,640","6,787",409
,"Rate per 100,000 inhabitants",,,1.4,,47.3,158.8,"3,139.6",582.7,"2,411.5",145.3
"Durham-Chapel Hill, NC M.S.A.",,"518,062", ,,,,, ,,,
,"Includes Chatham, Durham, Orange, and Person Counties",,,,,,,,,,
,City of Durham,"235,563","1,710",21,63,615,"1,011","10,279","3,284","6,291",704
,City of Chapel Hill,"58,586",87,2,10,30,45,"1,493",452,969,72
,Total area actually reporting,100.0%,"2,214",27,110,725,"1,352","17,821","5,673","11,162",986
,"Rate per 100,000 inhabitants",,427.4,5.2,21.2,139.9,261.0,"3,439.9","1,095.0","2,154.6",190.3
"East Stroudsburg, PA M.S.A.",,"170,157", ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,100.0%,666,4,50,95,517,"4,486","1,202","3,185",99
,"Rate per 100,000 inhabitants",,391.4,2.4,29.4,55.8,303.8,"2,636.4",706.4,"1,871.8",58.2
"El Centro, CA M.S.A.",,"178,699", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"43,643",166,2,7,40,117,"2,477",734,"1,572",171
,Total area actually reporting,95.6%,492,3,20,111,358,"6,263","2,037","3,508",718
,Estimated total,100.0%,519,3,21,120,375,"6,471","2,087","3,636",748
,"Rate per 100,000 inhabitants",,290.4,1.7,11.8,67.2,209.9,"3,621.2","1,167.9","2,034.7",418.6
"Elizabethtown-Fort Knox, KY M.S.A.",,"151,716", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"29,118",37,1,9,9,18,"1,083",133,911,39
,Total area actually reporting,100.0%,115,1,25,44,45,"2,160",471,"1,613",76
,"Rate per 100,000 inhabitants",,75.8,0.7,16.5,29.0,29.7,"1,423.7",310.4,"1,063.2",50.1
"Elmira, NY M.S.A.1",,"89,320", ,,,,, ,,,
,Includes Chemung County1,,,,,,,,,,
,City of Elmira1,"29,362",104,2,1,40,61,"1,192",250,923,19
,Total area actually reporting,100.0%,222,4,2,46,170,"2,212",398,"1,768",46
,"Rate per 100,000 inhabitants",,248.5,4.5,2.2,51.5,190.3,"2,476.5",445.6,"1,979.4",51.5
"El Paso, TX M.S.A.",,"836,557", ,,,,, ,,,
,Includes El Paso and Hudspeth Counties,,,,,,,,,,
,City of El Paso,"675,536","2,859",23,184,471,"2,181","16,411","1,826","13,425","1,160"
,Total area actually reporting,100.0%,"3,319",28,220,508,"2,563","19,361","2,380","15,623","1,358"
,"Rate per 100,000 inhabitants",,396.7,3.3,26.3,60.7,306.4,"2,314.4",284.5,"1,867.5",162.3
"Erie, PA M.S.A.",,"281,440", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
