Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2018",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants", ,389.9,8.6,34.4,82.2,264.7,"2,430.0",683.2,"1,632.1",114.7
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,"657,657",,,,,,,,,
,Includes Flagler and Volusia Counties,,,,,,,,,,
,City of Daytona Beach,"69,030", 764 , 8 , 17 , 91 , 648 ," 3,358 ", 384 ," 2,750 ", 224 
,City of Ormond Beach,"43,315", 131 , 0 , 12 , 16 , 103 ," 1,367 ", 184 ," 1,088 ", 95 
,City of DeLand,"33,384", 182 , 2 , 2 , 43 , 135 ," 1,256 ", 185 , 993 , 78 
,Total area actually reporting,100.0%," 2,237 ", 25 , 171 , 314 ," 1,727 "," 14,614 "," 2,216 "," 11,366 "," 1,032 "
,"Rate per 100,000 inhabitants",,340.1,3.8,26.0,47.7,262.6,"2,222.1",337.0,"1,728.3",156.9
"Detroit-Warren-Dearborn, MI M.S.A.5",,"4,325,220",,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,"671,275"," 13,478 ", 261 , 988 ," 2,309 "," 9,920 "," 28,897 "," 7,440 "," 15,003 "," 6,454 "
,City of Warren,"135,160", 688 , 4 , 108 , 121 , 455 ," 2,808 ", 581 ," 1,688 ", 539 
,City of Dearborn,"94,022", 314 , 1 , 36 , 82 , 195 ," 1,871 ", 233 ," 1,438 ", 200 
,City of Livonia,"93,740", 138 , 0 , 34 , 19 , 85 ," 1,313 ", 111 ," 1,092 ", 110 
,City of Troy,"84,221", 52 , 1 , 8 , 11 , 32 ," 1,157 ", 94 ," 1,011 ", 52 
,City of Farmington Hills,"81,239", 69 , 1 , 16 , 9 , 43 , 681 , 85 , 554 , 42 
,City of Southfield,"73,418", 204 , 2 , 36 , 48 , 118 ," 1,509 ", 262 ," 1,049 ", 198 
,City of Taylor,"61,037", 366 , 1 , 54 , 48 , 263 ," 1,346 ", 276 , 946 , 124 
,City of Pontiac,"59,817", 799 , 14 , 58 , 96 , 631 ," 1,286 ", 412 , 779 , 95 
,City of Novi,"60,378", 43 , 2 , 6 , 3 , 32 , 532 , 33 , 481 , 18 
,Total area actually reporting,100.0%," 23,144 ", 345 ," 2,618 "," 3,556 "," 16,625 ",,," 49,050 "," 11,168 "
,"Rate per 100,000 inhabitants",,535.1,8.0,60.5,82.2,384.4,,,"1,134.0",258.2
"Detroit-Dearborn-Livonia, MI M.D.",,"1,748,511",,,,,,,,,
,Includes Wayne County,,,,,,,,,,
,Total area actually reporting,100.0%," 17,516 ", 293 ," 1,582 "," 2,916 "," 12,725 "," 47,367 "," 10,476 "," 28,355 "," 8,536 "
,"Rate per 100,000 inhabitants",,"1,001.8",16.8,90.5,166.8,727.8,"2,709.0",599.1,"1,621.7",488.2
"Warren-Troy-Farmington Hills, MI M.D.5",,"2,576,709",,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,100.0%," 5,628 ", 52 ," 1,036 ", 640 ," 3,900 ",,," 20,695 "," 2,632 "
,"Rate per 100,000 inhabitants",,218.4,2.0,40.2,24.8,151.4,,,803.2,102.1
"Dothan, AL M.S.A.",,"148,181", ,,,,, ,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,"67,260", 656 , 9 , 26 , 78 , 543 ," 2,745 ", 550 ," 2,002 ", 193 
,Total area actually reporting,99.7%, 892 , 11 , 49 , 100 , 732 ," 4,108 ", 886 ," 2,909 ", 313 
,Estimated total,100.0%, 892 , 11 , 49 , 100 , 732 ," 4,111 ", 886 ," 2,912 ", 313 
,"Rate per 100,000 inhabitants",,602.0,7.4,33.1,67.5,494.0,"2,774.3",597.9,"1,965.2",211.2
"Dover, DE M.S.A.",,"178,138", ,,,,, ,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,"37,778", 301 , 4 , 20 , 43 , 234 ," 1,810 ", 58 ," 1,663 ", 89 
,Total area actually reporting,100.0%, 757 , 6 , 82 , 92 , 577 ," 3,804 ", 410 ," 3,206 ", 188 
,"Rate per 100,000 inhabitants",,425.0,3.4,46.0,51.6,323.9,"2,135.4",230.2,"1,799.7",105.5
"Duluth, MN-WI M.S.A.",,"288,923", ,,,,, ,,,
,"Includes Carlton, Lake, and St. Louis Counties, MN and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN","86,048", 308 , 1 , 45 , 66 , 196 ," 3,688 ", 472 ," 3,013 ", 203 
,Total area actually reporting,100.0%, 605 , 4 , 119 , 99 , 383 ," 7,550 "," 1,192 "," 5,841 ", 517 
,"Rate per 100,000 inhabitants",,209.4,1.4,41.2,34.3,132.6,"2,613.2",412.6,"2,021.6",178.9
"East Stroudsburg, PA M.S.A.",,"167,618", ,,,,, ,,,
,Includes Monroe County,, ,,,,,,,,
,Total area actually reporting,100.0%, 352 , 6 , 87 , 39 , 220 ," 2,892 ", 485 ," 2,285 ", 122 
,"Rate per 100,000 inhabitants",,210.0,3.6,51.9,23.3,131.3,"1,725.4",289.3,"1,363.2",72.8
"Eau Claire, WI M.S.A.2",,"168,407", ,,,,, ,,,
,Includes Chippewa and Eau Claire2 Counties,,,,,,,,,,
,City of Eau Claire2,"68,923", 199 , 0 , 58 , 23 , 118 ," 1,688 ", 292 ," 1,332 ", 64 
,Total area actually reporting,100.0%, 306 , 2 , 108 , 28 , 168 ," 2,851 ", 462 ," 2,259 ", 130 
,"Rate per 100,000 inhabitants",,181.7,1.2,64.1,16.6,99.8,"1,692.9",274.3,"1,341.4",77.2
"El Centro, CA M.S.A.",,"182,590", ,,,,, ,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,"44,609", 126 , 1 , 12 , 29 , 84 ," 1,625 ", 439 ," 1,076 ", 110 
,Total area actually reporting,95.9%, 645 , 6 , 40 , 83 , 516 ," 4,293 "," 1,090 "," 2,726 ", 477 
,Estimated total,100.0%, 655 , 6 , 40 , 83 , 526 ," 4,396 "," 1,109 "," 2,805 ", 482 
,"Rate per 100,000 inhabitants",,358.7,3.3,21.9,45.5,288.1,"2,407.6",607.4,"1,536.2",264.0
"Elizabethtown-Fort Knox, KY M.S.A.5",,"150,452", ,,,,, ,,,
,"Includes Hardin, Larue, and Meade Counties",,,,,,,,,,
,City of Elizabethtown,"30,180", 64 , 3 , 17 , 22 , 22 , 400 , 124 , 207 , 69 
,Total area actually reporting,100.0%, 171 , 7 , 48 , 53 , 63 ,,," 1,081 ", 222 
,"Rate per 100,000 inhabitants",,113.7,4.7,31.9,35.2,41.9,,,718.5,147.6
"Elmira, NY M.S.A.",,"83,485", ,,,,, ,,,
,Includes Chemung County,,,,,,,,,,
,City of Elmira,"27,556", 70 , 3 , 0 , 21 , 46 , 702 , 131 , 553 , 18 
,Total area actually reporting,100.0%, 134 , 3 , 19 , 25 , 87 ," 1,304 ", 198 ," 1,073 ", 33 
,"Rate per 100,000 inhabitants",,160.5,3.6,22.8,29.9,104.2,"1,562.0",237.2,"1,285.3",39.5
"El Paso, TX M.S.A.2",,"848,016", ,,,,, ,,,
,Includes El Paso and Hudspeth2 Counties,,,,,,,,,,
,City of El Paso,"688,442"," 2,554 ", 23 , 405 , 376 ," 1,750 "," 10,365 "," 1,107 "," 8,441 ", 817 
,Total area actually reporting,100.0%," 2,925 ", 32 , 464 , 404 ," 2,025 "," 12,022 "," 1,393 "," 9,688 ", 941 
,"Rate per 100,000 inhabitants",,344.9,3.8,54.7,47.6,238.8,"1,417.7",164.3,"1,142.4",111.0
"Enid, OK M.S.A.",,"61,489", ,,,,, ,,,
,Includes Garfield County,,,,,,,,,,
,City of Enid,"50,214", 173 , 3 , 34 , 17 , 119 ," 1,428 ", 370 , 975 , 83 
,Total area actually reporting,100.0%, 188 , 3 , 39 , 17 , 129 ," 1,577 ", 415 ," 1,065 ", 97 
,"Rate per 100,000 inhabitants",,305.7,4.9,63.4,27.6,209.8,"2,564.7",674.9,"1,732.0",157.8
"Erie, PA M.S.A.",,"273,386", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Erie,"96,758", 299 , 11 , 39 , 91 , 158 ," 1,880 ", 420 ," 1,355 ", 105 
,Total area actually reporting,100.0%, 638 , 17 , 109 , 117 , 395 ," 4,339 ", 718 ," 3,455 ", 166 
,"Rate per 100,000 inhabitants",,233.4,6.2,39.9,42.8,144.5,"1,587.1",262.6,"1,263.8",60.7
"Eugene-Springfield, OR M.S.A.",,"378,307", ,,,,, ,,,
,Includes Lane County,,,,,,,,,,
,City of Eugene,"170,771", 661 , 3 , 119 , 171 , 368 ," 5,503 ", 813 ," 4,148 ", 542 
,City of Springfield,"62,786", 182 , 2 , 36 , 31 , 113 ," 2,120 ", 211 ," 1,754 ", 155 
,Total area actually reporting,99.1%," 1,176 ", 5 , 195 , 224 , 752 ," 9,671 "," 1,437 "," 7,307 ", 927 
,Estimated total,100.0%," 1,186 ", 5 , 196 , 227 , 758 ," 9,752 "," 1,440 "," 7,368 ", 944 
,"Rate per 100,000 inhabitants",,313.5,1.3,51.8,60.0,200.4,"2,577.8",380.6,"1,947.6",249.5
"Evansville, IN-KY M.S.A.5",,"316,135", ,,,,, ,,,
,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",,, ,,,,,,,
,City of Evansville,"118,765", 675 , 10 , 91 , 156 , 418 ," 5,301 ", 714 ," 4,078 ", 509 
,Total area actually reporting,98.0%," 1,005 ", 13 , 144 , 205 , 643 ,,," 5,899 ", 736 
,Estimated total,100.0%," 1,009 ", 13 , 144 , 205 , 647 ,,," 5,997 ", 737 
,"Rate per 100,000 inhabitants",,319.2,4.1,45.6,64.8,204.7,,,"1,897.0",233.1
"Fairbanks, AK M.S.A.",,"33,731", ,,,,, ,,,
,Includes Fairbanks North Star Borough,,, ,,,,,,,
,City of Fairbanks,"31,635", 193 , 4 , 21 , 43 , 125 ," 1,354 ", 111 ," 1,089 ", 154 
,Total area actually reporting,100.0%, 211 , 4 , 25 , 43 , 139 ," 1,473 ", 113 ," 1,201 ", 159 
,"Rate per 100,000 inhabitants",,625.5,11.9,74.1,127.5,412.1,"4,366.9",335.0,"3,560.5",471.4
"Fargo, ND-MN M.S.A.",,"244,233", ,,,,, ,,,
,"Includes Clay County, MN and Cass County, ND",,,,,,,,,,
,"City of Fargo, ND","124,906", 522 , 5 , 105 , 63 , 349 ," 3,931 ", 695 ," 2,927 ", 309 
,Total area actually reporting,100.0%, 686 , 6 , 141 , 78 , 461 ," 5,964 "," 1,029 "," 4,474 ", 461 
,"Rate per 100,000 inhabitants",,280.9,2.5,57.7,31.9,188.8,"2,441.9",421.3,"1,831.9",188.8
"Farmington, NM M.S.A.",,"126,691", ,,,,, ,,,
,Includes San Juan County,,,,,,,,,,
,City of Farmington,"45,364", 593 , 8 , 81 , 70 , 434 ," 1,769 ", 434 ," 1,189 ", 146 
,Total area actually reporting,100.0%," 1,520 ", 9 , 152 , 84 ," 1,275 "," 2,798 ", 726 ," 1,822 ", 250 
,"Rate per 100,000 inhabitants",,"1,199.8",7.1,120.0,66.3,"1,006.4","2,208.5",573.0,"1,438.1",197.3
"Fayetteville-Springdale-Rogers, AR M.S.A.5",,"525,272",,,,,,,,,
,"Includes Benton, Madison, and Washington5 Counties",,,,,,,,,,
,City of Fayetteville,"87,008", 496 , 1 , 81 , 60 , 354 ," 3,768 ", 444 ," 2,894 ", 430 
,City of Springdale,"80,895", 388 , 3 , 94 , 31 , 260 ," 2,702 ", 357 ," 2,078 ", 267 
,City of Rogers,"68,026", 294 , 2 , 78 , 23 , 191 ," 1,925 ", 189 ," 1,636 ", 100 
,City of Bentonville,"51,607", 106 , 0 , 28 , 5 , 73 , 705 , 110 , 568 , 27 
,Total area actually reporting,100.0%," 2,027 ", 14 , 455 , 138 ," 1,420 ",,," 9,042 "," 1,133 "
,"Rate per 100,000 inhabitants",,385.9,2.7,86.6,26.3,270.3,,,"1,721.4",215.7
"Flagstaff, AZ M.S.A.",,"142,927", ,,,,, ,,,
,Includes Coconino County,,,,,,,,,,
,City of Flagstaff,"72,852", 342 , 2 , 37 , 40 , 263 ," 2,465 ", 178 ," 2,234 ", 53 
,Total area actually reporting,100.0%, 572 , 5 , 72 , 48 , 447 ," 3,548 ", 355 ," 3,095 ", 98 
,"Rate per 100,000 inhabitants",,400.2,3.5,50.4,33.6,312.7,"2,482.4",248.4,"2,165.4",68.6
"Flint, MI M.S.A.",,"405,750", ,,,,, ,,,
,Includes Genesee County,,,,,,,,,,
,City of Flint,"95,677"," 1,739 ", 32 , 130 , 189 ," 1,388 "," 2,584 ", 796 ," 1,488 ", 300 
,Total area actually reporting,100.0%," 2,772 ", 38 , 338 , 275 ," 2,121 "," 7,380 "," 1,675 "," 5,002 ", 703 
,"Rate per 100,000 inhabitants",,683.2,9.4,83.3,67.8,522.7,"1,818.9",412.8,"1,232.8",173.3
"Florence, SC M.S.A.",,"205,828", ,,,,, ,,,
,Includes Darlington and Florence Counties,,,,,,,,,,
,City of Florence,"37,819", 362 , 8 , 18 , 72 , 264 ," 2,462 ", 375 ," 1,935 ", 152 
,Total area actually reporting,98.8%," 1,529 ", 33 , 135 , 214 ," 1,147 "," 8,008 "," 1,794 "," 5,632 ", 582 
,Estimated total,100.0%," 1,540 ", 33 , 136 , 216 ," 1,155 "," 8,076 "," 1,806 "," 5,682 ", 588 
,"Rate per 100,000 inhabitants",,748.2,16.0,66.1,104.9,561.1,"3,923.7",877.4,"2,760.6",285.7
"Florence-Muscle Shoals, AL M.S.A.",,"146,974", ,,,,, ,,,
,Includes Colbert and Lauderdale Counties,,,,,,,,,,
,City of Florence,"39,925", 206 , 4 , 23 , 30 , 149 ," 1,663 ", 282 ," 1,215 ", 166 
,City of Muscle Shoals,"14,143", 86 , 2 , 7 , 7 , 70 , 800 , 115 , 620 , 65 
,Total area actually reporting,99.8%, 438 , 11 , 54 , 50 , 323 ," 3,456 ", 608 ," 2,517 ", 331 
,Estimated total,100.0%, 438 , 11 , 54 , 50 , 323 ," 3,457 ", 608 ," 2,518 ", 331 
,"Rate per 100,000 inhabitants",,298.0,7.5,36.7,34.0,219.8,"2,352.1",413.7,"1,713.2",225.2
"Fond du Lac, WI M.S.A.",,"102,729", ,,,,, ,,,
,Includes Fond du Lac County,,,,,,,,,,
,City of Fond du Lac,"42,777", 101 , 4 , 29 , 14 , 54 ," 1,012 ", 78 , 887 , 47 
,Total area actually reporting,100.0%, 145 , 4 , 40 , 17 , 84 ," 1,358 ", 140 ," 1,151 ", 67 
,"Rate per 100,000 inhabitants",,141.1,3.9,38.9,16.5,81.8,"1,321.9",136.3,"1,120.4",65.2
"Fort Collins, CO M.S.A.",,"349,357",,,,,,,,,
,Includes Larimer County,, ,,,,,,,,
,City of Fort Collins,"168,163", 392 , 3 , 28 , 39 , 322 ," 3,701 ", 357 ," 3,163 ", 181 
,Total area actually reporting,100.0%, 772 , 5 , 120 , 60 , 587 ," 6,994 ", 790 ," 5,822 ", 382 
,"Rate per 100,000 inhabitants",,221.0,1.4,34.3,17.2,168.0,"2,002.0",226.1,"1,666.5",109.3
"Fort Smith, AR-OK M.S.A.",,"250,116", , ,,,, ,,,
,"Includes Crawford, Franklin, and Sebastian Counties, AR and Sequoyah County, OK",,,,,,,,,,
,"City of Fort Smith, AR","88,290", 707 , 9 , 86 , 97 , 515 ," 4,265 ", 711 ," 3,268 ", 286 
,Total area actually reporting,99.7%," 1,306 ", 14 , 180 , 112 ," 1,000 "," 7,116 "," 1,451 "," 5,175 ", 490 
,Estimated total,100.0%," 1,312 ", 14 , 181 , 113 ," 1,004 "," 7,127 "," 1,456 "," 5,179 ", 492 
,"Rate per 100,000 inhabitants",,524.6,5.6,72.4,45.2,401.4,"2,849.5",582.1,"2,070.6",196.7
"Fort Wayne, IN M.S.A.",,"409,063", ,,,,, ,,,
,Includes Allen and Whitley Counties,,,,,,,,,,
,City of Fort Wayne,"267,634"," 1,024 ", 40 , 131 , 307 , 546 ," 7,007 "," 1,006 "," 5,453 ", 548 
,Total area actually reporting,92.2%," 1,234 ", 41 , 167 , 347 , 679 ," 8,033 "," 1,206 "," 6,180 ", 647 
,Estimated total,100.0%," 1,266 ", 42 , 168 , 348 , 708 ," 8,405 "," 1,282 "," 6,462 ", 661 
,"Rate per 100,000 inhabitants",,309.5,10.3,41.1,85.1,173.1,"2,054.7",313.4,"1,579.7",161.6
"Fresno, CA M.S.A.",,"989,980", ,,,,, ,,,
,Includes Fresno County,,,,,,,,,,
,City of Fresno,"531,818"," 2,953 ", 32 , 170 , 909 ," 1,842 "," 17,787 "," 2,949 "," 12,473 "," 2,365 "
,Total area actually reporting,100.0%," 5,893 ", 54 , 350 ," 1,171 "," 4,318 "," 27,426 "," 5,905 "," 17,532 "," 3,989 "
,"Rate per 100,000 inhabitants",,595.3,5.5,35.4,118.3,436.2,"2,770.4",596.5,"1,770.9",402.9
"Gadsden, AL M.S.A.",,"102,492", ,,,,, ,,,
,Includes Etowah County,,, ,,,,,,,
,City of Gadsden,"35,204", 372 , 3 , 24 , 47 , 298 ," 2,495 ", 409 ," 1,831 ", 255 
,Total area actually reporting,92.8%, 522 , 6 , 63 , 49 , 404 ," 3,258 ", 648 ," 2,257 ", 353 
,Estimated total,100.0%, 546 , 6 , 64 , 56 , 420 ," 3,422 ", 670 ," 2,392 ", 360 
,"Rate per 100,000 inhabitants",,532.7,5.9,62.4,54.6,409.8,"3,338.8",653.7,"2,333.8",351.2
"Gainesville, FL M.S.A.",,"327,771", ,,,,, ,,,
,"Includes Alachua, Gilchrist, and Levy Counties",,,,,,,,,,
,City of Gainesville,"133,400", 989 , 5 , 169 , 222 , 593 ," 5,229 ", 510 ," 4,287 ", 432 
,Total area actually reporting,99.8%," 2,335 ", 17 , 313 , 347 ," 1,658 "," 8,976 "," 1,587 "," 6,663 ", 726 
,Estimated total,100.0%," 2,338 ", 17 , 313 , 348 ," 1,660 "," 8,997 "," 1,592 "," 6,677 ", 728 
,"Rate per 100,000 inhabitants",,713.3,5.2,95.5,106.2,506.5,"2,744.9",485.7,"2,037.1",222.1
"Gainesville, GA M.S.A.2",,"201,865", ,,,,, ,,,
,Includes Hall County,,,,,,,,,,
,City of Gainesville,"41,368", 158 , 1 , 20 , 36 , 101 ," 1,280 ", 163 ," 1,027 ", 90 
,Total area actually reporting,100.0%, 433 , 5 , 75 , 65 , 288 ," 3,130 ", 522 ," 2,290 ", 318 
,"Rate per 100,000 inhabitants",,214.5,2.5,37.2,32.2,142.7,"1,550.5",258.6,"1,134.4",157.5
"Gettysburg, PA M.S.A.",,"102,358", ,,,,, ,,,
,Includes Adams County,,,,,,,,,,
,City of Gettysburg,"7,637", 30 , 0 , 6 , 2 , 22 , 89 , 19 , 70 , 0 
,Total area actually reporting,100.0%, 133 , 3 , 32 , 12 , 86 , 635 , 121 , 500 , 14 
,"Rate per 100,000 inhabitants",,129.9,2.9,31.3,11.7,84.0,620.4,118.2,488.5,13.7
"Glens Falls, NY M.S.A.",,"123,394", ,,,,, ,,,
,Includes Warren and Washington Counties,,,,,,,,,,
,City of Glens Falls,"14,403", 24 , 1 , 6 , 2 , 15 , 150 , 13 , 133 , 4 
,Total area actually reporting,97.9%, 167 , 2 , 82 , 12 , 71 ," 1,203 ", 138 ," 1,036 ", 29 
,Estimated total,100.0%, 168 , 2 , 82 , 12 , 72 ," 1,233 ", 141 ," 1,062 ", 30 
,"Rate per 100,000 inhabitants",,136.1,1.6,66.5,9.7,58.3,999.2,114.3,860.7,24.3
"Grand Forks, ND-MN M.S.A.",,"102,144", ,,,,, ,,,
,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
,"City of Grand Forks, ND","57,662", 148 , 4 , 28 , 21 , 95 ," 1,410 ", 216 ," 1,068 ", 126 
,Total area actually reporting,100.0%, 211 , 4 , 53 , 25 , 129 ," 1,968 ", 297 ," 1,495 ", 176 
,"Rate per 100,000 inhabitants",,206.6,3.9,51.9,24.5,126.3,"1,926.7",290.8,"1,463.6",172.3
"Grand Island, NE M.S.A.",,"76,086", ,,,,, ,,,
,"Includes Hall, Howard, and Merrick Counties",,,,,,,,,,
,City of Grand Island,"51,768", 241 , 1 , 46 , 21 , 173 ," 1,505 ", 222 ," 1,185 ", 98 
,Total area actually reporting,100.0%, 277 , 1 , 52 , 22 , 202 ," 1,676 ", 253 ," 1,308 ", 115 
,"Rate per 100,000 inhabitants",,364.1,1.3,68.3,28.9,265.5,"2,202.8",332.5,"1,719.1",151.1
"Grand Junction, CO M.S.A.",,"152,438", ,,,,, ,,,
,Includes Mesa County,,,,,,,,,,
,City of Grand Junction,"62,974", 275 , 3 , 57 , 17 , 198 ," 2,733 ", 291 ," 2,282 ", 160 
,Total area actually reporting,99.2%, 459 , 4 , 90 , 26 , 339 ," 3,999 ", 559 ," 3,177 ", 263 
,Estimated total,100.0%, 463 , 4 , 90 , 27 , 342 ," 4,078 ", 564 ," 3,246 ", 268 
,"Rate per 100,000 inhabitants",,303.7,2.6,59.0,17.7,224.4,"2,675.2",370.0,"2,129.4",175.8
"Grand Rapids-Kentwood, MI M.S.A.",,"1,075,204", ,,,,, ,,,
,"Includes Ionia, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
,City of Grand Rapids,"200,428"," 1,313 ", 5 , 141 , 319 , 848 ," 3,830 ", 679 ," 2,881 ", 270 
,City of Kentwood,"52,192", 193 , 0 , 28 , 37 , 128 ," 1,100 ", 183 , 850 , 67 
,Total area actually reporting,99.9%," 3,551 ", 26 , 965 , 511 ," 2,049 "," 14,806 "," 2,394 "," 11,485 ", 927 
,Estimated total,100.0%," 3,558 ", 26 , 966 , 512 ," 2,054 "," 14,823 "," 2,399 "," 11,494 ", 930 
,"Rate per 100,000 inhabitants",,330.9,2.4,89.8,47.6,191.0,"1,378.6",223.1,"1,069.0",86.5
"Grants Pass, OR M.S.A.",,"86,901", ,,,,, ,,,
,Includes Josephine County,,,,,,,,,,
,City of Grants Pass,"37,814", 135 , 3 , 27 , 29 , 76 ," 1,342 ", 143 ," 1,019 ", 180 
,Total area actually reporting,100.0%, 236 , 5 , 39 , 37 , 155 ," 1,753 ", 251 ," 1,168 ", 334 
,"Rate per 100,000 inhabitants",,271.6,5.8,44.9,42.6,178.4,"2,017.2",288.8,"1,344.1",384.3
"Greeley, CO M.S.A.4",,"314,239", ,,,,, ,,,
,Includes Weld County,,,,,,,,,,
,City of Greeley,"107,325", 424 , 2 , 78 , 64 , 280 ," 2,739 ", 418 ," 2,041 ", 280 
,Total area actually reporting,97.4%, 791 , 6 , 155 , 82 , 548 ,, 812 ,, 591 
,Estimated total,100.0%, 813 , 6 , 161 , 88 , 558 ,, 822 ,, 610 
,"Rate per 100,000 inhabitants",,258.7,1.9,51.2,28.0,177.6,,261.6,,194.1
"Green Bay, WI M.S.A.2",,"322,146", ,,,,, ,,,
,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
,City of Green Bay,"105,281", 483 , 1 , 78 , 56 , 348 ," 1,798 ", 250 ," 1,448 ", 100 
,Total area actually reporting,100.0%, 675 , 1 , 152 , 65 , 457 ," 3,715 ", 479 ," 3,047 ", 189 
,"Rate per 100,000 inhabitants",,209.5,0.3,47.2,20.2,141.9,"1,153.2",148.7,945.8,58.7
"Greensboro-High Point, NC M.S.A.3",,"766,708", ,,,,, ,,,
,"Includes Guilford, Randolph, and Rockingham Counties3",,,,,,,,,,
,City of Greensboro3,"293,298",, 37 ,, 536 ," 1,207 "," 9,831 "," 2,117 "," 7,035 ", 679 
,City of High Point3,"112,526",, 19 ,, 116 , 517 ," 3,682 ", 590 ," 2,812 ", 280 
,Total area actually reporting,99.8%," 3,279 ", 66 , 198 , 774 ," 2,241 "," 19,834 "," 4,343 "," 14,103 "," 1,388 "
,Estimated total,100.0%," 3,281 ", 66 , 198 , 774 ," 2,243 "," 19,878 "," 4,352 "," 14,136 "," 1,390 "
,"Rate per 100,000 inhabitants",,427.9,8.6,25.8,101.0,292.5,"2,592.6",567.6,"1,843.7",181.3
"Greenville, NC M.S.A.3",,"180,583", ,,,,, ,,,
,Includes Pitt County3,,,,,,,,,,
,City of Greenville3,"93,235",, 5 ,, 109 , 327 ," 2,707 ", 475 ," 2,121 ", 111 
,Total area actually reporting,99.1%, 749 , 7 , 45 , 146 , 551 ," 4,120 ", 858 ," 3,078 ", 184 
,Estimated total,100.0%, 753 , 7 , 45 , 147 , 554 ," 4,169 ", 868 ," 3,115 ", 186 
,"Rate per 100,000 inhabitants",,417.0,3.9,24.9,81.4,306.8,"2,308.6",480.7,"1,725.0",103.0
"Gulfport-Biloxi, MS M.S.A.3",,"415,723",,,,,,,,,
,"Includes Hancock, Harrison, Jackson, and Stone Counties",,,,,,,,,,
,City of Gulfport,"72,402", 387 , 4 , 26 , 86 , 271 ," 3,662 ", 528 ," 2,844 ", 290 
,City of Biloxi,"46,148", 149 , 1 , 23 , 52 , 73 ," 2,577 ", 619 ," 1,773 ", 185 
,Total area actually reporting,89.7%, 983 , 17 , 126 , 225 , 615 ," 13,354 "," 2,417 "," 9,832 "," 1,105 "
,Estimated total,100.0%," 1,026 ", 23 , 129 , 235 , 639 ," 14,720 "," 2,583 "," 10,991 "," 1,146 "
,"Rate per 100,000 inhabitants",,246.8,5.5,31.0,56.5,153.7,"3,540.8",621.3,"2,643.8",275.7
"Hagerstown-Martinsburg, MD-WV M.S.A.",,"283,596",,,,,,,,,
,"Includes Washington County, MD and Berkeley and Morgan Counties, WV",, ,,,,,,,,
,"City of Hagerstown, MD","40,384", 255 , 5 , 27 , 102 , 121 ," 1,052 ", 242 , 709 , 101 
,"City of Martinsburg, WV","17,428", 55 , 0 , 10 , 6 , 39 , 540 , 69 , 456 , 15 
,Total area actually reporting,99.6%, 782 , 10 , 74 , 152 , 546 ," 4,056 ", 821 ," 2,995 ", 240 
,Estimated total,100.0%, 785 , 10 , 74 , 152 , 549 ," 4,085 ", 824 ," 3,020 ", 241 
,"Rate per 100,000 inhabitants",,276.8,3.5,26.1,53.6,193.6,"1,440.4",290.6,"1,064.9",85.0
"Hammond, LA M.S.A.",,"132,841",,,,,,,,,
,Includes Tangipahoa Parish,, ,,,,,,,,
,City of Hammond,"20,550", 299 , 0 , 32 , 57 , 210 ," 2,124 ", 622 ," 1,385 ", 117 
,Total area actually reporting,95.0%," 1,113 ", 9 , 87 , 152 , 865 ," 5,197 "," 1,516 "," 3,283 ", 398 
,Estimated total,100.0%," 1,128 ", 9 , 87 , 152 , 880 ," 5,364 "," 1,544 "," 3,420 ", 400 
,"Rate per 100,000 inhabitants",,849.1,6.8,65.5,114.4,662.4,"4,037.9","1,162.3","2,574.5",301.1
"Hanford-Corcoran, CA M.S.A.",,"148,619",,,,,,,,,
,Includes Kings County,, ,,,,,,,,
,City of Hanford,"56,805", 274 , 2 , 32 , 41 , 199 ," 1,264 ", 145 , 945 , 174 
,City of Corcoran,"21,487", 75 , 0 , 8 , 11 , 56 , 380 , 88 , 214 , 78 
,Total area actually reporting,100.0%, 784 , 5 , 81 , 86 , 612 ," 2,701 ", 505 ," 1,777 ", 419 
,"Rate per 100,000 inhabitants",,527.5,3.4,54.5,57.9,411.8,"1,817.4",339.8,"1,195.7",281.9
"Harrisburg-Carlisle, PA M.S.A.",,"574,520",,,,,,,,,
,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
